,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
0,Bac Lieu,27,22,17,NNE,6.9,90,71,1010,2009-01-01,Nam,Mây
1,Bac Lieu,31,25,20,ENE,0.0,64,24,1010,2010-01-01,Nam,Nắng
2,Bac Lieu,29,24,14,E,0.0,75,45,1008,2011-01-01,Nam,Gió
3,Bac Lieu,30,24,30,E,0.0,79,52,1012,2012-01-01,Nam,Nắng
4,Bac Lieu,31,25,20,ENE,0.0,70,24,1010,2013-01-01,Nam,Nắng
5,Bac Lieu,28,23,14,ENE,0.0,75,55,1012,2014-01-01,Nam,Gió
6,Bac Lieu,29,23,10,ENE,0.4,75,42,1012,2015-01-01,Nam,Gió
7,Bac Lieu,32,24,22,ENE,0.0,63,9,1015,2016-01-01,Nam,Nắng
8,Bac Lieu,30,24,20,ENE,0.5,76,35,1011,2017-01-01,Nam,Nắng
9,Bac Lieu,29,23,16,E,0.0,70,33,1010,2018-01-01,Nam,Gió
10,Bac Lieu,27,22,19,WSW,4.5,73,55,1012,2019-01-01,Nam,Gió
11,Bac Lieu,32,23,22,ENE,0.0,61,9,1014,2020-01-01,Nam,Nắng
12,Bac Lieu,28,21,9,WSW,0.0,74,48,1011,2021-01-01,Nam,Lạnh
13,Bac Lieu,28,21,12,ENE,0.0,74,26,1014,2009-01-09,Nam,Lạnh
14,Bac Lieu,31,25,20,E,0.6,68,29,1011,2010-01-09,Nam,Nắng
15,Bac Lieu,31,23,16,E,0.0,69,27,1009,2011-01-09,Nam,Nắng
16,Bac Lieu,30,24,17,E,0.5,73,58,1011,2012-01-09,Nam,Nắng
17,Bac Lieu,30,25,6,SSE,11.5,81,48,1009,2013-01-09,Nam,Nắng
18,Bac Lieu,25,23,21,E,2.5,79,71,1011,2014-01-09,Nam,Gió
19,Bac Lieu,31,24,23,ENE,0.0,71,17,1012,2015-01-09,Nam,Nắng
20,Bac Lieu,31,25,23,E,0.0,72,25,1013,2016-01-09,Nam,Nắng
21,Bac Lieu,31,25,23,E,0.0,75,25,1008,2017-01-09,Nam,Nắng
22,Bac Lieu,32,25,13,E,0.0,79,28,1011,2018-01-09,Nam,Nắng
23,Bac Lieu,31,24,20,E,0.0,77,13,1013,2019-01-09,Nam,Nắng
24,Bac Lieu,32,24,16,E,0.0,70,15,1010,2020-01-09,Nam,Nắng
25,Bac Lieu,29,23,17,ENE,0.0,70,33,1010,2021-01-09,Nam,Gió
26,Bac Lieu,29,22,10,NE,1.2,81,40,1013,2009-01-08,Nam,Gió
27,Bac Lieu,32,25,19,E,0.0,64,15,1012,2010-01-08,Nam,Nắng
28,Bac Lieu,30,23,18,ENE,0.0,72,31,1009,2011-01-08,Nam,Nắng
29,Bac Lieu,29,23,14,ENE,0.0,76,56,1013,2012-01-08,Nam,Gió
30,Bac Lieu,31,24,10,E,1.4,79,50,1009,2013-01-08,Nam,Nắng
31,Bac Lieu,31,24,16,ENE,0.0,69,52,1011,2014-01-08,Nam,Nắng
32,Bac Lieu,31,24,26,E,0.0,74,12,1011,2015-01-08,Nam,Nắng
33,Bac Lieu,32,25,22,E,0.2,72,35,1013,2016-01-08,Nam,Nắng
34,Bac Lieu,31,25,26,E,0.0,76,34,1008,2017-01-08,Nam,Nắng
35,Bac Lieu,30,25,13,E,0.1,81,38,1011,2018-01-08,Nam,Nắng
36,Bac Lieu,30,25,22,E,0.4,78,28,1012,2019-01-08,Nam,Nắng
37,Bac Lieu,33,25,20,E,0.1,66,25,1010,2020-01-08,Nam,Nắng
38,Bac Lieu,29,24,18,ENE,0.0,74,31,1009,2021-01-08,Nam,Gió
39,Bac Lieu,29,22,10,SE,0.0,81,25,1010,2009-01-05,Nam,Gió
40,Bac Lieu,26,18,14,E,0.0,69,16,1014,2009-01-10,Nam,Lạnh
41,Bac Lieu,30,25,15,E,1.8,75,53,1011,2010-01-10,Nam,Nắng
42,Bac Lieu,32,23,7,ESE,0.1,72,40,1008,2011-01-10,Nam,Nắng
43,Bac Lieu,31,24,17,ENE,0.0,70,34,1011,2012-01-10,Nam,Nắng
44,Bac Lieu,31,24,9,SW,11.9,82,38,1010,2013-01-10,Nam,Nắng
45,Bac Lieu,27,23,21,ENE,0.0,76,60,1012,2014-01-10,Nam,Gió
46,Bac Lieu,32,24,19,E,0.0,71,19,1011,2015-01-10,Nam,Nắng
47,Bac Lieu,32,25,19,E,0.0,73,16,1013,2016-01-10,Nam,Nắng
48,Bac Lieu,31,25,21,E,0.0,72,13,1009,2017-01-10,Nam,Nắng
49,Bac Lieu,31,25,17,ENE,3.5,74,39,1012,2018-01-10,Nam,Nắng
50,Bac Lieu,30,25,21,E,0.2,77,22,1012,2019-01-10,Nam,Nắng
51,Bac Lieu,32,25,17,E,0.0,68,28,1009,2020-01-10,Nam,Nắng
52,Bac Lieu,28,22,13,ENE,0.0,72,38,1010,2021-01-10,Nam,Gió
53,Bac Lieu,32,26,20,E,0.7,70,19,1009,2010-01-05,Nam,Nắng
54,Bac Lieu,30,24,25,ENE,0.1,76,52,1008,2011-01-05,Nam,Nắng
55,Bac Lieu,31,23,16,E,0.0,76,10,1012,2012-01-05,Nam,Nắng
56,Bac Lieu,30,22,8,WSW,0.5,68,30,1008,2013-01-05,Nam,Nắng
57,Bac Lieu,30,23,17,E,0.8,78,48,1010,2014-01-05,Nam,Nắng
58,Bac Lieu,32,24,14,ENE,3.9,74,48,1010,2015-01-05,Nam,Nắng
59,Bac Lieu,32,25,16,E,0.2,72,49,1012,2016-01-05,Nam,Nắng
60,Bac Lieu,30,25,25,E,0.0,74,13,1009,2017-01-05,Nam,Nắng
61,Bac Lieu,31,25,12,ESE,0.5,79,52,1009,2018-01-05,Nam,Nắng
62,Bac Lieu,30,25,22,E,0.3,82,55,1013,2019-01-05,Nam,Nắng
