,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
13623,Ben Tre,28,22,9,SE,7.3,91,75,1010,2009-01-01,Nam,Mây
13624,Ben Tre,33,24,10,E,0.0,62,21,1010,2010-01-01,Nam,Nắng
13625,Ben Tre,28,23,6,SE,0.1,80,40,1008,2011-01-01,Nam,Gió
13626,Ben Tre,31,24,17,E,0.0,77,31,1012,2012-01-01,Nam,Nắng
13627,Ben Tre,32,25,7,ENE,0.0,70,21,1010,2013-01-01,Nam,Nắng
13628,Ben Tre,29,21,6,S,0.0,73,43,1012,2014-01-01,Nam,Lạnh
13629,Ben Tre,30,22,7,WSW,0.4,75,35,1012,2015-01-01,Nam,Nắng
13630,Ben Tre,33,23,10,ENE,0.0,61,7,1015,2016-01-01,Nam,Nắng
13631,Ben Tre,31,24,10,ENE,1.3,77,28,1011,2017-01-01,Nam,Nắng
13632,Ben Tre,32,23,6,ENE,0.0,65,24,1010,2018-01-01,Nam,Nắng
13633,Ben Tre,28,23,13,SSW,2.3,70,51,1013,2019-01-01,Nam,Gió
13634,Ben Tre,34,23,9,ENE,0.0,59,10,1014,2020-01-01,Nam,Nắng
13635,Ben Tre,29,21,7,WSW,0.0,70,30,1011,2021-01-01,Nam,Lạnh
13636,Ben Tre,28,21,5,ESE,0.2,85,36,1011,2009-01-04,Nam,Lạnh
13637,Ben Tre,34,25,15,ESE,0.0,63,38,1009,2010-01-04,Nam,Nắng
13638,Ben Tre,29,24,7,ENE,0.6,80,56,1009,2011-01-04,Nam,Gió
13639,Ben Tre,30,23,12,ESE,0.1,76,19,1012,2012-01-04,Nam,Nắng
13640,Ben Tre,32,25,4,SE,0.8,71,50,1009,2013-01-04,Nam,Nắng
13641,Ben Tre,32,23,9,E,2.6,77,43,1011,2014-01-04,Nam,Nắng
13642,Ben Tre,32,23,7,S,0.0,72,40,1010,2015-01-04,Nam,Nắng
13643,Ben Tre,30,24,8,ESE,0.1,74,51,1012,2016-01-04,Nam,Nắng
13644,Ben Tre,31,24,13,ENE,1.5,73,45,1009,2017-01-04,Nam,Nắng
13645,Ben Tre,35,24,6,SSW,0.0,73,25,1008,2018-01-04,Nam,Nắng
13646,Ben Tre,30,25,18,E,2.2,78,37,1013,2019-01-04,Nam,Nắng
13647,Ben Tre,34,23,8,SE,0.0,68,12,1012,2020-01-04,Nam,Nắng
13648,Ben Tre,32,21,7,SSW,0.1,76,41,1010,2021-01-04,Nam,Nắng
13649,Ben Tre,29,22,11,ESE,0.2,84,48,1011,2009-01-02,Nam,Gió
13650,Ben Tre,31,25,12,ENE,0.3,63,41,1010,2010-01-02,Nam,Nắng
13651,Ben Tre,31,23,9,E,0.0,71,15,1009,2011-01-02,Nam,Nắng
13652,Ben Tre,30,23,16,E,0.0,77,22,1012,2012-01-02,Nam,Nắng
13653,Ben Tre,33,25,7,E,0.0,69,23,1010,2013-01-02,Nam,Nắng
13654,Ben Tre,29,23,7,SE,0.0,78,51,1012,2014-01-02,Nam,Gió
13655,Ben Tre,28,21,5,S,0.3,77,48,1013,2015-01-02,Nam,Lạnh
13656,Ben Tre,34,24,10,S,0.0,63,31,1014,2016-01-02,Nam,Nắng
13657,Ben Tre,31,24,14,ENE,1.6,75,23,1011,2017-01-02,Nam,Nắng
13658,Ben Tre,33,23,7,E,0.0,68,8,1009,2018-01-02,Nam,Nắng
13659,Ben Tre,24,22,12,NE,15.3,88,78,1012,2019-01-02,Nam,Mây
13660,Ben Tre,33,24,9,E,0.0,64,10,1014,2020-01-02,Nam,Nắng
13661,Ben Tre,27,21,6,WSW,0.4,76,55,1011,2021-01-02,Nam,Lạnh
13662,Ben Tre,31,23,7,E,0.0,79,23,1011,2009-01-06,Nam,Nắng
13663,Ben Tre,33,25,17,ESE,0.2,63,14,1010,2010-01-06,Nam,Nắng
13664,Ben Tre,32,24,13,E,0.7,74,30,1009,2011-01-06,Nam,Nắng
13665,Ben Tre,32,23,8,SSW,1.0,77,9,1013,2012-01-06,Nam,Nắng
13666,Ben Tre,26,22,10,WSW,7.7,83,80,1009,2013-01-06,Nam,Mây
13667,Ben Tre,29,23,10,E,0.0,76,30,1010,2014-01-06,Nam,Gió
13668,Ben Tre,32,25,11,E,2.5,76,27,1009,2015-01-06,Nam,Nắng
13669,Ben Tre,33,25,17,ESE,0.0,71,40,1014,2016-01-06,Nam,Nắng
13670,Ben Tre,31,24,19,E,0.4,71,26,1008,2017-01-06,Nam,Nắng
13671,Ben Tre,31,25,12,ESE,0.0,79,30,1009,2018-01-06,Nam,Nắng
13672,Ben Tre,32,25,15,E,0.0,70,15,1013,2019-01-06,Nam,Nắng
13673,Ben Tre,33,23,7,SSE,0.0,68,23,1012,2020-01-06,Nam,Nắng
13674,Ben Tre,29,24,5,ESE,0.0,81,43,1009,2021-01-06,Nam,Khác
13675,Ben Tre,31,23,8,SSW,2.3,83,31,1012,2009-01-07,Nam,Nắng
13676,Ben Tre,33,25,17,ESE,0.0,61,9,1012,2010-01-07,Nam,Nắng
13677,Ben Tre,29,23,11,ENE,0.1,73,48,1010,2011-01-07,Nam,Gió
13678,Ben Tre,31,24,12,ESE,0.1,75,47,1012,2012-01-07,Nam,Nắng
13679,Ben Tre,28,24,11,NNE,2.4,89,60,1009,2013-01-07,Nam,Mây
13680,Ben Tre,32,22,8,SSE,0.0,70,31,1010,2014-01-07,Nam,Nắng
13681,Ben Tre,32,24,13,E,0.0,74,29,1010,2015-01-07,Nam,Nắng
13682,Ben Tre,33,25,18,ESE,0.0,69,23,1014,2016-01-07,Nam,Nắng
13683,Ben Tre,31,24,20,E,0.0,72,26,1007,2017-01-07,Nam,Nắng
13684,Ben Tre,33,25,10,ESE,0.2,77,31,1010,2018-01-07,Nam,Nắng
13685,Ben Tre,32,25,13,E,0.0,64,4,1012,2019-01-07,Nam,Nắng
13686,Ben Tre,34,24,10,E,0.0,69,37,1011,2020-01-07,Nam,Nắng
13687,Ben Tre,33,24,5,SSE,0.0,75,20,1009,2021-01-07,Nam,Nắng
13688,Ben Tre,31,21,13,NE,0.0,69,6,1014,2009-01-09,Nam,Nắng
13689,Ben Tre,32,24,10,E,0.0,67,34,1011,2010-01-09,Nam,Nắng
13690,Ben Tre,32,24,6,ENE,0.0,71,23,1009,2011-01-09,Nam,Nắng
13691,Ben Tre,31,23,12,ESE,0.3,71,44,1011,2012-01-09,Nam,Nắng
13692,Ben Tre,32,25,6,SSW,6.3,79,45,1009,2013-01-09,Nam,Nắng
13693,Ben Tre,28,23,14,E,0.9,69,45,1011,2014-01-09,Nam,Gió
13694,Ben Tre,33,24,11,E,0.0,68,18,1012,2015-01-09,Nam,Nắng
13695,Ben Tre,32,25,22,ESE,0.0,68,17,1013,2016-01-09,Nam,Nắng
13696,Ben Tre,31,24,17,ESE,0.0,72,7,1008,2017-01-09,Nam,Nắng
13697,Ben Tre,33,25,10,ESE,0.0,77,23,1011,2018-01-09,Nam,Nắng
13698,Ben Tre,33,25,12,E,0.0,67,18,1013,2019-01-09,Nam,Nắng
13699,Ben Tre,35,24,9,E,0.0,67,19,1010,2020-01-09,Nam,Nắng
13700,Ben Tre,31,23,5,SSE,0.0,71,28,1010,2021-01-09,Nam,Nắng
13701,Ben Tre,30,22,8,NE,0.2,78,17,1013,2009-01-08,Nam,Nắng
13702,Ben Tre,34,24,11,E,0.0,61,15,1012,2010-01-08,Nam,Nắng
13703,Ben Tre,31,23,8,E,0.0,73,28,1010,2011-01-08,Nam,Nắng
13704,Ben Tre,30,23,8,ENE,0.0,73,49,1013,2012-01-08,Nam,Nắng
13705,Ben Tre,32,24,7,SSE,2.7,80,39,1009,2013-01-08,Nam,Nắng
13706,Ben Tre,32,24,9,E,0.0,69,32,1011,2014-01-08,Nam,Nắng
13707,Ben Tre,32,24,13,E,0.1,72,37,1011,2015-01-08,Nam,Nắng
13708,Ben Tre,33,25,19,E,0.1,68,42,1013,2016-01-08,Nam,Nắng
13709,Ben Tre,31,24,22,ESE,0.0,72,14,1008,2017-01-08,Nam,Nắng
13710,Ben Tre,33,26,11,ESE,0.2,75,29,1011,2018-01-08,Nam,Nắng
13711,Ben Tre,30,25,13,E,0.4,70,30,1013,2019-01-08,Nam,Nắng
13712,Ben Tre,34,26,11,E,0.1,62,39,1010,2020-01-08,Nam,Nắng
13713,Ben Tre,32,24,6,E,0.0,73,30,1009,2021-01-08,Nam,Nắng
