,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
27258,Bien Hoa,25,22,6,E,7.2,87,68,1012,2009-01-03,Nam,Mây
27259,Bien Hoa,33,26,7,ESE,0.0,65,37,1010,2010-01-03,Nam,Nắng
27260,Bien Hoa,33,23,4,SSE,0.1,73,51,1009,2011-01-03,Nam,Nắng
27261,Bien Hoa,30,23,6,SE,0.1,79,43,1012,2012-01-03,Nam,Nắng
27262,Bien Hoa,34,25,3,SSE,5.2,68,27,1011,2013-01-03,Nam,Nắng
27263,Bien Hoa,32,22,5,SW,0.0,74,15,1012,2014-01-03,Nam,Nắng
27264,Bien Hoa,32,22,6,SSW,0.0,67,25,1012,2015-01-03,Nam,Nắng
27265,Bien Hoa,33,25,7,S,3.4,70,45,1014,2016-01-03,Nam,Nắng
27266,Bien Hoa,33,23,8,E,0.0,70,25,1010,2017-01-03,Nam,Nắng
27267,Bien Hoa,34,24,6,E,0.0,64,14,1009,2018-01-03,Nam,Nắng
27268,Bien Hoa,31,23,15,ENE,3.5,73,47,1013,2019-01-03,Nam,Nắng
27269,Bien Hoa,35,25,7,ESE,0.0,59,16,1013,2020-01-03,Nam,Nắng
27270,Bien Hoa,31,24,4,SE,2.5,70,59,1010,2021-01-03,Nam,Nắng
27283,Bien Hoa,31,21,5,ESE,0.0,77,29,1011,2009-01-05,Nam,Nắng
27284,Bien Hoa,35,26,10,ESE,0.0,57,35,1009,2010-01-05,Nam,Nắng
27285,Bien Hoa,32,24,6,E,2.5,74,53,1009,2011-01-05,Nam,Nắng
27286,Bien Hoa,33,23,5,SE,0.0,76,18,1013,2012-01-05,Nam,Nắng
27287,Bien Hoa,29,22,5,SSW,0.0,72,32,1008,2013-01-05,Nam,Khác
27288,Bien Hoa,31,23,6,SSW,1.7,79,43,1010,2014-01-05,Nam,Nắng
27289,Bien Hoa,33,24,5,SSW,1.1,70,46,1010,2015-01-05,Nam,Nắng
27290,Bien Hoa,33,25,8,ESE,0.4,66,56,1012,2016-01-05,Nam,Nắng
