,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
40917,Buon Me Thuot,22,18,7,ENE,1.3,92,66,1013,2009-01-05,Trung,Mây
40918,Buon Me Thuot,31,19,8,E,0.0,65,10,1011,2010-01-05,Trung,Nắng
40919,Buon Me Thuot,27,18,8,ENE,0.2,84,47,1011,2011-01-05,Trung,Lạnh
40920,Buon Me Thuot,28,17,9,ENE,0.0,82,41,1015,2012-01-05,Trung,Lạnh
40921,Buon Me Thuot,25,18,8,ENE,0.1,80,45,1010,2013-01-05,Trung,Lạnh
40922,Buon Me Thuot,28,17,9,ENE,0.0,73,24,1013,2014-01-05,Trung,Lạnh
40923,Buon Me Thuot,32,19,5,ENE,0.3,77,34,1011,2015-01-05,Trung,Nắng
40924,Buon Me Thuot,31,20,6,E,0.1,71,52,1013,2016-01-05,Trung,Nắng
40925,Buon Me Thuot,29,19,9,ENE,0.0,78,23,1012,2017-01-05,Trung,Lạnh
40926,Buon Me Thuot,32,19,5,E,1.5,79,48,1010,2018-01-05,Trung,Nắng
40927,Buon Me Thuot,31,20,11,E,0.0,77,19,1015,2019-01-05,Trung,Nắng
40928,Buon Me Thuot,27,17,12,ENE,0.0,75,16,1014,2020-01-05,Trung,Lạnh
40929,Buon Me Thuot,26,21,14,ENE,0.4,75,61,1012,2021-01-05,Trung,Lạnh
40930,Buon Me Thuot,19,18,13,ENE,8.6,96,97,1013,2009-01-02,Trung,Mây
40931,Buon Me Thuot,29,18,8,E,0.1,75,29,1012,2010-01-02,Trung,Lạnh
40932,Buon Me Thuot,28,15,9,ENE,0.0,80,42,1012,2011-01-02,Trung,Lạnh
40933,Buon Me Thuot,28,18,10,ENE,0.2,82,42,1014,2012-01-02,Trung,Lạnh
40934,Buon Me Thuot,30,17,9,ENE,0.0,77,32,1013,2013-01-02,Trung,Nắng
40935,Buon Me Thuot,31,16,6,ENE,0.0,75,31,1013,2014-01-02,Trung,Nắng
40936,Buon Me Thuot,24,14,9,ENE,0.1,83,48,1015,2015-01-02,Trung,Lạnh
40937,Buon Me Thuot,28,20,8,ENE,0.2,80,48,1016,2016-01-02,Trung,Lạnh
40938,Buon Me Thuot,28,21,10,ENE,0.8,81,78,1013,2017-01-02,Trung,Mây
40939,Buon Me Thuot,27,19,9,ENE,0.0,76,27,1012,2018-01-02,Trung,Lạnh
40940,Buon Me Thuot,21,20,10,NE,8.7,88,77,1015,2019-01-02,Trung,Mây
40941,Buon Me Thuot,28,20,14,ENE,0.7,75,51,1017,2020-01-02,Trung,Lạnh
40942,Buon Me Thuot,25,17,13,ENE,0.0,75,47,1013,2021-01-02,Trung,Lạnh
40943,Buon Me Thuot,19,17,10,ENE,10.9,96,93,1014,2009-01-03,Trung,Mây
40944,Buon Me Thuot,28,20,9,E,0.0,74,15,1012,2010-01-03,Trung,Lạnh
40945,Buon Me Thuot,29,17,8,ENE,0.0,80,49,1012,2011-01-03,Trung,Lạnh
40946,Buon Me Thuot,28,17,9,ENE,0.0,77,18,1014,2012-01-03,Trung,Lạnh
40947,Buon Me Thuot,30,18,10,ENE,0.0,79,33,1014,2013-01-03,Trung,Nắng
40948,Buon Me Thuot,32,15,6,ENE,0.0,73,29,1013,2014-01-03,Trung,Nắng
40949,Buon Me Thuot,27,16,8,ENE,0.0,82,48,1014,2015-01-03,Trung,Lạnh
40950,Buon Me Thuot,31,18,6,ENE,2.8,81,43,1016,2016-01-03,Trung,Nắng
40951,Buon Me Thuot,26,19,11,ENE,0.3,79,46,1013,2017-01-03,Trung,Lạnh
