,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
54564,Ca Mau,28,22,21,NNE,1.1,83,67,1010,2009-01-02,Nam,Mây
54565,Ca Mau,29,26,23,ENE,2.7,72,52,1010,2010-01-02,Nam,Gió
54566,Ca Mau,30,24,18,E,0.1,73,25,1009,2011-01-02,Nam,Nắng
54567,Ca Mau,30,24,28,E,0.0,76,32,1011,2012-01-02,Nam,Nắng
54568,Ca Mau,31,25,18,ENE,0.0,71,32,1010,2013-01-02,Nam,Nắng
54569,Ca Mau,29,24,13,E,0.0,75,36,1012,2014-01-02,Nam,Gió
54570,Ca Mau,29,22,9,E,0.3,72,52,1013,2015-01-02,Nam,Gió
54571,Ca Mau,32,25,11,NE,0.0,67,25,1014,2016-01-02,Nam,Nắng
54572,Ca Mau,30,25,23,ENE,3.1,78,37,1010,2017-01-02,Nam,Nắng
54573,Ca Mau,31,23,14,ENE,0.0,70,18,1009,2018-01-02,Nam,Nắng
54574,Ca Mau,23,22,24,SE,19.8,85,94,1011,2019-01-02,Nam,Mây
54575,Ca Mau,32,25,18,ENE,0.0,66,12,1014,2020-01-02,Nam,Nắng
54576,Ca Mau,28,22,9,NNE,0.0,72,67,1010,2021-01-02,Nam,Gió
54577,Ca Mau,30,23,11,NE,0.4,77,18,1010,2009-01-05,Nam,Nắng
54578,Ca Mau,31,26,20,E,1.4,72,20,1009,2010-01-05,Nam,Nắng
54579,Ca Mau,30,24,27,E,0.6,76,56,1008,2011-01-05,Nam,Nắng
54580,Ca Mau,31,23,14,E,0.1,72,10,1012,2012-01-05,Nam,Nắng
54581,Ca Mau,29,24,11,E,0.6,66,33,1008,2013-01-05,Nam,Gió
54582,Ca Mau,30,24,16,E,10.3,77,46,1010,2014-01-05,Nam,Nắng
54583,Ca Mau,30,25,9,NE,16.4,78,43,1010,2015-01-05,Nam,Nắng
54584,Ca Mau,32,26,14,ESE,1.2,72,63,1012,2016-01-05,Nam,Nắng
54585,Ca Mau,30,25,27,E,0.0,76,26,1009,2017-01-05,Nam,Nắng
54586,Ca Mau,30,25,10,SE,9.8,82,49,1008,2018-01-05,Nam,Nắng
54587,Ca Mau,30,25,18,E,2.0,83,52,1013,2019-01-05,Nam,Nắng
54588,Ca Mau,31,24,12,E,0.0,67,19,1011,2020-01-05,Nam,Nắng
54589,Ca Mau,25,23,9,NE,15.1,89,91,1010,2021-01-05,Nam,Mây
54590,Ca Mau,28,22,13,NE,1.9,80,30,1011,2009-01-04,Nam,Gió
54591,Ca Mau,32,26,22,E,0.0,71,44,1009,2010-01-04,Nam,Nắng
54592,Ca Mau,31,25,16,ENE,3.7,77,64,1009,2011-01-04,Nam,Nắng
54593,Ca Mau,29,23,22,E,0.0,74,14,1012,2012-01-04,Nam,Gió
54594,Ca Mau,31,25,12,E,2.4,74,45,1009,2013-01-04,Nam,Nắng
54595,Ca Mau,31,25,10,E,4.3,75,50,1011,2014-01-04,Nam,Nắng
54596,Ca Mau,31,24,9,ENE,8.8,72,55,1010,2015-01-04,Nam,Nắng
54597,Ca Mau,30,25,14,E,1.3,77,51,1011,2016-01-04,Nam,Nắng
54598,Ca Mau,29,25,23,E,1.7,75,45,1009,2017-01-04,Nam,Gió
54599,Ca Mau,32,25,5,SSE,0.0,77,24,1008,2018-01-04,Nam,Nắng
54600,Ca Mau,28,25,22,E,33.4,86,65,1013,2019-01-04,Nam,Mây
54601,Ca Mau,32,24,14,E,0.0,67,16,1012,2020-01-04,Nam,Nắng
54602,Ca Mau,31,24,8,ENE,8.3,79,55,1009,2021-01-04,Nam,Nắng
54603,Ca Mau,30,25,12,ENE,3.8,79,33,1012,2009-01-07,Nam,Nắng
54604,Ca Mau,32,26,25,E,0.0,67,7,1012,2010-01-07,Nam,Nắng
54605,Ca Mau,30,24,24,ENE,0.0,70,42,1010,2011-01-07,Nam,Nắng
54606,Ca Mau,30,24,18,E,0.4,75,49,1012,2012-01-07,Nam,Nắng
54607,Ca Mau,27,24,19,NE,4.2,82,70,1009,2013-01-07,Nam,Mây
54608,Ca Mau,31,23,11,ENE,0.0,69,49,1010,2014-01-07,Nam,Nắng
54609,Ca Mau,31,24,22,E,1.4,76,65,1010,2015-01-07,Nam,Nắng
54610,Ca Mau,32,25,19,E,0.0,74,29,1014,2016-01-07,Nam,Nắng
54611,Ca Mau,30,25,27,E,0.9,79,60,1007,2017-01-07,Nam,Nắng
54612,Ca Mau,32,25,12,ESE,1.0,78,37,1010,2018-01-07,Nam,Nắng
54613,Ca Mau,30,25,17,E,0.3,80,30,1012,2019-01-07,Nam,Nắng
54614,Ca Mau,33,24,15,E,0.6,69,55,1011,2020-01-07,Nam,Nắng
54615,Ca Mau,31,24,15,E,0.9,73,62,1009,2021-01-07,Nam,Nắng
54616,Ca Mau,30,24,11,NE,0.2,77,22,1011,2009-01-06,Nam,Nắng
54617,Ca Mau,31,26,22,E,5.3,74,27,1010,2010-01-06,Nam,Nắng
54618,Ca Mau,31,24,27,ENE,0.1,72,39,1009,2011-01-06,Nam,Nắng
