,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
68223,Cam Pha,17,13,24,NE,0.0,58,17,1024,2009-01-02,Khác,Lạnh
68224,Cam Pha,18,18,18,NNE,3.7,90,91,1016,2010-01-02,Khác,Mây
68225,Cam Pha,20,17,23,E,7.1,88,93,1016,2011-01-02,Khác,Mây
68226,Cam Pha,18,17,17,NE,2.1,79,92,1019,2012-01-02,Khác,Lạnh
68227,Cam Pha,19,15,14,NE,1.2,74,72,1017,2013-01-02,Khác,Lạnh
68228,Cam Pha,19,16,8,S,0.0,73,5,1014,2014-01-02,Khác,Lạnh
68229,Cam Pha,19,17,16,ENE,0.0,64,1,1022,2015-01-02,Khác,Lạnh
68230,Cam Pha,20,16,8,ENE,0.0,79,19,1021,2016-01-02,Khác,Lạnh
68231,Cam Pha,21,18,12,NE,0.0,83,50,1019,2017-01-02,Khác,Lạnh
68232,Cam Pha,20,17,12,NE,0.4,87,56,1017,2018-01-02,Khác,Mây
68233,Cam Pha,15,12,8,SSE,0.6,67,77,1026,2019-01-02,Khác,Lạnh
68234,Cam Pha,21,17,11,ENE,0.2,91,74,1021,2020-01-02,Khác,Mây
68235,Cam Pha,16,11,10,NE,0.0,53,10,1021,2021-01-02,Khác,Lạnh
68236,Cam Pha,21,19,16,E,0.3,82,40,1017,2009-01-05,Khác,Lạnh
68237,Cam Pha,24,22,15,S,8.1,90,38,1010,2010-01-05,Khác,Gió
68238,Cam Pha,17,13,14,NE,0.4,82,90,1017,2011-01-05,Khác,Mây
68239,Cam Pha,14,10,15,NE,2.1,82,68,1023,2012-01-05,Khác,Mây
68240,Cam Pha,15,11,16,NE,0.3,81,59,1018,2013-01-05,Khác,Mây
68241,Cam Pha,20,17,14,E,0.4,71,21,1015,2014-01-05,Khác,Lạnh
68242,Cam Pha,21,19,8,SE,2.9,93,72,1011,2015-01-05,Khác,Mây
68243,Cam Pha,21,17,9,SE,0.1,85,37,1015,2016-01-05,Khác,Lạnh
68244,Cam Pha,22,18,7,ESE,0.0,85,30,1015,2017-01-05,Khác,Lạnh
68245,Cam Pha,20,18,15,ENE,1.8,93,98,1014,2018-01-05,Khác,Mây
68246,Cam Pha,21,18,12,ENE,1.4,87,88,1021,2019-01-05,Khác,Mây
68247,Cam Pha,21,19,13,ENE,0.3,87,72,1017,2020-01-05,Khác,Mây
68248,Cam Pha,18,15,13,NE,0.3,65,99,1019,2021-01-05,Khác,Lạnh
68249,Cam Pha,17,13,25,NNE,0.0,68,30,1024,2009-01-01,Khác,Lạnh
68250,Cam Pha,20,19,22,ENE,1.3,91,88,1015,2010-01-01,Khác,Mây
68251,Cam Pha,19,18,22,ENE,2.6,78,79,1015,2011-01-01,Khác,Lạnh
68252,Cam Pha,19,16,15,NE,0.0,66,86,1021,2012-01-01,Khác,Lạnh
68253,Cam Pha,17,14,11,NE,0.0,55,24,1019,2013-01-01,Khác,Lạnh
68254,Cam Pha,19,15,8,ESE,0.0,56,0,1018,2014-01-01,Khác,Lạnh
68255,Cam Pha,20,16,16,ENE,0.0,55,0,1023,2015-01-01,Khác,Lạnh
68256,Cam Pha,18,15,11,NE,0.2,77,42,1025,2016-01-01,Khác,Lạnh
68257,Cam Pha,20,16,11,NE,9.2,78,75,1020,2017-01-01,Khác,Lạnh
68258,Cam Pha,19,16,12,NE,0.0,78,70,1019,2018-01-01,Khác,Lạnh
68259,Cam Pha,15,12,9,ESE,0.0,69,88,1028,2019-01-01,Khác,Lạnh
68260,Cam Pha,19,16,17,ENE,0.3,84,100,1023,2020-01-01,Khác,Mây
68261,Cam Pha,16,9,13,NE,0.0,44,11,1024,2021-01-01,Khác,Lạnh
68274,Cam Pha,17,14,20,NE,3.7,71,38,1021,2009-01-03,Khác,Lạnh
