,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
81882,Cam Ranh,25,22,21,NNE,2.9,87,63,1012,2009-01-05,Trung,Mây
81883,Cam Ranh,27,22,12,ESE,0.0,80,6,1011,2010-01-05,Trung,Gió
81884,Cam Ranh,26,23,25,NE,0.7,83,54,1011,2011-01-05,Trung,Mây
81885,Cam Ranh,25,22,24,NNE,0.0,86,27,1014,2012-01-05,Trung,Gió
81886,Cam Ranh,26,23,29,NW,8.8,81,52,1010,2013-01-05,Trung,Mây
81887,Cam Ranh,25,21,28,NNE,0.0,76,21,1013,2014-01-05,Trung,Lạnh
81888,Cam Ranh,27,23,15,ENE,0.0,84,27,1011,2015-01-05,Trung,Gió
81889,Cam Ranh,27,23,16,NE,0.1,83,39,1013,2016-01-05,Trung,Gió
81890,Cam Ranh,26,23,23,N,0.2,86,40,1012,2017-01-05,Trung,Gió
81891,Cam Ranh,28,23,14,S,1.1,86,39,1010,2018-01-05,Trung,Gió
81892,Cam Ranh,27,24,19,SW,6.0,87,59,1015,2019-01-05,Trung,Mây
81893,Cam Ranh,25,21,26,E,0.7,80,49,1014,2020-01-05,Trung,Lạnh
81894,Cam Ranh,24,21,32,NNE,21.7,90,87,1012,2021-01-05,Trung,Bão
81895,Cam Ranh,23,23,35,NNE,20.2,89,99,1013,2009-01-02,Trung,Bão
81896,Cam Ranh,27,24,18,SE,0.0,81,32,1012,2010-01-02,Trung,Gió
81897,Cam Ranh,26,22,24,ENE,0.0,80,21,1011,2011-01-02,Trung,Gió
81898,Cam Ranh,24,22,25,NNE,0.8,86,49,1014,2012-01-02,Trung,Gió
81899,Cam Ranh,27,23,26,N,0.2,78,35,1013,2013-01-02,Trung,Gió
81900,Cam Ranh,25,21,20,NNE,0.0,79,20,1013,2014-01-02,Trung,Lạnh
81901,Cam Ranh,26,21,32,E,2.0,79,46,1014,2015-01-02,Trung,Lạnh
81902,Cam Ranh,27,24,25,N,1.4,84,63,1016,2016-01-02,Trung,Mây
81903,Cam Ranh,26,23,25,NNE,16.0,89,74,1013,2017-01-02,Trung,Mây
81904,Cam Ranh,27,22,26,N,1.0,81,30,1011,2018-01-02,Trung,Gió
81905,Cam Ranh,26,24,38,NNE,50.0,90,99,1014,2019-01-02,Trung,Bão
81906,Cam Ranh,25,22,30,NNE,8.7,87,69,1017,2020-01-02,Trung,Mây
81907,Cam Ranh,22,17,30,NW,5.9,87,98,1013,2021-01-02,Trung,Mây
81908,Cam Ranh,25,24,27,N,1.9,83,45,1014,2009-01-07,Trung,Gió
81909,Cam Ranh,27,24,18,NNE,0.7,80,9,1014,2010-01-07,Trung,Gió
81910,Cam Ranh,25,23,31,NNE,1.5,80,50,1013,2011-01-07,Trung,Gió
81911,Cam Ranh,26,23,21,ENE,1.7,83,53,1014,2012-01-07,Trung,Mây
81912,Cam Ranh,24,24,24,NNE,33.8,92,93,1011,2013-01-07,Trung,Mây
81913,Cam Ranh,26,21,20,SSE,0.0,78,10,1012,2014-01-07,Trung,Lạnh
81914,Cam Ranh,27,23,22,NNE,0.4,84,35,1013,2015-01-07,Trung,Gió
81915,Cam Ranh,27,23,19,NNE,0.6,82,30,1016,2016-01-07,Trung,Gió
81916,Cam Ranh,26,23,19,SE,0.3,88,48,1010,2017-01-07,Trung,Gió
81917,Cam Ranh,28,23,12,S,4.4,85,34,1012,2018-01-07,Trung,Gió
81918,Cam Ranh,27,23,30,NNE,1.1,83,33,1015,2019-01-07,Trung,Gió
81919,Cam Ranh,26,22,20,E,0.1,83,48,1013,2020-01-07,Trung,Gió
81920,Cam Ranh,25,23,31,ENE,7.0,86,75,1011,2021-01-07,Trung,Mây
81921,Cam Ranh,23,21,38,N,0.3,78,47,1016,2009-01-09,Trung,Lạnh
81922,Cam Ranh,26,24,17,NNE,4.0,84,32,1013,2010-01-09,Trung,Gió
81923,Cam Ranh,26,22,32,N,0.3,76,15,1011,2011-01-09,Trung,Gió
81924,Cam Ranh,25,22,24,NE,0.3,80,57,1014,2012-01-09,Trung,Gió
81925,Cam Ranh,27,24,26,NNE,3.9,82,48,1011,2013-01-09,Trung,Gió
81926,Cam Ranh,25,22,28,NNE,0.1,78,35,1014,2014-01-09,Trung,Gió
81927,Cam Ranh,26,23,28,NNE,5.0,81,49,1014,2015-01-09,Trung,Gió
81928,Cam Ranh,27,23,15,NNE,2.2,82,46,1015,2016-01-09,Trung,Gió
81929,Cam Ranh,27,23,20,NNE,0.5,85,32,1010,2017-01-09,Trung,Gió
81930,Cam Ranh,28,24,23,E,0.4,82,32,1013,2018-01-09,Trung,Gió
81931,Cam Ranh,27,23,23,S,8.5,85,42,1015,2019-01-09,Trung,Gió
81932,Cam Ranh,25,22,26,ENE,0.1,82,24,1012,2020-01-09,Trung,Gió
81933,Cam Ranh,23,18,42,NNE,7.2,81,72,1013,2021-01-09,Trung,Mây
81934,Cam Ranh,25,24,21,NNE,4.9,87,60,1012,2009-01-06,Trung,Mây
81935,Cam Ranh,28,22,14,ESE,0.0,78,5,1012,2010-01-06,Trung,Gió
81936,Cam Ranh,26,23,29,N,0.2,81,34,1012,2011-01-06,Trung,Gió
81937,Cam Ranh,25,22,27,NNE,0.1,84,22,1015,2012-01-06,Trung,Gió
81938,Cam Ranh,25,23,28,NNE,29.0,90,90,1010,2013-01-06,Trung,Mây
81939,Cam Ranh,25,21,22,ENE,0.0,77,2,1012,2014-01-06,Trung,Lạnh
81940,Cam Ranh,27,23,15,NNE,0.1,85,30,1011,2015-01-06,Trung,Gió
81941,Cam Ranh,28,23,15,ENE,0.0,84,26,1015,2016-01-06,Trung,Gió
81942,Cam Ranh,26,23,22,N,0.2,87,56,1010,2017-01-06,Trung,Mây
81943,Cam Ranh,28,24,10,S,0.9,86,30,1010,2018-01-06,Trung,Gió
81944,Cam Ranh,26,24,25,NNE,18.3,87,67,1015,2019-01-06,Trung,Mây
81945,Cam Ranh,25,20,21,SSW,0.1,81,52,1014,2020-01-06,Trung,Mây
81946,Cam Ranh,24,23,33,NNE,8.8,88,88,1012,2021-01-06,Trung,Mây
81947,Cam Ranh,23,20,31,NE,0.4,80,58,1015,2009-01-11,Trung,Lạnh
81948,Cam Ranh,27,23,16,NNE,0.0,80,7,1014,2010-01-11,Trung,Gió
81949,Cam Ranh,26,22,29,E,0.0,78,32,1010,2011-01-11,Trung,Gió
81950,Cam Ranh,25,23,29,NNE,29.3,89,82,1013,2012-01-11,Trung,Mây
81951,Cam Ranh,27,23,29,NNE,0.2,77,22,1013,2013-01-11,Trung,Gió
81952,Cam Ranh,26,22,26,ENE,0.2,80,32,1015,2014-01-11,Trung,Gió
81953,Cam Ranh,26,23,26,NNE,1.0,80,47,1014,2015-01-11,Trung,Gió
81954,Cam Ranh,28,21,6,SE,0.0,83,17,1013,2016-01-11,Trung,Lạnh
81955,Cam Ranh,27,23,20,NNE,0.2,86,30,1011,2017-01-11,Trung,Gió
81956,Cam Ranh,25,22,35,N,4.4,79,76,1015,2018-01-11,Trung,Gió
81957,Cam Ranh,27,23,22,SSE,8.2,83,39,1014,2019-01-11,Trung,Gió
81958,Cam Ranh,26,22,21,SE,0.0,82,6,1011,2020-01-11,Trung,Gió
81959,Cam Ranh,24,21,39,SE,3.0,82,76,1014,2021-01-11,Trung,Mây
81960,Cam Ranh,23,22,25,NNE,3.1,87,61,1013,2009-01-04,Trung,Mây
81961,Cam Ranh,27,23,18,ESE,0.0,80,8,1011,2010-01-04,Trung,Gió
81962,Cam Ranh,24,23,22,NNE,14.5,89,74,1012,2011-01-04,Trung,Mây
81963,Cam Ranh,25,21,24,E,0.1,84,13,1015,2012-01-04,Trung,Lạnh
81964,Cam Ranh,27,23,30,N,1.2,78,23,1011,2013-01-04,Trung,Gió
81965,Cam Ranh,26,22,27,ENE,0.3,80,41,1013,2014-01-04,Trung,Gió
81966,Cam Ranh,26,23,22,NNE,0.4,84,52,1012,2015-01-04,Trung,Mây
81967,Cam Ranh,25,22,23,ENE,0.6,86,55,1013,2016-01-04,Trung,Mây
81968,Cam Ranh,26,23,23,NNE,2.0,88,78,1012,2017-01-04,Trung,Mây
81969,Cam Ranh,26,24,19,NNW,0.2,83,43,1009,2018-01-04,Trung,Gió
81970,Cam Ranh,26,24,19,NE,20.5,90,57,1016,2019-01-04,Trung,Mây
81971,Cam Ranh,24,22,31,NE,1.3,81,75,1014,2020-01-04,Trung,Mây
81972,Cam Ranh,24,17,32,E,28.0,89,99,1012,2021-01-04,Trung,Bão
81973,Cam Ranh,24,23,29,NE,21.0,90,92,1012,2009-01-01,Trung,Mây
81974,Cam Ranh,27,23,20,ENE,0.0,80,12,1012,2010-01-01,Trung,Gió
81975,Cam Ranh,26,22,27,NNE,0.2,77,11,1011,2011-01-01,Trung,Gió
81976,Cam Ranh,25,23,25,NNE,3.6,89,68,1015,2012-01-01,Trung,Mây
81977,Cam Ranh,27,23,29,NNE,0.2,78,29,1013,2013-01-01,Trung,Gió
81978,Cam Ranh,24,21,28,NNE,0.0,78,31,1014,2014-01-01,Trung,Lạnh
81979,Cam Ranh,25,21,34,NE,0.2,76,24,1015,2015-01-01,Trung,Lạnh
81980,Cam Ranh,26,23,31,N,4.6,79,53,1017,2016-01-01,Trung,Gió
81981,Cam Ranh,25,23,26,NNE,5.0,92,89,1013,2017-01-01,Trung,Mây
81982,Cam Ranh,26,22,30,NNE,1.1,79,44,1012,2018-01-01,Trung,Gió
81983,Cam Ranh,24,24,50,NNE,83.0,91,100,1014,2019-01-01,Trung,Bão
81984,Cam Ranh,25,23,29,NE,9.0,86,80,1017,2020-01-01,Trung,Mây
81985,Cam Ranh,22,17,39,SSE,3.7,86,100,1013,2021-01-01,Trung,Mây
81986,Cam Ranh,22,21,31,NE,1.5,83,77,1017,2009-01-12,Trung,Mây
81987,Cam Ranh,26,23,23,NNE,1.1,80,34,1015,2010-01-12,Trung,Gió
81988,Cam Ranh,26,22,30,NE,0.1,78,32,1010,2011-01-12,Trung,Gió
81989,Cam Ranh,25,23,29,NNE,43.5,89,74,1012,2012-01-12,Trung,Mây
81990,Cam Ranh,27,22,26,NE,0.0,77,7,1013,2013-01-12,Trung,Gió
81991,Cam Ranh,26,22,28,NNE,0.8,81,46,1015,2014-01-12,Trung,Gió
81992,Cam Ranh,26,23,28,NE,0.2,79,25,1014,2015-01-12,Trung,Gió
81993,Cam Ranh,28,23,13,NNE,0.0,83,25,1014,2016-01-12,Trung,Gió
81994,Cam Ranh,27,23,21,S,0.0,84,28,1009,2017-01-12,Trung,Gió
81995,Cam Ranh,24,22,33,NNE,4.9,78,72,1015,2018-01-12,Trung,Gió
81996,Cam Ranh,27,24,27,NNE,6.6,83,41,1014,2019-01-12,Trung,Gió
81997,Cam Ranh,25,22,23,E,0.0,81,15,1011,2020-01-12,Trung,Gió
81998,Cam Ranh,22,20,47,N,2.0,80,76,1015,2021-01-12,Trung,Lạnh
81999,Cam Ranh,22,20,40,N,0.8,80,74,1016,2009-01-10,Trung,Lạnh
82000,Cam Ranh,27,24,16,NNE,0.0,80,17,1013,2010-01-10,Trung,Gió
82001,Cam Ranh,26,22,30,NE,0.4,77,24,1010,2011-01-10,Trung,Gió
82002,Cam Ranh,25,22,31,NNE,0.6,84,71,1013,2012-01-10,Trung,Mây
82003,Cam Ranh,26,24,29,NNE,2.0,81,59,1012,2013-01-10,Trung,Mây
82004,Cam Ranh,26,22,27,NNE,0.3,79,25,1015,2014-01-10,Trung,Gió
82005,Cam Ranh,26,23,25,NNE,1.4,81,46,1014,2015-01-10,Trung,Gió
82006,Cam Ranh,27,23,11,NNE,0.5,82,28,1014,2016-01-10,Trung,Gió
82007,Cam Ranh,26,23,20,NNE,0.3,84,27,1011,2017-01-10,Trung,Gió
82008,Cam Ranh,26,23,34,NE,5.0,82,88,1015,2018-01-10,Trung,Mây
82009,Cam Ranh,27,23,22,S,7.7,84,37,1015,2019-01-10,Trung,Gió
82010,Cam Ranh,26,23,21,SE,0.0,80,9,1011,2020-01-10,Trung,Gió
82011,Cam Ranh,24,21,35,NNE,1.9,80,57,1013,2021-01-10,Trung,Lạnh
82012,Cam Ranh,23,21,34,NNE,0.2,81,60,1018,2009-01-14,Trung,Mây
82013,Cam Ranh,26,23,28,NNE,3.8,80,46,1017,2010-01-14,Trung,Gió
82014,Cam Ranh,26,22,24,NE,0.0,78,21,1011,2011-01-14,Trung,Gió
82015,Cam Ranh,26,23,20,NNE,0.7,87,68,1011,2012-01-14,Trung,Mây
82016,Cam Ranh,26,22,24,NNE,1.0,79,41,1013,2013-01-14,Trung,Gió
82017,Cam Ranh,24,20,33,NNE,1.5,77,37,1015,2014-01-14,Trung,Lạnh
82018,Cam Ranh,25,19,32,NE,0.5,77,8,1016,2015-01-14,Trung,Lạnh
82019,Cam Ranh,27,23,16,NNE,1.3,84,46,1013,2016-01-14,Trung,Gió
82020,Cam Ranh,24,23,20,W,34.8,91,98,1010,2017-01-14,Trung,Mây
82021,Cam Ranh,25,22,28,NNE,4.7,81,70,1014,2018-01-14,Trung,Mây
82022,Cam Ranh,27,22,31,NE,0.1,79,13,1012,2019-01-14,Trung,Gió
82023,Cam Ranh,25,21,24,S,0.3,79,37,1013,2020-01-14,Trung,Lạnh
82024,Cam Ranh,23,19,25,SE,0.3,78,36,1013,2021-01-14,Trung,Lạnh
82025,Cam Ranh,25,23,34,NNE,0.2,80,48,1015,2009-01-08,Trung,Gió
82026,Cam Ranh,27,23,20,NNE,0.2,80,22,1014,2010-01-08,Trung,Gió
82027,Cam Ranh,25,22,32,NNE,0.3,78,23,1012,2011-01-08,Trung,Gió
82028,Cam Ranh,24,22,32,NNE,1.5,81,46,1015,2012-01-08,Trung,Gió
82029,Cam Ranh,28,24,20,ENE,5.5,85,57,1011,2013-01-08,Trung,Mây
82030,Cam Ranh,26,22,21,ESE,0.0,78,35,1013,2014-01-08,Trung,Gió
82031,Cam Ranh,26,23,28,NNE,3.3,81,51,1014,2015-01-08,Trung,Mây
82032,Cam Ranh,27,23,17,NNE,1.0,82,35,1015,2016-01-08,Trung,Gió
82033,Cam Ranh,26,23,18,NNE,0.2,87,31,1010,2017-01-08,Trung,Gió
82034,Cam Ranh,29,24,8,SSW,0.5,84,36,1012,2018-01-08,Trung,Gió
82035,Cam Ranh,25,23,26,NE,8.1,88,60,1015,2019-01-08,Trung,Mây
82036,Cam Ranh,26,23,26,SE,0.1,83,44,1013,2020-01-08,Trung,Gió
82037,Cam Ranh,24,19,36,ENE,7.8,85,70,1012,2021-01-08,Trung,Mây
82038,Cam Ranh,24,21,23,N,0.0,81,36,1016,2009-01-17,Trung,Lạnh
82039,Cam Ranh,24,23,33,NNE,2.2,82,86,1016,2010-01-17,Trung,Mây
82040,Cam Ranh,25,21,29,NE,0.7,77,25,1013,2011-01-17,Trung,Lạnh
82041,Cam Ranh,27,23,13,SSE,2.1,88,40,1009,2012-01-17,Trung,Gió
82042,Cam Ranh,26,22,32,NE,0.7,75,24,1015,2013-01-17,Trung,Gió
82043,Cam Ranh,25,20,29,ESE,1.4,76,29,1016,2014-01-17,Trung,Lạnh
82044,Cam Ranh,25,21,28,ENE,4.0,80,53,1015,2015-01-17,Trung,Lạnh
82045,Cam Ranh,29,22,5,SSW,0.0,83,13,1011,2016-01-17,Trung,Khác
82046,Cam Ranh,26,23,25,NNE,0.5,85,55,1014,2017-01-17,Trung,Mây
82047,Cam Ranh,25,22,25,N,0.4,78,49,1011,2018-01-17,Trung,Gió
82048,Cam Ranh,27,24,28,NNE,12.3,82,45,1014,2019-01-17,Trung,Gió
82049,Cam Ranh,26,23,22,SSE,0.1,82,27,1014,2020-01-17,Trung,Gió
82050,Cam Ranh,24,21,34,SE,0.4,79,41,1014,2021-01-17,Trung,Lạnh
82051,Cam Ranh,23,21,35,NNE,1.5,80,70,1019,2009-01-13,Trung,Lạnh
82052,Cam Ranh,24,23,29,NNE,6.1,84,70,1017,2010-01-13,Trung,Mây
82053,Cam Ranh,26,22,27,SE,0.0,77,30,1011,2011-01-13,Trung,Gió
82054,Cam Ranh,26,23,23,NNE,12.6,87,72,1012,2012-01-13,Trung,Mây
82055,Cam Ranh,27,22,25,SSE,0.3,79,30,1012,2013-01-13,Trung,Gió
82056,Cam Ranh,25,22,30,NNE,1.8,79,39,1014,2014-01-13,Trung,Gió
82057,Cam Ranh,25,21,32,E,0.1,76,20,1014,2015-01-13,Trung,Lạnh
82058,Cam Ranh,28,23,18,NNE,0.4,81,18,1013,2016-01-13,Trung,Gió
82059,Cam Ranh,27,23,20,W,2.5,82,61,1009,2017-01-13,Trung,Mây
82060,Cam Ranh,25,22,31,NNE,2.3,78,67,1015,2018-01-13,Trung,Gió
82061,Cam Ranh,27,23,31,N,1.5,80,19,1014,2019-01-13,Trung,Gió
82062,Cam Ranh,25,22,28,E,0.4,80,45,1012,2020-01-13,Trung,Gió
82063,Cam Ranh,22,19,31,E,0.9,77,43,1014,2021-01-13,Trung,Lạnh
82064,Cam Ranh,22,21,34,NNE,0.8,81,74,1018,2009-01-15,Trung,Mây
82065,Cam Ranh,26,23,28,NNE,0.2,76,38,1017,2010-01-15,Trung,Gió
82066,Cam Ranh,26,22,27,NE,2.5,79,54,1012,2011-01-15,Trung,Gió
82067,Cam Ranh,26,23,13,ENE,0.1,89,38,1009,2012-01-15,Trung,Gió
82068,Cam Ranh,26,22,27,NNE,0.4,74,14,1014,2013-01-15,Trung,Gió
82069,Cam Ranh,24,19,32,NE,0.1,74,7,1016,2014-01-15,Trung,Lạnh
82070,Cam Ranh,24,18,29,SE,0.0,76,4,1016,2015-01-15,Trung,Lạnh
82071,Cam Ranh,28,23,12,ESE,0.6,86,36,1011,2016-01-15,Trung,Gió
82072,Cam Ranh,24,23,21,E,23.7,92,84,1012,2017-01-15,Trung,Mây
82073,Cam Ranh,26,23,26,NNE,5.9,83,85,1012,2018-01-15,Trung,Mây
82074,Cam Ranh,27,23,28,E,0.2,80,54,1013,2019-01-15,Trung,Gió
82075,Cam Ranh,25,21,22,SSE,0.0,77,15,1013,2020-01-15,Trung,Lạnh
82076,Cam Ranh,23,19,23,SE,0.0,80,18,1012,2021-01-15,Trung,Lạnh
82077,Cam Ranh,24,22,29,NNE,0.3,80,36,1017,2009-01-16,Trung,Gió
82078,Cam Ranh,25,23,31,NNE,0.9,78,57,1017,2010-01-16,Trung,Gió
82079,Cam Ranh,24,21,32,NNE,3.0,78,54,1013,2011-01-16,Trung,Lạnh
82080,Cam Ranh,26,22,13,ENE,0.2,90,35,1008,2012-01-16,Trung,Gió
82081,Cam Ranh,26,21,28,E,0.2,73,5,1015,2013-01-16,Trung,Lạnh
82082,Cam Ranh,25,20,28,SE,0.1,75,14,1016,2014-01-16,Trung,Lạnh
82083,Cam Ranh,24,19,29,NE,0.6,77,10,1016,2015-01-16,Trung,Lạnh
82084,Cam Ranh,28,22,7,SSE,0.0,86,15,1011,2016-01-16,Trung,Gió
82085,Cam Ranh,26,23,18,NNE,17.6,88,62,1012,2017-01-16,Trung,Mây
