,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
95493,Can Tho,24,21,9,NNE,4.5,88,85,1011,2009-01-03,Nam,Mây
95494,Can Tho,31,25,16,E,0.0,67,52,1010,2010-01-03,Nam,Nắng
95495,Can Tho,32,22,8,E,1.0,77,27,1009,2011-01-03,Nam,Nắng
95496,Can Tho,30,22,14,ESE,0.6,78,30,1012,2012-01-03,Nam,Nắng
95497,Can Tho,33,24,9,ENE,0.0,71,25,1011,2013-01-03,Nam,Nắng
95498,Can Tho,32,21,7,ENE,0.0,74,24,1011,2014-01-03,Nam,Nắng
95499,Can Tho,30,21,8,SSE,0.2,71,35,1012,2015-01-03,Nam,Nắng
95501,Can Tho,32,25,8,ESE,3.4,71,61,1014,2016-01-03,Nam,Nắng
95502,Can Tho,31,23,14,E,0.0,73,37,1010,2017-01-03,Nam,Nắng
95503,Can Tho,32,23,7,E,0.0,75,21,1009,2018-01-03,Nam,Nắng
95504,Can Tho,27,22,20,NE,6.2,89,73,1012,2019-01-03,Nam,Mây
95505,Can Tho,32,23,12,E,0.0,68,25,1013,2020-01-03,Nam,Nắng
95506,Can Tho,26,22,7,SSW,0.3,78,54,1010,2021-01-03,Nam,Gió
95530,Can Tho,26,21,14,S,3.9,93,89,1010,2009-01-01,Nam,Mây
95531,Can Tho,33,23,11,E,0.0,64,21,1010,2010-01-01,Nam,Nắng
95532,Can Tho,29,22,7,SSE,0.2,80,42,1008,2011-01-01,Nam,Gió
95533,Can Tho,31,23,20,E,0.0,77,46,1012,2012-01-01,Nam,Nắng
95534,Can Tho,32,23,9,SE,0.0,71,42,1010,2013-01-01,Nam,Nắng
95535,Can Tho,29,20,8,SE,0.0,72,42,1012,2014-01-01,Nam,Lạnh
95536,Can Tho,29,21,7,S,0.3,77,27,1012,2015-01-01,Nam,Lạnh
95537,Can Tho,32,22,12,ESE,0.0,61,14,1015,2016-01-01,Nam,Nắng
95538,Can Tho,30,23,12,NE,0.1,79,32,1011,2017-01-01,Nam,Nắng
95539,Can Tho,30,21,6,E,0.0,72,28,1010,2018-01-01,Nam,Nắng
95540,Can Tho,28,22,20,E,0.6,69,47,1013,2019-01-01,Nam,Gió
95541,Can Tho,32,23,12,ENE,0.0,62,10,1014,2020-01-01,Nam,Nắng
95542,Can Tho,27,21,9,SSW,0.0,72,35,1011,2021-01-01,Nam,Lạnh
95555,Can Tho,29,21,8,ESE,0.0,80,23,1011,2009-01-05,Nam,Lạnh
95556,Can Tho,34,25,16,ESE,0.3,65,28,1009,2010-01-05,Nam,Nắng
95557,Can Tho,31,23,16,E,0.8,76,78,1008,2011-01-05,Nam,Nắng
95558,Can Tho,32,21,8,ESE,0.2,76,16,1012,2012-01-05,Nam,Nắng
95559,Can Tho,29,21,10,SW,0.0,69,26,1008,2013-01-05,Nam,Lạnh
95560,Can Tho,30,22,9,ESE,2.5,82,49,1010,2014-01-05,Nam,Nắng
95561,Can Tho,31,23,7,SSE,12.9,78,48,1010,2015-01-05,Nam,Nắng
95562,Can Tho,33,24,12,ESE,2.1,72,68,1012,2016-01-05,Nam,Nắng
95563,Can Tho,31,23,17,E,0.0,77,17,1009,2017-01-05,Nam,Nắng
95564,Can Tho,31,24,9,SE,1.8,81,47,1009,2018-01-05,Nam,Nắng
95565,Can Tho,30,24,16,E,0.2,84,38,1013,2019-01-05,Nam,Nắng
95566,Can Tho,32,22,8,SE,0.0,73,22,1011,2020-01-05,Nam,Nắng
95567,Can Tho,25,20,8,ESE,4.8,87,83,1010,2021-01-05,Nam,Mây
95568,Can Tho,28,20,8,ENE,0.5,84,25,1011,2009-01-04,Nam,Lạnh
95569,Can Tho,34,25,17,ESE,0.0,65,48,1009,2010-01-04,Nam,Nắng
95570,Can Tho,31,23,7,ENE,1.7,80,54,1009,2011-01-04,Nam,Nắng
95571,Can Tho,30,22,14,ESE,0.1,77,23,1012,2012-01-04,Nam,Nắng
95572,Can Tho,32,24,5,SSW,3.0,75,47,1009,2013-01-04,Nam,Nắng
95573,Can Tho,32,22,8,ESE,8.9,79,49,1011,2014-01-04,Nam,Nắng
95574,Can Tho,32,23,7,SSW,2.9,71,35,1010,2015-01-04,Nam,Nắng
95575,Can Tho,31,24,10,ESE,0.6,76,55,1012,2016-01-04,Nam,Nắng
95576,Can Tho,30,23,14,ENE,0.4,75,60,1009,2017-01-04,Nam,Nắng
95577,Can Tho,33,23,6,S,0.0,75,21,1008,2018-01-04,Nam,Nắng
