,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
109164,Chau Doc,27,21,22,NNE,0.1,80,49,1012,2009-01-02,Nam,Lạnh
109165,Chau Doc,30,24,7,E,0.0,62,39,1010,2010-01-02,Nam,Nắng
109166,Chau Doc,32,21,5,NE,0.0,70,14,1009,2011-01-02,Nam,Nắng
109167,Chau Doc,31,23,7,E,4.9,79,45,1012,2012-01-02,Nam,Nắng
109168,Chau Doc,32,22,9,SW,0.0,67,12,1011,2013-01-02,Nam,Nắng
109169,Chau Doc,31,22,6,SSE,0.0,65,20,1012,2014-01-02,Nam,Nắng
109170,Chau Doc,29,18,14,ENE,0.0,62,27,1013,2015-01-02,Nam,Lạnh
109171,Chau Doc,33,23,10,ESE,0.0,60,15,1014,2016-01-02,Nam,Nắng
109172,Chau Doc,32,23,12,NE,6.7,75,37,1011,2017-01-02,Nam,Nắng
109173,Chau Doc,32,22,7,NNE,0.0,64,7,1009,2018-01-02,Nam,Nắng
109174,Chau Doc,26,23,21,NNE,9.5,75,67,1013,2019-01-02,Nam,Gió
109175,Chau Doc,33,23,9,ENE,0.0,61,18,1014,2020-01-02,Nam,Nắng
109176,Chau Doc,27,21,15,E,0.0,67,44,1011,2021-01-02,Nam,Lạnh
109177,Chau Doc,27,21,18,NNE,0.0,76,55,1012,2009-01-03,Nam,Lạnh
109178,Chau Doc,34,26,10,ESE,0.0,65,37,1010,2010-01-03,Nam,Nắng
109179,Chau Doc,32,22,6,ESE,0.1,65,36,1009,2011-01-03,Nam,Nắng
109180,Chau Doc,32,23,6,ESE,2.7,78,34,1012,2012-01-03,Nam,Nắng
109181,Chau Doc,32,23,11,E,0.0,64,20,1011,2013-01-03,Nam,Nắng
109182,Chau Doc,33,22,5,ENE,0.0,66,22,1012,2014-01-03,Nam,Nắng
109183,Chau Doc,31,21,16,S,0.0,62,22,1012,2015-01-03,Nam,Nắng
109184,Chau Doc,33,25,9,SE,0.4,63,47,1014,2016-01-03,Nam,Nắng
109185,Chau Doc,31,23,10,ENE,0.1,75,47,1010,2017-01-03,Nam,Nắng
109186,Chau Doc,32,22,8,S,0.0,65,13,1009,2018-01-03,Nam,Nắng
109187,Chau Doc,29,22,19,NE,14.2,80,72,1013,2019-01-03,Nam,Gió
109188,Chau Doc,32,24,7,S,0.0,66,31,1013,2020-01-03,Nam,Nắng
109189,Chau Doc,28,21,10,SSW,0.0,74,39,1011,2021-01-03,Nam,Lạnh
109190,Chau Doc,29,21,13,NNE,0.0,71,40,1012,2009-01-04,Nam,Lạnh
109191,Chau Doc,35,24,11,ESE,0.0,62,55,1009,2010-01-04,Nam,Nắng
109192,Chau Doc,33,23,7,SE,1.4,71,58,1009,2011-01-04,Nam,Nắng
109193,Chau Doc,31,23,6,ESE,0.1,74,24,1013,2012-01-04,Nam,Nắng
109194,Chau Doc,32,23,12,SE,0.0,65,14,1009,2013-01-04,Nam,Nắng
109195,Chau Doc,33,23,5,SSE,0.5,68,31,1011,2014-01-04,Nam,Nắng
109196,Chau Doc,33,21,9,SE,2.1,65,27,1011,2015-01-04,Nam,Nắng
109197,Chau Doc,31,25,10,ESE,0.4,70,57,1012,2016-01-04,Nam,Nắng
109198,Chau Doc,31,22,8,ESE,4.7,75,54,1010,2017-01-04,Nam,Nắng
109199,Chau Doc,33,24,10,SSW,0.0,64,33,1008,2018-01-04,Nam,Nắng
109200,Chau Doc,29,23,18,E,14.3,82,45,1013,2019-01-04,Nam,Gió
109201,Chau Doc,33,23,6,SW,0.0,65,17,1012,2020-01-04,Nam,Nắng
109202,Chau Doc,32,23,10,SE,0.0,67,42,1010,2021-01-04,Nam,Nắng
109203,Chau Doc,25,20,17,SE,10.4,89,87,1011,2009-01-01,Nam,Mây
109204,Chau Doc,34,25,5,SE,0.0,59,24,1010,2010-01-01,Nam,Nắng
109205,Chau Doc,31,21,9,E,0.0,64,14,1008,2011-01-01,Nam,Nắng
109206,Chau Doc,32,23,7,ENE,12.5,76,46,1012,2012-01-01,Nam,Nắng
109207,Chau Doc,31,21,12,SW,0.0,68,11,1010,2013-01-01,Nam,Nắng
109208,Chau Doc,29,20,12,SE,0.0,64,26,1013,2014-01-01,Nam,Lạnh
109209,Chau Doc,30,21,13,SE,0.0,65,27,1013,2015-01-01,Nam,Nắng
109210,Chau Doc,33,22,14,ENE,0.0,57,12,1015,2016-01-01,Nam,Nắng
109211,Chau Doc,31,22,14,NNE,2.1,78,29,1011,2017-01-01,Nam,Nắng
109212,Chau Doc,30,22,9,ESE,0.0,66,24,1010,2018-01-01,Nam,Nắng
109213,Chau Doc,29,22,21,ESE,0.0,64,25,1014,2019-01-01,Nam,Gió
109214,Chau Doc,34,23,10,ESE,0.0,58,9,1014,2020-01-01,Nam,Nắng
109215,Chau Doc,28,20,19,ENE,0.0,64,35,1011,2021-01-01,Nam,Lạnh
109216,Chau Doc,28,21,21,NNE,0.0,58,8,1015,2009-01-09,Nam,Lạnh
109217,Chau Doc,34,25,6,E,0.0,59,40,1011,2010-01-09,Nam,Nắng
109218,Chau Doc,32,21,9,NNE,0.0,62,7,1009,2011-01-09,Nam,Nắng
109219,Chau Doc,31,21,10,E,0.6,64,47,1012,2012-01-09,Nam,Nắng
109220,Chau Doc,32,24,12,SE,1.6,74,65,1010,2013-01-09,Nam,Nắng
109221,Chau Doc,33,22,6,ESE,2.8,64,33,1011,2014-01-09,Nam,Nắng
109222,Chau Doc,32,23,5,E,0.2,70,22,1012,2015-01-09,Nam,Nắng
109223,Chau Doc,33,24,11,SE,0.0,69,29,1013,2016-01-09,Nam,Nắng
109224,Chau Doc,32,24,11,ESE,0.0,75,16,1008,2017-01-09,Nam,Nắng
109225,Chau Doc,31,24,7,SE,10.9,81,37,1011,2018-01-09,Nam,Nắng
109226,Chau Doc,32,23,7,E,0.0,71,32,1013,2019-01-09,Nam,Nắng
109227,Chau Doc,34,24,7,SSW,0.0,63,26,1010,2020-01-09,Nam,Nắng
109228,Chau Doc,31,22,12,NNE,0.0,63,10,1010,2021-01-09,Nam,Nắng
109229,Chau Doc,31,22,12,NNE,0.0,68,14,1011,2009-01-06,Nam,Nắng
109230,Chau Doc,31,22,13,ESE,0.1,68,15,1013,2009-01-07,Nam,Nắng
109231,Chau Doc,34,24,13,ESE,0.0,58,15,1012,2010-01-07,Nam,Nắng
109232,Chau Doc,32,22,10,NNE,0.0,64,33,1011,2011-01-07,Nam,Nắng
109233,Chau Doc,31,23,10,ESE,0.7,69,42,1012,2012-01-07,Nam,Nắng
109234,Chau Doc,28,22,14,SE,0.6,80,54,1010,2013-01-07,Nam,Gió
109235,Chau Doc,34,24,11,ESE,2.5,65,29,1010,2010-01-06,Nam,Nắng
109236,Chau Doc,33,23,13,NE,0.1,69,34,1010,2011-01-06,Nam,Nắng
109237,Chau Doc,32,23,9,SE,0.0,68,15,1013,2012-01-06,Nam,Nắng
109238,Chau Doc,25,23,13,S,7.6,76,77,1009,2013-01-06,Nam,Gió
109239,Chau Doc,33,23,6,SE,0.0,68,32,1010,2014-01-06,Nam,Nắng
109240,Chau Doc,32,24,4,SE,9.1,76,37,1010,2015-01-06,Nam,Nắng
109241,Chau Doc,33,25,12,SE,2.3,69,40,1013,2016-01-06,Nam,Nắng
109242,Chau Doc,31,23,10,E,5.2,77,56,1008,2017-01-06,Nam,Nắng
109243,Chau Doc,31,24,10,SE,3.0,83,38,1009,2018-01-06,Nam,Nắng
109244,Chau Doc,31,24,8,E,1.1,76,39,1013,2019-01-06,Nam,Nắng
109245,Chau Doc,33,23,9,SSW,0.0,60,10,1012,2020-01-06,Nam,Nắng
109246,Chau Doc,31,23,10,ESE,0.0,73,34,1010,2021-01-06,Nam,Nắng
109247,Chau Doc,33,23,6,SSE,0.0,62,21,1011,2014-01-07,Nam,Nắng
109248,Chau Doc,32,24,6,SE,10.4,77,32,1010,2015-01-07,Nam,Nắng
109249,Chau Doc,33,24,11,SE,0.2,69,42,1014,2016-01-07,Nam,Nắng
109250,Chau Doc,30,23,12,ESE,0.9,78,38,1008,2017-01-07,Nam,Nắng
109251,Chau Doc,31,24,9,SE,4.4,82,42,1010,2018-01-07,Nam,Nắng
109252,Chau Doc,33,24,10,ESE,0.0,71,7,1012,2019-01-07,Nam,Nắng
109253,Chau Doc,33,24,5,SW,0.0,65,28,1011,2020-01-07,Nam,Nắng
109254,Chau Doc,31,24,6,SE,0.0,71,38,1009,2021-01-07,Nam,Nắng
109255,Chau Doc,30,21,14,NNE,0.0,69,9,1011,2009-01-05,Nam,Nắng
109256,Chau Doc,35,25,11,ESE,0.0,59,26,1009,2010-01-05,Nam,Nắng
109257,Chau Doc,32,24,7,ENE,1.7,76,61,1009,2011-01-05,Nam,Nắng
109258,Chau Doc,33,23,5,NE,0.0,69,10,1013,2012-01-05,Nam,Nắng
109259,Chau Doc,30,21,14,NE,0.0,64,26,1009,2013-01-05,Nam,Nắng
109260,Chau Doc,33,23,6,S,0.0,66,23,1010,2014-01-05,Nam,Nắng
109261,Chau Doc,33,24,6,SW,3.2,71,54,1010,2015-01-05,Nam,Nắng
109262,Chau Doc,33,26,8,SE,1.8,63,69,1012,2016-01-05,Nam,Nắng
109263,Chau Doc,31,24,9,E,2.7,79,27,1009,2017-01-05,Nam,Nắng
109264,Chau Doc,30,25,7,SSW,15.4,76,46,1009,2018-01-05,Nam,Nắng
109265,Chau Doc,31,24,16,ESE,0.1,79,18,1013,2019-01-05,Nam,Nắng
109266,Chau Doc,34,23,7,S,0.0,67,6,1012,2020-01-05,Nam,Nắng
109267,Chau Doc,26,23,11,SE,6.3,79,78,1011,2021-01-05,Nam,Gió
109268,Chau Doc,30,21,16,NNE,0.0,60,10,1014,2009-01-08,Nam,Nắng
109269,Chau Doc,27,19,20,ESE,0.0,61,14,1015,2009-01-10,Nam,Lạnh
109270,Chau Doc,33,25,8,SSE,0.6,64,39,1011,2010-01-10,Nam,Nắng
109271,Chau Doc,31,20,15,NNE,0.0,57,6,1009,2011-01-10,Nam,Nắng
109272,Chau Doc,31,23,15,E,0.1,63,50,1011,2012-01-10,Nam,Nắng
109273,Chau Doc,33,23,12,SE,0.6,68,26,1010,2013-01-10,Nam,Nắng
109274,Chau Doc,32,23,7,ESE,0.1,65,48,1012,2014-01-10,Nam,Nắng
