,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
122787,Da Lat,21,15,15,NE,7.0,98,100,1013,2009-01-02,Trung,Mây
122788,Da Lat,28,13,8,ENE,0.4,87,61,1012,2010-01-02,Trung,Mây
122789,Da Lat,22,13,7,NE,0.0,85,39,1011,2011-01-02,Trung,Lạnh
122790,Da Lat,24,14,8,ENE,1.9,94,72,1014,2012-01-02,Trung,Mây
122791,Da Lat,24,15,7,NE,0.3,85,59,1012,2013-01-02,Trung,Mây
122792,Da Lat,25,15,3,E,0.4,87,63,1013,2014-01-02,Trung,Mây
122793,Da Lat,22,14,9,NNE,0.5,88,58,1014,2015-01-02,Trung,Mây
122794,Da Lat,24,16,7,NE,2.3,90,73,1016,2016-01-02,Trung,Mây
122795,Da Lat,22,15,11,NE,0.7,88,60,1012,2017-01-02,Trung,Mây
122796,Da Lat,24,14,7,NE,0.0,80,40,1011,2018-01-02,Trung,Lạnh
122797,Da Lat,17,16,13,NE,11.0,96,90,1014,2019-01-02,Trung,Mây
122798,Da Lat,23,15,10,ENE,0.4,82,50,1016,2020-01-02,Trung,Lạnh
122799,Da Lat,21,13,9,NE,0.0,83,42,1012,2021-01-02,Trung,Lạnh
122812,Da Lat,18,13,13,NE,20.1,98,100,1013,2009-01-03,Trung,Mây
122813,Da Lat,21,15,8,ENE,0.1,88,43,1012,2010-01-03,Trung,Lạnh
122814,Da Lat,26,15,6,E,5.9,90,72,1011,2011-01-03,Trung,Mây
122815,Da Lat,24,14,6,NE,0.8,89,57,1014,2012-01-03,Trung,Mây
122816,Da Lat,25,15,9,NE,0.8,89,69,1013,2013-01-03,Trung,Mây
122817,Da Lat,26,14,3,S,0.1,85,67,1013,2014-01-03,Trung,Mây
122818,Da Lat,23,14,8,NE,1.2,90,78,1013,2015-01-03,Trung,Mây
122819,Da Lat,22,16,4,NE,5.5,91,76,1015,2016-01-03,Trung,Mây
122820,Da Lat,22,14,10,NE,0.0,85,52,1012,2017-01-03,Trung,Mây
122821,Da Lat,25,16,7,NE,7.1,86,49,1010,2018-01-03,Trung,Lạnh
122822,Da Lat,19,16,12,ENE,1.6,90,70,1015,2019-01-03,Trung,Mây
122823,Da Lat,23,16,9,NE,0.0,80,35,1015,2020-01-03,Trung,Lạnh
