,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
136410,Ha Noi,19,12,6,NNE,0.0,70,44,1025,2009-01-01,Bắc,Lạnh
136411,Ha Noi,18,17,5,NNE,4.4,92,100,1015,2010-01-01,Bắc,Mây
136412,Ha Noi,20,15,5,E,0.8,85,66,1015,2011-01-01,Bắc,Mây
136413,Ha Noi,20,16,5,ESE,0.0,66,76,1021,2012-01-01,Bắc,Lạnh
136414,Ha Noi,20,11,4,SE,0.0,43,29,1019,2013-01-01,Bắc,Lạnh
136415,Ha Noi,22,10,4,SW,0.0,48,0,1018,2014-01-01,Bắc,Lạnh
136416,Ha Noi,26,14,7,SSE,0.0,51,0,1023,2015-01-01,Bắc,Lạnh
136417,Ha Noi,22,15,5,ENE,0.0,69,86,1025,2016-01-01,Bắc,Lạnh
136418,Ha Noi,18,17,4,WSW,4.0,77,100,1021,2017-01-01,Bắc,Lạnh
136419,Ha Noi,20,16,5,SE,0.2,77,85,1019,2018-01-01,Bắc,Lạnh
136420,Ha Noi,15,10,9,ENE,0.0,61,80,1028,2019-01-01,Bắc,Lạnh
136421,Ha Noi,22,20,8,SSE,0.3,76,90,1024,2020-01-01,Bắc,Lạnh
136422,Ha Noi,19,10,8,NE,0.0,36,19,1025,2021-01-01,Bắc,Lạnh
136423,Ha Noi,18,12,6,ESE,0.5,65,28,1025,2009-01-02,Bắc,Lạnh
136448,Ha Noi,19,17,6,SSE,2.1,90,93,1016,2010-01-02,Bắc,Mây
136449,Ha Noi,22,17,6,E,1.1,90,88,1015,2011-01-02,Bắc,Mây
136450,Ha Noi,18,16,3,ENE,0.7,77,92,1019,2012-01-02,Bắc,Lạnh
136451,Ha Noi,20,13,4,ENE,0.1,66,65,1017,2013-01-02,Bắc,Lạnh
136452,Ha Noi,26,15,6,SSE,0.0,65,0,1014,2014-01-02,Bắc,Lạnh
136453,Ha Noi,23,16,6,SSE,0.0,60,6,1022,2015-01-02,Bắc,Lạnh
136454,Ha Noi,24,16,5,SSE,0.0,75,51,1022,2016-01-02,Bắc,Lạnh
136455,Ha Noi,25,18,5,SW,0.0,77,93,1020,2017-01-02,Bắc,Lạnh
136456,Ha Noi,22,18,7,ESE,0.7,83,85,1017,2018-01-02,Bắc,Mây
136457,Ha Noi,16,10,7,SE,0.0,57,90,1027,2019-01-02,Bắc,Lạnh
136458,Ha Noi,24,20,9,SE,1.0,81,80,1022,2020-01-02,Bắc,Mây
136459,Ha Noi,22,12,6,S,0.0,47,3,1021,2021-01-02,Bắc,Lạnh
136472,Ha Noi,20,13,5,ESE,0.7,74,40,1022,2009-01-03,Bắc,Lạnh
136473,Ha Noi,20,17,4,ESE,0.6,89,78,1016,2010-01-03,Bắc,Mây
136474,Ha Noi,16,14,7,NE,2.0,85,95,1018,2011-01-03,Bắc,Mây
136475,Ha Noi,20,14,8,NNE,1.9,83,93,1018,2012-01-03,Bắc,Mây
136476,Ha Noi,14,11,10,ENE,1.5,76,94,1022,2013-01-03,Bắc,Lạnh
136477,Ha Noi,24,14,7,ESE,0.0,73,42,1016,2014-01-03,Bắc,Lạnh
136478,Ha Noi,22,14,6,ESE,0.0,72,41,1019,2015-01-03,Bắc,Lạnh
136479,Ha Noi,26,17,8,SSE,0.0,78,24,1018,2016-01-03,Bắc,Lạnh
136480,Ha Noi,27,19,4,S,0.4,76,50,1019,2017-01-03,Bắc,Lạnh
136481,Ha Noi,22,18,5,SE,1.6,86,86,1017,2018-01-03,Bắc,Mây
136482,Ha Noi,18,13,8,SE,0.0,62,82,1024,2019-01-03,Bắc,Lạnh
136483,Ha Noi,25,21,14,SE,1.2,78,81,1020,2020-01-03,Bắc,Lạnh
136484,Ha Noi,17,8,7,SE,0.0,59,59,1021,2021-01-03,Bắc,Lạnh
136509,Ha Noi,25,12,5,SSW,0.0,81,46,1018,2009-01-04,Bắc,Lạnh
136510,Ha Noi,25,17,7,SE,0.5,89,82,1011,2010-01-04,Bắc,Mây
136511,Ha Noi,18,12,6,NE,0.1,78,79,1019,2011-01-04,Bắc,Lạnh
136512,Ha Noi,11,9,12,NNE,1.8,76,95,1024,2012-01-04,Bắc,Lạnh
136513,Ha Noi,12,10,8,NNE,0.1,72,93,1020,2013-01-04,Bắc,Lạnh
136514,Ha Noi,24,17,5,SSE,0.1,61,39,1019,2014-01-04,Bắc,Lạnh
136515,Ha Noi,24,17,8,SE,0.4,79,62,1013,2015-01-04,Bắc,Lạnh
136516,Ha Noi,20,15,7,SE,0.1,78,69,1017,2016-01-04,Bắc,Lạnh
136517,Ha Noi,26,20,7,SSE,0.0,72,33,1017,2017-01-04,Bắc,Lạnh
136518,Ha Noi,24,20,6,SE,1.6,88,98,1015,2018-01-04,Bắc,Mây
136519,Ha Noi,19,14,7,E,0.0,75,79,1022,2019-01-04,Bắc,Lạnh
136520,Ha Noi,25,21,14,SE,2.3,80,74,1018,2020-01-04,Bắc,Lạnh
136521,Ha Noi,23,15,7,ESE,0.0,49,28,1020,2021-01-04,Bắc,Lạnh
136522,Ha Noi,15,12,8,E,0.5,78,91,1026,2009-01-08,Bắc,Lạnh
136523,Ha Noi,21,13,7,SE,0.3,81,55,1019,2010-01-08,Bắc,Mây
136524,Ha Noi,20,8,5,ENE,0.0,63,42,1020,2011-01-08,Bắc,Lạnh
136525,Ha Noi,18,12,7,NE,0.0,70,71,1024,2012-01-08,Bắc,Lạnh
136526,Ha Noi,16,12,7,E,0.1,68,70,1017,2013-01-08,Bắc,Lạnh
136527,Ha Noi,22,17,10,ENE,2.3,78,82,1017,2014-01-08,Bắc,Lạnh
136528,Ha Noi,16,14,7,SW,6.8,76,98,1024,2015-01-08,Bắc,Lạnh
136529,Ha Noi,25,20,16,ESE,1.5,81,90,1018,2016-01-08,Bắc,Mây
136530,Ha Noi,28,20,7,ESE,0.0,75,33,1013,2017-01-08,Bắc,Lạnh
136531,Ha Noi,24,11,18,ENE,2.0,82,100,1015,2018-01-08,Bắc,Mây
136532,Ha Noi,19,16,10,ENE,2.9,86,100,1019,2019-01-08,Bắc,Mây
136533,Ha Noi,27,21,12,SE,0.5,75,61,1016,2020-01-08,Bắc,Lạnh
136534,Ha Noi,9,2,21,NNE,0.1,56,100,1025,2021-01-08,Bắc,Lạnh
136535,Ha Noi,23,14,5,S,1.3,90,75,1017,2009-01-05,Bắc,Mây
136536,Ha Noi,30,19,6,SSE,0.0,82,59,1010,2010-01-05,Bắc,Nắng
136537,Ha Noi,19,12,4,ENE,0.2,75,65,1017,2011-01-05,Bắc,Lạnh
136538,Ha Noi,15,8,5,E,1.1,74,73,1023,2012-01-05,Bắc,Lạnh
136539,Ha Noi,15,9,7,NNE,0.1,68,80,1018,2013-01-05,Bắc,Lạnh
136540,Ha Noi,25,15,10,SE,0.0,66,13,1015,2014-01-05,Bắc,Lạnh
136541,Ha Noi,26,19,7,SE,0.3,81,64,1010,2015-01-05,Bắc,Mây
136542,Ha Noi,30,16,6,SE,0.0,71,29,1015,2016-01-05,Bắc,Nắng
136543,Ha Noi,28,20,6,W,0.0,73,79,1016,2017-01-05,Bắc,Lạnh
136544,Ha Noi,25,20,10,SE,1.1,87,97,1013,2018-01-05,Bắc,Mây
136545,Ha Noi,25,16,7,SE,0.0,74,60,1021,2019-01-05,Bắc,Lạnh
136546,Ha Noi,22,20,15,SE,3.2,83,86,1017,2020-01-05,Bắc,Mây
136547,Ha Noi,20,17,6,E,0.0,58,71,1020,2021-01-05,Bắc,Lạnh
136548,Ha Noi,19,11,10,SE,0.1,61,23,1029,2009-01-09,Bắc,Lạnh
136549,Ha Noi,24,14,7,SE,0.0,88,68,1014,2010-01-09,Bắc,Mây
136550,Ha Noi,15,11,8,SSE,0.4,67,79,1022,2011-01-09,Bắc,Lạnh
136551,Ha Noi,19,13,10,SE,0.7,68,66,1021,2012-01-09,Bắc,Lạnh
136552,Ha Noi,15,12,9,NE,0.9,59,69,1021,2013-01-09,Bắc,Lạnh
136553,Ha Noi,17,14,9,NE,0.7,64,84,1022,2014-01-09,Bắc,Lạnh
136554,Ha Noi,15,13,9,W,3.6,78,94,1024,2015-01-09,Bắc,Lạnh
136555,Ha Noi,26,19,16,SE,10.3,81,68,1015,2016-01-09,Bắc,Mây
136556,Ha Noi,26,21,12,SE,0.5,78,82,1014,2017-01-09,Bắc,Lạnh
136557,Ha Noi,14,10,12,NNE,2.0,62,96,1025,2018-01-09,Bắc,Lạnh
136558,Ha Noi,14,13,8,NE,8.4,85,100,1021,2019-01-09,Bắc,Mây
136559,Ha Noi,27,22,13,SSE,0.3,74,67,1015,2020-01-09,Bắc,Gió
136560,Ha Noi,13,8,13,NNE,0.0,35,81,1024,2021-01-09,Bắc,Lạnh
