,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
150069,Hai Duong,19,13,14,NNE,0.0,68,28,1024,2009-01-01,Bắc,Lạnh
150070,Hai Duong,20,19,13,ENE,2.4,91,97,1015,2010-01-01,Bắc,Mây
150071,Hai Duong,21,16,16,E,2.4,80,70,1015,2011-01-01,Bắc,Lạnh
150072,Hai Duong,20,17,10,NE,0.2,66,81,1021,2012-01-01,Bắc,Lạnh
150073,Hai Duong,19,14,8,E,0.0,54,29,1019,2013-01-01,Bắc,Lạnh
150074,Hai Duong,20,13,7,SSE,0.0,53,0,1018,2014-01-01,Bắc,Lạnh
150075,Hai Duong,22,15,12,ENE,0.0,54,0,1023,2015-01-01,Bắc,Lạnh
150076,Hai Duong,22,15,8,ENE,0.2,73,62,1025,2016-01-01,Bắc,Lạnh
150077,Hai Duong,21,18,8,SSE,6.9,76,90,1021,2017-01-01,Bắc,Lạnh
150078,Hai Duong,20,16,11,E,0.0,76,77,1019,2018-01-01,Bắc,Lạnh
150079,Hai Duong,16,10,11,SSW,0.0,66,89,1028,2019-01-01,Bắc,Lạnh
150080,Hai Duong,22,16,14,ENE,0.1,78,91,1023,2020-01-01,Bắc,Lạnh
150081,Hai Duong,20,11,8,ENE,0.0,39,10,1024,2021-01-01,Bắc,Lạnh
150118,Hai Duong,23,15,10,NE,0.2,82,47,1018,2009-01-04,Bắc,Lạnh
150119,Hai Duong,26,18,10,SE,0.8,88,62,1011,2010-01-04,Bắc,Mây
150120,Hai Duong,18,13,13,NE,1.2,80,87,1019,2011-01-04,Bắc,Lạnh
150121,Hai Duong,12,11,17,E,4.8,81,89,1024,2012-01-04,Bắc,Mây
150122,Hai Duong,14,11,14,NNE,0.8,79,72,1020,2013-01-04,Bắc,Lạnh
150123,Hai Duong,25,18,9,ENE,0.0,65,18,1018,2014-01-04,Bắc,Lạnh
150124,Hai Duong,22,17,11,ESE,0.8,84,61,1014,2015-01-04,Bắc,Mây
150125,Hai Duong,20,17,12,ENE,0.2,79,64,1017,2016-01-04,Bắc,Lạnh
150126,Hai Duong,26,19,11,E,0.0,76,29,1017,2017-01-04,Bắc,Lạnh
150127,Hai Duong,24,20,13,E,2.0,88,93,1014,2018-01-04,Bắc,Mây
150128,Hai Duong,18,15,9,SW,1.5,85,100,1022,2019-01-04,Bắc,Mây
150129,Hai Duong,26,20,17,ESE,1.0,80,69,1018,2020-01-04,Bắc,Lạnh
150130,Hai Duong,21,15,7,S,0.0,50,69,1020,2021-01-04,Bắc,Lạnh
150131,Hai Duong,19,13,12,NE,4.6,75,40,1021,2009-01-03,Bắc,Lạnh
150132,Hai Duong,23,18,8,E,0.6,86,72,1016,2010-01-03,Bắc,Mây
150133,Hai Duong,18,15,17,NE,2.4,83,93,1018,2011-01-03,Bắc,Mây
150134,Hai Duong,20,16,16,ENE,11.3,90,96,1018,2012-01-03,Bắc,Mây
150135,Hai Duong,15,12,17,E,7.2,83,93,1022,2013-01-03,Bắc,Mây
150136,Hai Duong,23,17,10,ENE,0.1,79,41,1016,2014-01-03,Bắc,Lạnh
150137,Hai Duong,20,16,13,E,0.9,77,53,1019,2015-01-03,Bắc,Lạnh
