,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
163728,Hai Phong,18,12,12,NE,1.1,74,36,1021,2009-01-03,Bắc,Lạnh
163729,Hai Phong,22,17,8,E,1.2,85,70,1016,2010-01-03,Bắc,Mây
163730,Hai Phong,17,14,16,NE,1.4,83,93,1018,2011-01-03,Bắc,Mây
163731,Hai Phong,19,15,16,ENE,9.6,90,97,1018,2012-01-03,Bắc,Mây
163732,Hai Phong,14,12,16,ESE,5.8,84,94,1022,2013-01-03,Bắc,Mây
163733,Hai Phong,23,16,9,ENE,0.1,79,41,1016,2014-01-03,Bắc,Lạnh
163734,Hai Phong,20,16,13,E,0.2,77,50,1019,2015-01-03,Bắc,Lạnh
163735,Hai Phong,24,18,7,SSE,0.0,77,4,1018,2016-01-03,Bắc,Lạnh
163736,Hai Phong,26,19,8,ENE,0.0,78,19,1019,2017-01-03,Bắc,Lạnh
163737,Hai Phong,22,18,10,ENE,0.5,85,66,1017,2018-01-03,Bắc,Mây
163738,Hai Phong,16,13,8,SSW,0.7,74,100,1025,2019-01-03,Bắc,Lạnh
163739,Hai Phong,24,20,15,E,0.1,81,68,1020,2020-01-03,Bắc,Mây
163740,Hai Phong,18,13,7,ESE,0.0,59,65,1021,2021-01-03,Bắc,Lạnh
163753,Hai Phong,23,15,10,NE,0.1,81,45,1018,2009-01-04,Bắc,Lạnh
163754,Hai Phong,26,18,10,SE,1.0,88,63,1011,2010-01-04,Bắc,Mây
163755,Hai Phong,17,13,12,NE,0.6,80,87,1019,2011-01-04,Bắc,Lạnh
163756,Hai Phong,11,10,16,NE,2.9,81,90,1024,2012-01-04,Bắc,Mây
163757,Hai Phong,13,11,14,NNE,0.1,80,73,1020,2013-01-04,Bắc,Lạnh
163758,Hai Phong,24,17,9,ENE,0.0,66,19,1018,2014-01-04,Bắc,Lạnh
163759,Hai Phong,22,17,11,ESE,0.3,85,62,1014,2015-01-04,Bắc,Mây
163760,Hai Phong,20,17,11,ENE,0.0,79,63,1017,2016-01-04,Bắc,Lạnh
163761,Hai Phong,25,19,10,E,0.0,76,26,1017,2017-01-04,Bắc,Lạnh
163762,Hai Phong,24,20,12,E,0.7,88,93,1015,2018-01-04,Bắc,Mây
163763,Hai Phong,18,15,9,ESE,1.5,86,100,1023,2019-01-04,Bắc,Mây
163764,Hai Phong,25,19,16,ESE,0.3,80,70,1018,2020-01-04,Bắc,Lạnh
163765,Hai Phong,21,16,7,S,0.0,50,71,1020,2021-01-04,Bắc,Lạnh
163778,Hai Phong,23,17,11,E,0.4,86,43,1017,2009-01-05,Bắc,Lạnh
163779,Hai Phong,27,21,13,SSE,3.0,87,34,1010,2010-01-05,Bắc,Lạnh
163780,Hai Phong,19,14,9,NE,0.2,79,79,1017,2011-01-05,Bắc,Lạnh
163781,Hai Phong,15,9,10,NE,0.9,80,70,1023,2012-01-05,Bắc,Lạnh
163782,Hai Phong,15,10,11,NNE,0.2,76,65,1018,2013-01-05,Bắc,Lạnh
163783,Hai Phong,22,17,13,ESE,0.1,71,17,1015,2014-01-05,Bắc,Lạnh
163784,Hai Phong,23,19,11,SE,2.2,92,72,1010,2015-01-05,Bắc,Mây
163785,Hai Phong,26,17,9,SE,0.0,82,40,1015,2016-01-05,Bắc,Lạnh
163786,Hai Phong,27,19,5,E,0.0,75,40,1015,2017-01-05,Bắc,Lạnh
163787,Hai Phong,23,19,11,E,0.5,90,93,1013,2018-01-05,Bắc,Mây
163788,Hai Phong,23,17,9,SE,0.2,83,78,1021,2019-01-05,Bắc,Mây
163789,Hai Phong,23,20,17,E,0.0,81,66,1017,2020-01-05,Bắc,Mây
163790,Hai Phong,20,17,6,ENE,0.0,57,86,1020,2021-01-05,Bắc,Lạnh
163791,Hai Phong,18,12,14,NNE,0.0,68,25,1024,2009-01-01,Bắc,Lạnh
163792,Hai Phong,20,18,13,ENE,4.3,91,97,1015,2010-01-01,Bắc,Mây
163793,Hai Phong,20,17,16,E,1.5,80,70,1015,2011-01-01,Bắc,Lạnh
163794,Hai Phong,20,16,10,NE,0.1,66,82,1021,2012-01-01,Bắc,Lạnh
163795,Hai Phong,18,13,7,E,0.0,54,33,1019,2013-01-01,Bắc,Lạnh
163796,Hai Phong,20,12,7,ESE,0.0,54,0,1018,2014-01-01,Bắc,Lạnh
163797,Hai Phong,22,15,11,ENE,0.0,54,0,1023,2015-01-01,Bắc,Lạnh
163798,Hai Phong,21,15,8,ENE,0.0,73,59,1025,2016-01-01,Bắc,Lạnh
163799,Hai Phong,21,17,7,SSE,1.6,76,90,1021,2017-01-01,Bắc,Lạnh
163800,Hai Phong,21,16,10,E,0.0,77,75,1019,2018-01-01,Bắc,Lạnh
163801,Hai Phong,15,11,10,SSE,0.0,66,89,1028,2019-01-01,Bắc,Lạnh
163802,Hai Phong,22,16,13,ENE,0.0,78,91,1023,2020-01-01,Bắc,Lạnh
163803,Hai Phong,19,10,8,ENE,0.0,38,11,1024,2021-01-01,Bắc,Lạnh
163804,Hai Phong,16,14,16,NNE,0.1,79,67,1022,2009-01-07,Bắc,Lạnh
163805,Hai Phong,17,14,16,NE,9.4,88,99,1019,2010-01-07,Bắc,Mây
163806,Hai Phong,14,11,9,NNE,0.0,63,59,1023,2011-01-07,Bắc,Lạnh
163807,Hai Phong,20,13,12,ENE,0.7,76,72,1020,2012-01-07,Bắc,Lạnh
163808,Hai Phong,17,12,9,NE,0.0,72,45,1018,2013-01-07,Bắc,Lạnh
163809,Hai Phong,22,19,14,SE,1.3,91,70,1013,2014-01-07,Bắc,Mây
163810,Hai Phong,21,17,11,NE,1.8,80,90,1019,2015-01-07,Bắc,Lạnh
163811,Hai Phong,23,19,17,E,0.3,81,45,1018,2016-01-07,Bắc,Lạnh
163812,Hai Phong,26,20,7,E,0.0,78,36,1012,2017-01-07,Bắc,Lạnh
163813,Hai Phong,22,19,12,E,4.7,91,93,1011,2018-01-07,Bắc,Mây
163814,Hai Phong,21,19,12,ENE,0.5,89,100,1020,2019-01-07,Bắc,Mây
163815,Hai Phong,25,20,9,ESE,0.0,78,52,1015,2020-01-07,Bắc,Lạnh
163816,Hai Phong,16,15,10,NE,0.4,65,95,1020,2021-01-07,Bắc,Lạnh
163817,Hai Phong,18,12,15,NE,0.0,52,18,1028,2009-01-09,Bắc,Lạnh
163818,Hai Phong,22,16,10,SE,0.5,89,75,1014,2010-01-09,Bắc,Mây
163819,Hai Phong,15,12,13,ENE,0.3,65,74,1021,2011-01-09,Bắc,Lạnh
163820,Hai Phong,19,13,13,E,0.0,71,65,1021,2012-01-09,Bắc,Lạnh
163821,Hai Phong,15,12,13,S,0.5,65,88,1021,2013-01-09,Bắc,Lạnh
163822,Hai Phong,18,14,13,NE,0.4,70,73,1022,2014-01-09,Bắc,Lạnh
163823,Hai Phong,18,14,12,NNE,0.5,68,73,1024,2015-01-09,Bắc,Lạnh
163824,Hai Phong,24,19,16,E,0.7,84,76,1015,2016-01-09,Bắc,Mây
163825,Hai Phong,25,20,14,E,0.0,79,61,1014,2017-01-09,Bắc,Lạnh
163826,Hai Phong,13,10,13,NE,0.6,71,91,1025,2018-01-09,Bắc,Lạnh
163827,Hai Phong,15,15,15,SE,1.9,84,96,1021,2019-01-09,Bắc,Mây
163828,Hai Phong,26,21,11,SE,2.3,80,61,1015,2020-01-09,Bắc,Lạnh
163829,Hai Phong,15,8,8,E,0.0,40,68,1024,2021-01-09,Bắc,Lạnh
163842,Hai Phong,21,11,9,ENE,0.0,46,0,1023,2009-01-11,Bắc,Lạnh
163843,Hai Phong,15,13,18,NNE,6.5,86,99,1019,2010-01-11,Bắc,Mây
163844,Hai Phong,11,9,15,SE,0.6,61,70,1020,2011-01-11,Bắc,Lạnh
163845,Hai Phong,17,15,11,NNE,1.1,73,65,1023,2012-01-11,Bắc,Lạnh
163846,Hai Phong,16,12,12,ENE,0.0,62,60,1021,2013-01-11,Bắc,Lạnh
163847,Hai Phong,21,17,11,ENE,0.8,87,82,1021,2014-01-11,Bắc,Mây
163848,Hai Phong,13,12,13,N,8.5,87,100,1023,2015-01-11,Bắc,Mây
163849,Hai Phong,21,18,14,ENE,1.1,83,59,1016,2016-01-11,Bắc,Mây
163850,Hai Phong,22,20,20,E,2.5,91,94,1014,2017-01-11,Bắc,Mây
163851,Hai Phong,15,13,7,S,0.0,50,67,1026,2018-01-11,Bắc,Lạnh
163852,Hai Phong,24,18,8,E,0.0,86,83,1018,2019-01-11,Bắc,Mây
163853,Hai Phong,25,21,9,ESE,0.9,77,76,1013,2020-01-11,Bắc,Lạnh
163854,Hai Phong,12,11,15,N,0.0,32,65,1028,2021-01-11,Bắc,Lạnh
163855,Hai Phong,18,12,13,NE,0.1,59,19,1024,2009-01-02,Bắc,Lạnh
163856,Hai Phong,19,18,11,NNE,3.8,90,93,1016,2010-01-02,Bắc,Mây
163857,Hai Phong,22,18,17,E,3.2,88,80,1016,2011-01-02,Bắc,Mây
163858,Hai Phong,18,17,11,NE,0.9,77,91,1019,2012-01-02,Bắc,Lạnh
163859,Hai Phong,19,15,10,NE,0.6,74,73,1017,2013-01-02,Bắc,Lạnh
163860,Hai Phong,21,17,8,SSE,0.0,73,2,1014,2014-01-02,Bắc,Lạnh
163861,Hai Phong,21,17,13,E,0.0,62,0,1022,2015-01-02,Bắc,Lạnh
163862,Hai Phong,23,17,8,E,0.0,75,15,1021,2016-01-02,Bắc,Lạnh
163863,Hai Phong,25,18,7,S,0.0,79,61,1019,2017-01-02,Bắc,Lạnh
163864,Hai Phong,22,17,11,E,0.1,83,53,1017,2018-01-02,Bắc,Mây
163865,Hai Phong,17,10,8,WNW,0.1,63,86,1027,2019-01-02,Bắc,Lạnh
163866,Hai Phong,24,18,13,E,0.0,82,69,1022,2020-01-02,Bắc,Mây
163867,Hai Phong,20,12,8,ENE,0.0,48,5,1021,2021-01-02,Bắc,Lạnh
163868,Hai Phong,17,13,14,NNE,0.1,71,54,1026,2009-01-08,Bắc,Lạnh
163869,Hai Phong,20,13,11,ENE,3.7,81,53,1020,2010-01-08,Bắc,Mây
163870,Hai Phong,18,11,10,NE,0.0,68,61,1020,2011-01-08,Bắc,Lạnh
163871,Hai Phong,17,13,12,NE,0.7,73,85,1024,2012-01-08,Bắc,Lạnh
163872,Hai Phong,16,14,12,NNE,0.2,73,78,1018,2013-01-08,Bắc,Lạnh
163873,Hai Phong,21,17,13,ENE,2.1,83,75,1017,2014-01-08,Bắc,Mây
163874,Hai Phong,17,16,10,NNE,0.7,70,96,1024,2015-01-08,Bắc,Lạnh
163875,Hai Phong,22,19,19,E,1.7,85,67,1018,2016-01-08,Bắc,Mây
163876,Hai Phong,26,20,9,E,0.0,83,37,1013,2017-01-08,Bắc,Lạnh
163877,Hai Phong,22,11,18,ENE,16.8,86,99,1015,2018-01-08,Bắc,Mây
163878,Hai Phong,20,17,17,ENE,0.6,88,97,1019,2019-01-08,Bắc,Mây
163879,Hai Phong,26,20,13,E,0.1,77,39,1016,2020-01-08,Bắc,Lạnh
163880,Hai Phong,9,8,11,NNE,0.0,60,100,1025,2021-01-08,Bắc,Lạnh
163881,Hai Phong,21,12,12,ENE,0.0,42,6,1027,2009-01-15,Bắc,Lạnh
163882,Hai Phong,20,16,10,NNE,1.3,87,92,1022,2010-01-15,Bắc,Mây
163883,Hai Phong,18,12,16,NE,0.0,52,32,1023,2011-01-15,Bắc,Lạnh
163884,Hai Phong,21,18,10,ESE,19.4,93,91,1010,2012-01-15,Bắc,Mây
163885,Hai Phong,20,18,9,ENE,1.5,82,90,1019,2013-01-15,Bắc,Mây
163886,Hai Phong,21,12,9,ENE,0.0,57,0,1024,2014-01-15,Bắc,Lạnh
163887,Hai Phong,21,15,8,E,0.0,68,0,1022,2015-01-15,Bắc,Lạnh
163888,Hai Phong,18,17,11,NE,6.0,83,96,1013,2016-01-15,Bắc,Mây
163889,Hai Phong,20,16,10,NE,0.3,71,90,1020,2017-01-15,Bắc,Lạnh
163890,Hai Phong,21,16,10,E,0.0,76,67,1017,2018-01-15,Bắc,Lạnh
163891,Hai Phong,23,17,17,ENE,0.5,79,64,1018,2019-01-15,Bắc,Lạnh
163892,Hai Phong,24,21,17,SSE,2.4,79,76,1014,2020-01-15,Bắc,Lạnh
163893,Hai Phong,23,14,8,ESE,0.0,73,12,1015,2021-01-15,Bắc,Lạnh
163894,Hai Phong,20,11,13,NE,0.0,42,3,1028,2009-01-14,Bắc,Lạnh
163895,Hai Phong,20,11,8,NE,0.3,75,71,1024,2010-01-14,Bắc,Lạnh
163896,Hai Phong,21,14,9,NE,0.1,74,53,1017,2011-01-14,Bắc,Lạnh
163897,Hai Phong,21,17,11,E,2.7,91,94,1013,2012-01-14,Bắc,Mây
163898,Hai Phong,20,15,11,ENE,0.0,75,48,1017,2013-01-14,Bắc,Lạnh
163899,Hai Phong,20,10,10,S,0.0,55,1,1024,2014-01-14,Bắc,Lạnh
163900,Hai Phong,23,14,6,ESE,0.0,63,0,1023,2015-01-14,Bắc,Lạnh
163901,Hai Phong,20,17,14,ENE,6.1,88,94,1016,2016-01-14,Bắc,Mây
163902,Hai Phong,20,15,9,NE,0.0,71,80,1018,2017-01-14,Bắc,Lạnh
163903,Hai Phong,18,15,10,ENE,0.1,71,87,1021,2018-01-14,Bắc,Lạnh
163904,Hai Phong,23,20,17,E,0.5,86,56,1016,2019-01-14,Bắc,Mây
163905,Hai Phong,24,18,15,SE,5.9,82,81,1014,2020-01-14,Bắc,Mây
163906,Hai Phong,22,13,8,E,0.0,57,8,1017,2021-01-14,Bắc,Lạnh
163907,Hai Phong,23,15,9,E,0.0,70,33,1020,2009-01-17,Bắc,Lạnh
163908,Hai Phong,22,15,10,ENE,0.0,77,23,1025,2010-01-17,Bắc,Lạnh
163909,Hai Phong,17,11,14,NE,0.1,59,52,1021,2011-01-17,Bắc,Lạnh
163910,Hai Phong,20,17,15,E,0.5,87,63,1011,2012-01-17,Bắc,Mây
163911,Hai Phong,19,15,15,NE,5.0,85,79,1023,2013-01-17,Bắc,Mây
163912,Hai Phong,21,14,7,ENE,0.0,68,29,1024,2014-01-17,Bắc,Lạnh
163913,Hai Phong,21,14,11,SE,0.0,60,6,1023,2015-01-17,Bắc,Lạnh
163914,Hai Phong,25,19,12,SE,0.1,76,38,1012,2016-01-17,Bắc,Lạnh
163915,Hai Phong,17,16,11,NE,3.7,83,100,1020,2017-01-17,Bắc,Mây
163916,Hai Phong,22,18,10,E,0.1,86,63,1014,2018-01-17,Bắc,Mây
163917,Hai Phong,20,11,8,SW,0.0,66,47,1023,2019-01-17,Bắc,Lạnh
163918,Hai Phong,23,19,15,E,0.0,79,59,1018,2020-01-17,Bắc,Lạnh
163919,Hai Phong,18,10,16,ESE,0.9,60,83,1024,2021-01-17,Bắc,Lạnh
163920,Hai Phong,19,9,13,NE,0.0,43,1,1027,2009-01-10,Bắc,Lạnh
163921,Hai Phong,26,17,11,SE,2.7,87,61,1014,2010-01-10,Bắc,Mây
163922,Hai Phong,17,12,10,NNE,0.0,54,61,1020,2011-01-10,Bắc,Lạnh
163923,Hai Phong,20,13,8,E,0.1,71,42,1022,2012-01-10,Bắc,Lạnh
163924,Hai Phong,17,12,10,SSE,0.0,59,62,1021,2013-01-10,Bắc,Lạnh
163925,Hai Phong,17,14,10,NE,0.4,77,80,1021,2014-01-10,Bắc,Lạnh
163926,Hai Phong,13,12,14,NW,2.3,82,90,1024,2015-01-10,Bắc,Mây
163927,Hai Phong,26,20,14,ESE,10.5,84,34,1013,2016-01-10,Bắc,Lạnh
