,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
172814,Hanoi,19,12,6,NNE,0.0,70,44,1025,2009-01-01,Bắc,Lạnh
172815,Hanoi,18,17,5,NNE,4.4,92,100,1015,2010-01-01,Bắc,Mây
172816,Hanoi,20,15,5,E,0.8,85,66,1015,2011-01-01,Bắc,Mây
172817,Hanoi,20,16,5,ESE,0.0,66,76,1021,2012-01-01,Bắc,Lạnh
172818,Hanoi,20,11,4,SE,0.0,43,29,1019,2013-01-01,Bắc,Lạnh
172819,Hanoi,22,10,4,SW,0.0,48,0,1018,2014-01-01,Bắc,Lạnh
172820,Hanoi,26,14,7,SSE,0.0,51,0,1023,2015-01-01,Bắc,Lạnh
172821,Hanoi,22,15,5,ENE,0.0,69,86,1025,2016-01-01,Bắc,Lạnh
172822,Hanoi,18,17,4,WSW,4.0,77,100,1021,2017-01-01,Bắc,Lạnh
172823,Hanoi,20,16,5,SE,0.2,77,85,1019,2018-01-01,Bắc,Lạnh
172824,Hanoi,15,10,9,ENE,0.0,61,80,1028,2019-01-01,Bắc,Lạnh
172825,Hanoi,22,20,8,SSE,0.3,76,90,1024,2020-01-01,Bắc,Lạnh
172826,Hanoi,19,10,8,NE,0.0,36,19,1025,2021-01-01,Bắc,Lạnh
172839,Hanoi,20,13,5,ESE,0.7,74,40,1022,2009-01-03,Bắc,Lạnh
172840,Hanoi,20,17,4,ESE,0.6,89,78,1016,2010-01-03,Bắc,Mây
172841,Hanoi,16,14,7,NE,2.0,85,95,1018,2011-01-03,Bắc,Mây
172842,Hanoi,20,14,8,NNE,1.9,83,93,1018,2012-01-03,Bắc,Mây
172843,Hanoi,14,11,10,ENE,1.5,76,94,1022,2013-01-03,Bắc,Lạnh
172844,Hanoi,24,14,7,ESE,0.0,73,42,1016,2014-01-03,Bắc,Lạnh
172845,Hanoi,22,14,6,ESE,0.0,72,41,1019,2015-01-03,Bắc,Lạnh
172846,Hanoi,26,17,8,SSE,0.0,78,24,1018,2016-01-03,Bắc,Lạnh
172847,Hanoi,27,19,4,S,0.4,76,50,1019,2017-01-03,Bắc,Lạnh
172848,Hanoi,22,18,5,SE,1.6,86,86,1017,2018-01-03,Bắc,Mây
172849,Hanoi,18,13,8,SE,0.0,62,82,1024,2019-01-03,Bắc,Lạnh
172850,Hanoi,25,21,14,SE,1.2,78,81,1020,2020-01-03,Bắc,Lạnh
172851,Hanoi,17,8,7,SE,0.0,59,59,1021,2021-01-03,Bắc,Lạnh
172876,Hanoi,25,12,5,SSW,0.0,81,46,1018,2009-01-04,Bắc,Lạnh
172877,Hanoi,23,14,5,S,1.3,90,75,1017,2009-01-05,Bắc,Mây
172878,Hanoi,30,19,6,SSE,0.0,82,59,1010,2010-01-05,Bắc,Nắng
172879,Hanoi,19,12,4,ENE,0.2,75,65,1017,2011-01-05,Bắc,Lạnh
172880,Hanoi,15,8,5,E,1.1,74,73,1023,2012-01-05,Bắc,Lạnh
172881,Hanoi,15,9,7,NNE,0.1,68,80,1018,2013-01-05,Bắc,Lạnh
172882,Hanoi,25,15,10,SE,0.0,66,13,1015,2014-01-05,Bắc,Lạnh
172883,Hanoi,26,19,7,SE,0.3,81,64,1010,2015-01-05,Bắc,Mây
172884,Hanoi,30,16,6,SE,0.0,71,29,1015,2016-01-05,Bắc,Nắng
172885,Hanoi,28,20,6,W,0.0,73,79,1016,2017-01-05,Bắc,Lạnh
172886,Hanoi,25,20,10,SE,1.1,87,97,1013,2018-01-05,Bắc,Mây
172887,Hanoi,25,16,7,SE,0.0,74,60,1021,2019-01-05,Bắc,Lạnh
172888,Hanoi,22,20,15,SE,3.2,83,86,1017,2020-01-05,Bắc,Mây
172889,Hanoi,20,17,6,E,0.0,58,71,1020,2021-01-05,Bắc,Lạnh
172890,Hanoi,25,17,7,SE,0.5,89,82,1011,2010-01-04,Bắc,Mây
172891,Hanoi,18,12,6,NE,0.1,78,79,1019,2011-01-04,Bắc,Lạnh
172892,Hanoi,11,9,12,NNE,1.8,76,95,1024,2012-01-04,Bắc,Lạnh
172893,Hanoi,12,10,8,NNE,0.1,72,93,1020,2013-01-04,Bắc,Lạnh
172894,Hanoi,24,17,5,SSE,0.1,61,39,1019,2014-01-04,Bắc,Lạnh
172895,Hanoi,24,17,8,SE,0.4,79,62,1013,2015-01-04,Bắc,Lạnh
172896,Hanoi,20,15,7,SE,0.1,78,69,1017,2016-01-04,Bắc,Lạnh
172897,Hanoi,26,20,7,SSE,0.0,72,33,1017,2017-01-04,Bắc,Lạnh
172898,Hanoi,24,20,6,SE,1.6,88,98,1015,2018-01-04,Bắc,Mây
172899,Hanoi,19,14,7,E,0.0,75,79,1022,2019-01-04,Bắc,Lạnh
172900,Hanoi,25,21,14,SE,2.3,80,74,1018,2020-01-04,Bắc,Lạnh
172901,Hanoi,23,15,7,ESE,0.0,49,28,1020,2021-01-04,Bắc,Lạnh
172902,Hanoi,23,15,5,E,2.2,88,59,1018,2009-01-06,Bắc,Mây
172903,Hanoi,18,17,7,NE,2.9,88,97,1016,2010-01-06,Bắc,Mây
172904,Hanoi,17,12,10,NNE,0.5,70,69,1022,2011-01-06,Bắc,Lạnh
172905,Hanoi,16,11,6,E,0.1,74,73,1022,2012-01-06,Bắc,Lạnh
172906,Hanoi,16,10,7,ESE,0.1,61,59,1019,2013-01-06,Bắc,Lạnh
172907,Hanoi,26,17,11,SSE,0.2,81,61,1013,2014-01-06,Bắc,Mây
172908,Hanoi,24,21,7,ESE,0.5,85,75,1013,2015-01-06,Bắc,Mây
172909,Hanoi,25,20,8,ESE,0.5,85,70,1017,2016-01-06,Bắc,Mây
172910,Hanoi,27,20,5,NW,0.0,72,57,1014,2017-01-06,Bắc,Lạnh
172911,Hanoi,23,19,12,SE,0.8,85,97,1011,2018-01-06,Bắc,Mây
172912,Hanoi,21,18,8,ESE,0.4,77,97,1020,2019-01-06,Bắc,Lạnh
172913,Hanoi,27,20,14,SE,0.4,73,57,1016,2020-01-06,Bắc,Lạnh
172914,Hanoi,21,17,9,ENE,0.0,52,86,1019,2021-01-06,Bắc,Lạnh
172915,Hanoi,15,12,8,E,0.5,78,91,1026,2009-01-08,Bắc,Lạnh
172916,Hanoi,21,13,7,SE,0.3,81,55,1019,2010-01-08,Bắc,Mây
172917,Hanoi,20,8,5,ENE,0.0,63,42,1020,2011-01-08,Bắc,Lạnh
