,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
4501,Ho Chi Minh City,29,22,6,SE,18.5,89,68,1010,2009-01-01,Nam,Mây
4502,Ho Chi Minh City,34,24,5,E,0.0,59,20,1010,2010-01-01,Nam,Nắng
4503,Ho Chi Minh City,29,23,4,S,0.2,81,42,1008,2011-01-01,Nam,Khác
4504,Ho Chi Minh City,32,23,7,E,1.8,76,35,1012,2012-01-01,Nam,Nắng
4505,Ho Chi Minh City,33,24,4,SE,0.0,69,15,1010,2013-01-01,Nam,Nắng
4506,Ho Chi Minh City,29,21,5,SSW,0.0,72,29,1012,2014-01-01,Nam,Lạnh
4507,Ho Chi Minh City,31,22,5,SSE,0.2,72,30,1012,2015-01-01,Nam,Nắng
4508,Ho Chi Minh City,34,23,7,ENE,0.0,57,8,1015,2016-01-01,Nam,Nắng
4509,Ho Chi Minh City,32,24,7,NE,1.9,74,28,1011,2017-01-01,Nam,Nắng
4510,Ho Chi Minh City,33,23,5,E,0.0,59,19,1010,2018-01-01,Nam,Nắng
4511,Ho Chi Minh City,29,24,17,NNE,3.3,66,51,1013,2019-01-01,Nam,Gió
4512,Ho Chi Minh City,35,24,9,ENE,0.0,51,11,1014,2020-01-01,Nam,Nắng
4513,Ho Chi Minh City,30,23,8,NE,0.0,63,35,1011,2021-01-01,Nam,Nắng
4514,Ho Chi Minh City,25,22,6,E,7.2,87,68,1012,2009-01-03,Nam,Mây
4515,Ho Chi Minh City,33,26,7,ESE,0.0,65,37,1010,2010-01-03,Nam,Nắng
4516,Ho Chi Minh City,33,23,4,SSE,0.1,73,51,1009,2011-01-03,Nam,Nắng
4517,Ho Chi Minh City,30,23,6,SE,0.1,79,43,1012,2012-01-03,Nam,Nắng
4518,Ho Chi Minh City,34,25,3,SSE,5.2,68,27,1011,2013-01-03,Nam,Nắng
4519,Ho Chi Minh City,32,22,5,SW,0.0,74,15,1012,2014-01-03,Nam,Nắng
4520,Ho Chi Minh City,32,22,6,SSW,0.0,67,25,1012,2015-01-03,Nam,Nắng
4521,Ho Chi Minh City,33,25,7,S,3.4,70,45,1014,2016-01-03,Nam,Nắng
4522,Ho Chi Minh City,33,23,8,E,0.0,70,25,1010,2017-01-03,Nam,Nắng
4523,Ho Chi Minh City,34,24,6,E,0.0,64,14,1009,2018-01-03,Nam,Nắng
4524,Ho Chi Minh City,31,23,15,ENE,3.5,73,47,1013,2019-01-03,Nam,Nắng
4525,Ho Chi Minh City,35,25,7,ESE,0.0,59,16,1013,2020-01-03,Nam,Nắng
4526,Ho Chi Minh City,31,24,4,SE,2.5,70,59,1010,2021-01-03,Nam,Nắng
4527,Ho Chi Minh City,29,21,4,SSE,0.5,83,40,1011,2009-01-04,Nam,Lạnh
4528,Ho Chi Minh City,35,25,9,ESE,0.1,61,42,1009,2010-01-04,Nam,Nắng
4529,Ho Chi Minh City,28,24,4,ESE,2.8,83,58,1009,2011-01-04,Nam,Mây
4530,Ho Chi Minh City,31,23,5,ESE,0.1,77,32,1013,2012-01-04,Nam,Nắng
4531,Ho Chi Minh City,32,25,4,WSW,0.5,70,33,1009,2013-01-04,Nam,Nắng
4532,Ho Chi Minh City,33,23,6,S,3.0,74,38,1011,2014-01-04,Nam,Nắng
4533,Ho Chi Minh City,32,24,4,SSE,0.0,71,31,1010,2015-01-04,Nam,Nắng
4534,Ho Chi Minh City,30,24,5,SSE,0.6,74,52,1012,2016-01-04,Nam,Nắng
4535,Ho Chi Minh City,32,23,8,ENE,4.4,71,38,1010,2017-01-04,Nam,Nắng
4536,Ho Chi Minh City,34,25,6,S,0.0,66,29,1008,2018-01-04,Nam,Nắng
