,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
45454,Hue,20,18,15,NE,38.8,93,100,1018,2009-01-02,Trung,Mây
45455,Hue,28,20,8,ESE,0.0,83,17,1013,2010-01-02,Trung,Lạnh
45456,Hue,26,17,10,ESE,0.4,84,33,1013,2011-01-02,Trung,Lạnh
45457,Hue,22,20,11,E,4.4,91,79,1016,2012-01-02,Trung,Mây
45458,Hue,25,16,6,SE,0.0,84,18,1015,2013-01-02,Trung,Lạnh
45459,Hue,24,15,8,SE,0.0,83,4,1014,2014-01-02,Trung,Lạnh
45460,Hue,21,17,11,ENE,13.8,89,84,1019,2015-01-02,Trung,Mây
45461,Hue,23,19,4,S,5.6,91,95,1019,2016-01-02,Trung,Mây
45462,Hue,23,21,11,NE,25.9,94,99,1017,2017-01-02,Trung,Mây
45463,Hue,23,20,13,ENE,12.0,91,88,1015,2018-01-02,Trung,Mây
45464,Hue,20,17,16,N,5.2,92,100,1021,2019-01-02,Trung,Mây
45465,Hue,25,21,11,E,8.5,88,73,1020,2020-01-02,Trung,Mây
45466,Hue,17,16,6,W,10.3,94,99,1018,2021-01-02,Trung,Mây
45479,Hue,21,19,12,ENE,18.7,93,97,1017,2009-01-03,Trung,Mây
45480,Hue,27,21,5,ESE,0.0,87,41,1014,2010-01-03,Trung,Lạnh
45481,Hue,26,19,7,E,1.4,85,39,1014,2011-01-03,Trung,Lạnh
45482,Hue,24,20,10,ESE,0.1,84,45,1016,2012-01-03,Trung,Lạnh
45483,Hue,26,19,7,E,1.5,84,38,1017,2013-01-03,Trung,Lạnh
45484,Hue,24,17,7,ESE,0.1,82,22,1014,2014-01-03,Trung,Lạnh
45485,Hue,22,18,11,ENE,12.0,91,85,1017,2015-01-03,Trung,Mây
45486,Hue,26,20,4,S,0.8,89,82,1018,2016-01-03,Trung,Mây
45487,Hue,25,21,12,E,7.3,90,76,1016,2017-01-03,Trung,Mây
45488,Hue,23,21,8,NE,9.4,91,97,1014,2018-01-03,Trung,Mây
45489,Hue,21,19,12,S,21.0,93,100,1020,2019-01-03,Trung,Mây
45490,Hue,25,20,13,ESE,4.1,87,74,1018,2020-01-03,Trung,Mây
45491,Hue,19,13,6,SW,1.2,91,94,1017,2021-01-03,Trung,Mây
45492,Hue,19,17,17,NNE,24.3,94,100,1018,2009-01-01,Trung,Mây
45493,Hue,28,19,9,SE,0.0,84,12,1013,2010-01-01,Trung,Lạnh
45494,Hue,23,18,12,E,1.5,83,63,1013,2011-01-01,Trung,Mây
45495,Hue,22,19,8,ESE,10.9,93,92,1018,2012-01-01,Trung,Mây
45496,Hue,22,14,5,SSW,1.1,86,58,1016,2013-01-01,Trung,Mây
45497,Hue,21,14,6,SW,0.0,81,32,1017,2014-01-01,Trung,Lạnh
45498,Hue,21,16,8,SSE,1.6,81,59,1020,2015-01-01,Trung,Mây
45499,Hue,23,20,12,ENE,18.4,89,91,1021,2016-01-01,Trung,Mây
45500,Hue,21,18,8,WSW,15.9,97,100,1017,2017-01-01,Trung,Mây
45501,Hue,22,20,14,ENE,10.0,90,85,1016,2018-01-01,Trung,Mây
45502,Hue,21,20,14,S,13.5,90,99,1021,2019-01-01,Trung,Mây
45503,Hue,24,21,15,E,23.1,91,74,1020,2020-01-01,Trung,Mây
45504,Hue,18,17,10,ENE,16.6,91,98,1019,2021-01-01,Trung,Mây
