,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
59113,Long Xuyen,28,21,21,NNE,0.8,82,49,1011,2009-01-02,Nam,Lạnh
59114,Long Xuyen,30,24,10,E,0.0,64,42,1010,2010-01-02,Nam,Nắng
59115,Long Xuyen,31,22,6,E,0.2,74,27,1009,2011-01-02,Nam,Nắng
59116,Long Xuyen,31,23,11,ESE,1.6,79,39,1012,2012-01-02,Nam,Nắng
59117,Long Xuyen,32,23,6,S,0.0,70,22,1011,2013-01-02,Nam,Nắng
59118,Long Xuyen,31,22,6,SSW,0.0,71,24,1012,2014-01-02,Nam,Nắng
59119,Long Xuyen,29,19,10,SSE,0.1,66,25,1013,2015-01-02,Nam,Lạnh
59120,Long Xuyen,33,24,9,SE,0.0,62,21,1014,2016-01-02,Nam,Nắng
59121,Long Xuyen,31,23,12,ENE,3.5,76,32,1011,2017-01-02,Nam,Nắng
59122,Long Xuyen,32,22,6,E,0.0,68,8,1009,2018-01-02,Nam,Nắng
59123,Long Xuyen,25,23,23,NNE,17.7,78,79,1013,2019-01-02,Nam,Gió
59124,Long Xuyen,33,23,10,ENE,0.0,65,17,1014,2020-01-02,Nam,Nắng
59125,Long Xuyen,27,21,11,ENE,0.0,70,49,1011,2021-01-02,Nam,Lạnh
59126,Long Xuyen,29,21,10,NNE,0.0,76,28,1011,2009-01-04,Nam,Lạnh
59127,Long Xuyen,34,24,15,ESE,0.0,63,58,1009,2010-01-04,Nam,Nắng
59128,Long Xuyen,32,24,7,SSE,2.8,76,52,1009,2011-01-04,Nam,Nắng
59129,Long Xuyen,31,22,9,ESE,1.0,77,34,1012,2012-01-04,Nam,Nắng
59130,Long Xuyen,32,24,9,SW,0.4,68,21,1009,2013-01-04,Nam,Nắng
59131,Long Xuyen,32,23,7,SE,4.4,75,43,1011,2014-01-04,Nam,Nắng
59132,Long Xuyen,32,22,9,S,3.3,68,30,1010,2015-01-04,Nam,Nắng
59133,Long Xuyen,31,24,10,SE,1.0,74,57,1012,2016-01-04,Nam,Nắng
59134,Long Xuyen,31,24,10,ENE,4.1,75,58,1010,2017-01-04,Nam,Nắng
59135,Long Xuyen,33,24,8,SSE,0.0,68,30,1008,2018-01-04,Nam,Nắng
59136,Long Xuyen,30,24,21,E,13.1,83,46,1013,2019-01-04,Nam,Nắng
59137,Long Xuyen,32,23,5,E,0.0,71,35,1012,2020-01-04,Nam,Nắng
59138,Long Xuyen,32,23,9,ESE,0.1,72,38,1010,2021-01-04,Nam,Nắng
59139,Long Xuyen,27,21,16,NNE,1.3,79,61,1012,2009-01-03,Nam,Lạnh
