,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
72760,My Tho,25,21,7,ESE,4.7,88,71,1011,2009-01-03,Nam,Mây
72761,My Tho,30,26,12,E,0.2,68,43,1010,2010-01-03,Nam,Nắng
72762,My Tho,33,23,7,E,0.3,75,34,1009,2011-01-03,Nam,Nắng
72763,My Tho,29,23,12,ESE,0.1,78,35,1011,2012-01-03,Nam,Gió
72764,My Tho,33,25,7,E,0.0,70,23,1011,2013-01-03,Nam,Nắng
72765,My Tho,31,22,6,ESE,0.0,76,14,1012,2014-01-03,Nam,Nắng
72766,My Tho,31,22,7,SSW,0.1,69,29,1012,2015-01-03,Nam,Nắng
72767,My Tho,33,25,8,SE,2.5,71,44,1014,2016-01-03,Nam,Nắng
72768,My Tho,31,24,12,E,0.0,72,33,1010,2017-01-03,Nam,Nắng
72769,My Tho,33,24,6,E,0.0,71,15,1009,2018-01-03,Nam,Nắng
72770,My Tho,28,23,14,ENE,8.4,83,63,1013,2019-01-03,Nam,Mây
72771,My Tho,33,25,10,E,0.0,65,16,1013,2020-01-03,Nam,Nắng
72772,My Tho,30,23,4,WSW,0.3,78,54,1010,2021-01-03,Nam,Nắng
72773,My Tho,28,22,9,SE,7.3,91,75,1010,2009-01-01,Nam,Mây
72774,My Tho,33,24,10,E,0.0,62,21,1010,2010-01-01,Nam,Nắng
72775,My Tho,28,23,6,SE,0.1,80,40,1008,2011-01-01,Nam,Gió
72776,My Tho,31,24,17,E,0.0,77,31,1012,2012-01-01,Nam,Nắng
72777,My Tho,32,25,7,ENE,0.0,70,21,1010,2013-01-01,Nam,Nắng
72778,My Tho,29,21,6,S,0.0,73,43,1012,2014-01-01,Nam,Lạnh
72779,My Tho,30,22,7,WSW,0.4,75,35,1012,2015-01-01,Nam,Nắng
72780,My Tho,33,23,10,ENE,0.0,61,7,1015,2016-01-01,Nam,Nắng
72781,My Tho,31,24,10,ENE,1.3,77,28,1011,2017-01-01,Nam,Nắng
72782,My Tho,32,23,6,ENE,0.0,65,24,1010,2018-01-01,Nam,Nắng
