,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
86407,Nam Dinh,18,13,9,NNE,0.2,76,47,1024,2009-01-01,Bắc,Lạnh
86408,Nam Dinh,20,19,7,NE,3.2,94,99,1015,2010-01-01,Bắc,Mây
86409,Nam Dinh,21,16,8,ENE,0.5,84,70,1015,2011-01-01,Bắc,Mây
86410,Nam Dinh,19,17,9,NE,0.2,69,80,1021,2012-01-01,Bắc,Lạnh
86411,Nam Dinh,20,13,7,SSW,0.0,50,39,1019,2013-01-01,Bắc,Lạnh
86412,Nam Dinh,22,12,6,SSW,0.0,48,0,1018,2014-01-01,Bắc,Lạnh
86413,Nam Dinh,24,15,10,S,0.0,57,0,1023,2015-01-01,Bắc,Lạnh
86414,Nam Dinh,22,15,8,ESE,0.0,74,86,1025,2016-01-01,Bắc,Lạnh
86415,Nam Dinh,19,17,8,SW,3.3,79,92,1021,2017-01-01,Bắc,Lạnh
86416,Nam Dinh,20,16,7,E,0.2,79,85,1019,2018-01-01,Bắc,Lạnh
86417,Nam Dinh,13,10,13,WNW,0.0,66,88,1027,2019-01-01,Bắc,Lạnh
86418,Nam Dinh,21,20,13,ENE,0.7,82,93,1023,2020-01-01,Bắc,Mây
86419,Nam Dinh,20,11,9,ESE,0.0,44,9,1024,2021-01-01,Bắc,Lạnh
86420,Nam Dinh,18,12,8,ESE,2.9,83,65,1021,2009-01-03,Bắc,Mây
86421,Nam Dinh,21,18,6,ENE,0.6,90,84,1016,2010-01-03,Bắc,Mây
86422,Nam Dinh,17,16,14,NE,2.0,85,97,1017,2011-01-03,Bắc,Mây
86423,Nam Dinh,21,17,11,NE,4.4,89,95,1018,2012-01-03,Bắc,Mây
86424,Nam Dinh,15,12,17,S,1.9,80,92,1021,2013-01-03,Bắc,Lạnh
86425,Nam Dinh,24,17,9,ENE,0.0,77,38,1016,2014-01-03,Bắc,Lạnh
86426,Nam Dinh,20,17,9,ENE,0.6,79,69,1019,2015-01-03,Bắc,Lạnh
86427,Nam Dinh,26,18,7,S,0.0,80,15,1018,2016-01-03,Bắc,Lạnh
86428,Nam Dinh,27,19,8,ESE,0.0,79,27,1019,2017-01-03,Bắc,Lạnh
86429,Nam Dinh,22,19,10,ENE,1.3,87,90,1017,2018-01-03,Bắc,Mây
