,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
100042,Nha Trang,24,23,24,NE,27.4,92,98,1012,2009-01-01,Trung,Mây
100043,Nha Trang,27,22,14,E,0.0,83,17,1012,2010-01-01,Trung,Gió
100044,Nha Trang,25,20,19,E,0.2,81,17,1011,2011-01-01,Trung,Lạnh
100045,Nha Trang,23,21,18,NNE,8.6,93,77,1015,2012-01-01,Trung,Mây
100046,Nha Trang,25,21,21,SE,0.7,82,44,1013,2013-01-01,Trung,Lạnh
100047,Nha Trang,23,19,20,NNE,0.4,81,43,1015,2014-01-01,Trung,Lạnh
100048,Nha Trang,24,20,26,E,0.9,80,32,1015,2015-01-01,Trung,Lạnh
100049,Nha Trang,24,21,23,NE,5.1,82,65,1018,2016-01-01,Trung,Mây
100050,Nha Trang,25,22,19,NNE,6.6,93,87,1013,2017-01-01,Trung,Mây
100051,Nha Trang,26,22,22,N,2.2,81,61,1012,2018-01-01,Trung,Mây
100052,Nha Trang,24,23,37,NNE,75.8,92,100,1014,2019-01-01,Trung,Bão
100053,Nha Trang,26,20,20,NNE,5.1,85,70,1017,2020-01-01,Trung,Mây
100054,Nha Trang,21,20,25,N,3.6,89,100,1014,2021-01-01,Trung,Mây
100079,Nha Trang,23,23,29,NNE,28.4,92,99,1013,2009-01-02,Trung,Mây
100080,Nha Trang,26,22,14,S,0.0,84,33,1012,2010-01-02,Trung,Gió
100081,Nha Trang,26,19,18,SE,0.2,83,28,1012,2011-01-02,Trung,Lạnh
100082,Nha Trang,23,20,18,NNE,2.0,89,64,1015,2012-01-02,Trung,Mây
100083,Nha Trang,26,21,19,NE,0.2,81,39,1013,2013-01-02,Trung,Lạnh
100084,Nha Trang,24,19,14,ENE,0.0,82,15,1014,2014-01-02,Trung,Lạnh
100085,Nha Trang,23,20,24,SW,3.6,84,63,1015,2015-01-02,Trung,Mây
100086,Nha Trang,26,21,19,SE,1.6,84,73,1016,2016-01-02,Trung,Mây
100087,Nha Trang,26,23,19,NNE,13.3,89,62,1013,2017-01-02,Trung,Mây
