,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
127312,Phan Thiet,28,24,20,ENE,0.6,79,34,1011,2009-01-01,Trung,Gió
127313,Phan Thiet,30,23,18,NE,0.0,62,9,1011,2010-01-01,Trung,Nắng
127314,Phan Thiet,29,22,14,ENE,0.0,69,12,1009,2011-01-01,Trung,Gió
127315,Phan Thiet,29,23,19,ENE,0.0,80,34,1013,2012-01-01,Trung,Gió
127316,Phan Thiet,31,23,17,NE,0.0,66,12,1011,2013-01-01,Trung,Nắng
127317,Phan Thiet,28,20,13,ENE,0.0,74,28,1013,2014-01-01,Trung,Lạnh
127318,Phan Thiet,30,21,12,ENE,0.0,69,10,1013,2015-01-01,Trung,Nắng
127319,Phan Thiet,32,21,18,NE,0.0,63,5,1016,2016-01-01,Trung,Nắng
127320,Phan Thiet,31,22,17,NE,0.0,70,16,1012,2017-01-01,Trung,Nắng
127321,Phan Thiet,31,22,21,ENE,0.0,64,9,1010,2018-01-01,Trung,Nắng
127322,Phan Thiet,27,23,13,ENE,6.3,83,77,1013,2019-01-01,Trung,Mây
127323,Phan Thiet,31,21,21,NE,0.0,64,7,1015,2020-01-01,Trung,Nắng
127324,Phan Thiet,27,22,8,E,0.0,76,31,1011,2021-01-01,Trung,Gió
127349,Phan Thiet,27,23,20,NE,0.1,78,49,1011,2009-01-02,Trung,Gió
127350,Phan Thiet,29,23,17,NE,0.0,66,44,1011,2010-01-02,Trung,Gió
127351,Phan Thiet,29,20,14,NE,0.0,70,12,1010,2011-01-02,Trung,Lạnh
127352,Phan Thiet,28,22,18,ENE,0.0,79,14,1013,2012-01-02,Trung,Gió
127353,Phan Thiet,31,23,15,ENE,0.0,68,19,1011,2013-01-02,Trung,Nắng
127354,Phan Thiet,28,20,11,ENE,0.0,78,25,1012,2014-01-02,Trung,Lạnh
127355,Phan Thiet,29,22,8,ENE,0.1,70,37,1013,2015-01-02,Trung,Gió
127356,Phan Thiet,32,22,13,NE,0.2,67,26,1015,2016-01-02,Trung,Nắng
127357,Phan Thiet,31,22,18,ENE,0.0,70,23,1011,2017-01-02,Trung,Nắng
127358,Phan Thiet,31,21,16,NE,0.0,65,8,1010,2018-01-02,Trung,Nắng
127359,Phan Thiet,27,23,24,NE,5.2,83,73,1013,2019-01-02,Trung,Mây
127360,Phan Thiet,31,22,22,ENE,0.0,69,4,1015,2020-01-02,Trung,Nắng
127361,Phan Thiet,27,23,9,SE,0.0,75,38,1011,2021-01-02,Trung,Gió
127374,Phan Thiet,29,23,14,NE,0.3,77,21,1011,2009-01-06,Trung,Gió
127375,Phan Thiet,31,23,17,ENE,0.0,61,4,1011,2010-01-06,Trung,Nắng
127376,Phan Thiet,30,23,18,ENE,0.0,71,17,1010,2011-01-06,Trung,Nắng
127377,Phan Thiet,29,23,12,ENE,0.0,76,10,1014,2012-01-06,Trung,Gió
127378,Phan Thiet,27,23,9,ESE,3.6,89,76,1009,2013-01-06,Trung,Mây
127379,Phan Thiet,29,20,13,ENE,0.0,72,3,1011,2014-01-06,Trung,Lạnh
127380,Phan Thiet,31,23,13,ENE,0.0,75,13,1010,2015-01-06,Trung,Nắng
127381,Phan Thiet,32,22,13,ENE,0.0,74,15,1014,2016-01-06,Trung,Nắng
127382,Phan Thiet,31,23,17,ENE,0.0,68,41,1009,2017-01-06,Trung,Nắng
127383,Phan Thiet,31,23,14,ENE,0.0,78,21,1010,2018-01-06,Trung,Nắng
127384,Phan Thiet,30,24,24,ENE,0.0,72,12,1014,2019-01-06,Trung,Nắng
127385,Phan Thiet,29,20,14,ESE,0.0,68,20,1013,2020-01-06,Trung,Lạnh
127386,Phan Thiet,28,23,19,ENE,0.0,79,37,1010,2021-01-06,Trung,Gió
127387,Phan Thiet,30,23,14,NE,0.0,74,10,1013,2009-01-07,Trung,Nắng
127388,Phan Thiet,30,23,20,ENE,0.0,65,6,1013,2010-01-07,Trung,Nắng
127389,Phan Thiet,29,22,20,ENE,0.3,69,24,1011,2011-01-07,Trung,Gió
127390,Phan Thiet,29,23,15,ENE,0.0,72,28,1013,2012-01-07,Trung,Gió
127391,Phan Thiet,25,24,13,NE,4.0,91,65,1010,2013-01-07,Trung,Mây
127392,Phan Thiet,30,20,11,ENE,0.0,70,24,1011,2014-01-07,Trung,Nắng
127393,Phan Thiet,31,23,15,ENE,0.0,74,15,1011,2015-01-07,Trung,Nắng
127394,Phan Thiet,32,22,16,ENE,0.0,70,14,1015,2016-01-07,Trung,Nắng
127395,Phan Thiet,31,23,16,ENE,0.0,70,23,1009,2017-01-07,Trung,Nắng
127396,Phan Thiet,31,23,12,ENE,0.5,76,20,1011,2018-01-07,Trung,Nắng
127397,Phan Thiet,31,22,21,ENE,0.0,67,0,1013,2019-01-07,Trung,Nắng
127398,Phan Thiet,30,22,19,ENE,0.0,72,13,1011,2020-01-07,Trung,Nắng
127399,Phan Thiet,29,22,18,ENE,0.0,77,9,1010,2021-01-07,Trung,Gió
127412,Phan Thiet,29,22,16,NE,0.0,68,7,1014,2009-01-08,Trung,Gió
127413,Phan Thiet,31,23,18,ENE,0.0,65,7,1012,2010-01-08,Trung,Nắng
127414,Phan Thiet,29,22,17,NE,0.0,69,19,1010,2011-01-08,Trung,Gió
127415,Phan Thiet,30,23,16,NE,0.0,70,50,1014,2012-01-08,Trung,Nắng
127416,Phan Thiet,31,23,11,NE,1.1,80,36,1010,2013-01-08,Trung,Nắng
127417,Phan Thiet,29,22,11,ENE,0.2,69,47,1011,2014-01-08,Trung,Gió
127418,Phan Thiet,30,23,19,ENE,0.0,71,5,1012,2015-01-08,Trung,Nắng
127419,Phan Thiet,32,22,15,ENE,0.0,71,25,1014,2016-01-08,Trung,Nắng
127420,Phan Thiet,31,22,16,ENE,0.0,71,14,1009,2017-01-08,Trung,Nắng
127421,Phan Thiet,31,24,14,ENE,0.0,77,15,1011,2018-01-08,Trung,Nắng
127422,Phan Thiet,30,23,22,ENE,0.0,71,10,1013,2019-01-08,Trung,Nắng
127423,Phan Thiet,31,23,19,ENE,0.0,67,14,1011,2020-01-08,Trung,Nắng
127424,Phan Thiet,28,22,22,ENE,0.0,74,15,1010,2021-01-08,Trung,Gió
127425,Phan Thiet,28,22,12,NE,0.0,77,35,1011,2009-01-05,Trung,Gió
127426,Phan Thiet,31,23,16,ENE,0.0,65,12,1010,2010-01-05,Trung,Nắng
127427,Phan Thiet,30,23,16,ENE,0.0,72,35,1009,2011-01-05,Trung,Nắng
127428,Phan Thiet,30,21,12,ENE,0.0,77,5,1013,2012-01-05,Trung,Nắng
127429,Phan Thiet,28,23,5,E,6.5,75,39,1009,2013-01-05,Trung,Khác
127430,Phan Thiet,29,21,13,ENE,0.0,73,21,1011,2014-01-05,Trung,Lạnh
127431,Phan Thiet,30,23,11,ENE,0.0,75,37,1010,2015-01-05,Trung,Nắng
127432,Phan Thiet,31,23,13,E,0.0,74,27,1013,2016-01-05,Trung,Nắng
127433,Phan Thiet,31,21,16,ENE,0.0,69,32,1010,2017-01-05,Trung,Nắng
127434,Phan Thiet,31,23,13,ENE,0.0,78,22,1009,2018-01-05,Trung,Nắng
127435,Phan Thiet,30,24,23,ENE,0.0,75,11,1014,2019-01-05,Trung,Nắng
127436,Phan Thiet,30,20,17,ENE,0.0,68,9,1012,2020-01-05,Trung,Nắng
127437,Phan Thiet,29,23,17,ENE,0.8,82,54,1011,2021-01-05,Trung,Mây
127438,Phan Thiet,28,21,17,NE,0.0,65,6,1014,2009-01-09,Trung,Lạnh
127439,Phan Thiet,30,24,16,ENE,0.0,68,25,1012,2010-01-09,Trung,Nắng
127440,Phan Thiet,30,22,14,NE,0.0,65,11,1010,2011-01-09,Trung,Nắng
127441,Phan Thiet,30,22,15,ENE,0.0,68,38,1012,2012-01-09,Trung,Nắng
127442,Phan Thiet,31,23,12,NE,0.1,75,21,1010,2013-01-09,Trung,Nắng
127443,Phan Thiet,28,23,16,ENE,0.1,67,44,1012,2014-01-09,Trung,Gió
127444,Phan Thiet,30,22,19,NE,0.0,71,6,1013,2015-01-09,Trung,Nắng
127445,Phan Thiet,31,22,17,ENE,0.0,71,11,1014,2016-01-09,Trung,Nắng
127446,Phan Thiet,32,20,15,ENE,0.0,72,8,1009,2017-01-09,Trung,Nắng
127447,Phan Thiet,32,23,16,ENE,0.0,73,7,1012,2018-01-09,Trung,Nắng
127448,Phan Thiet,31,23,21,ENE,0.0,69,11,1014,2019-01-09,Trung,Nắng
127449,Phan Thiet,30,22,18,ENE,0.0,70,16,1011,2020-01-09,Trung,Nắng
127450,Phan Thiet,27,21,24,ENE,0.0,73,5,1011,2021-01-09,Trung,Lạnh
127451,Phan Thiet,27,22,14,NE,0.0,78,28,1011,2009-01-04,Trung,Gió
127452,Phan Thiet,31,24,17,ENE,0.0,64,25,1010,2010-01-04,Trung,Nắng
127453,Phan Thiet,29,24,14,NE,0.4,76,59,1010,2011-01-04,Trung,Gió
127454,Phan Thiet,29,21,14,ENE,0.0,77,2,1013,2012-01-04,Trung,Lạnh
127455,Phan Thiet,31,23,13,NE,0.0,67,7,1010,2013-01-04,Trung,Nắng
127456,Phan Thiet,30,22,12,ENE,0.0,76,32,1011,2014-01-04,Trung,Nắng
127457,Phan Thiet,30,23,12,NE,0.1,74,35,1011,2015-01-04,Trung,Nắng
127458,Phan Thiet,29,23,13,ENE,0.5,76,37,1012,2016-01-04,Trung,Gió
127459,Phan Thiet,31,23,16,ENE,1.9,69,27,1010,2017-01-04,Trung,Nắng
127460,Phan Thiet,31,24,6,SW,0.0,76,38,1009,2018-01-04,Trung,Nắng
127461,Phan Thiet,30,24,25,ENE,0.1,75,15,1015,2019-01-04,Trung,Nắng
127462,Phan Thiet,29,21,17,ENE,0.0,68,12,1013,2020-01-04,Trung,Lạnh
127463,Phan Thiet,27,23,11,E,3.4,81,35,1010,2021-01-04,Trung,Gió
127464,Phan Thiet,28,20,13,NNE,0.0,64,17,1014,2009-01-10,Trung,Lạnh
127465,Phan Thiet,30,24,17,ENE,0.0,67,18,1012,2010-01-10,Trung,Nắng
127466,Phan Thiet,31,22,10,E,0.0,68,23,1009,2011-01-10,Trung,Nắng
127467,Phan Thiet,29,23,16,NE,0.0,73,37,1012,2012-01-10,Trung,Gió
127468,Phan Thiet,31,23,13,ENE,0.5,75,34,1011,2013-01-10,Trung,Nắng
127469,Phan Thiet,30,22,17,ENE,0.0,70,38,1013,2014-01-10,Trung,Nắng
127470,Phan Thiet,30,22,15,NE,0.0,69,16,1012,2015-01-10,Trung,Nắng
127471,Phan Thiet,31,22,14,ENE,0.0,73,11,1013,2016-01-10,Trung,Nắng
127472,Phan Thiet,32,21,16,ENE,0.0,71,6,1010,2017-01-10,Trung,Nắng
127473,Phan Thiet,33,24,21,NE,0.0,64,17,1013,2018-01-10,Trung,Nắng
127474,Phan Thiet,31,23,21,ENE,0.0,69,7,1013,2019-01-10,Trung,Nắng
127475,Phan Thiet,31,21,17,ENE,0.0,72,12,1010,2020-01-10,Trung,Nắng
127476,Phan Thiet,27,20,18,ENE,0.0,72,21,1011,2021-01-10,Trung,Lạnh
127477,Phan Thiet,28,20,17,NE,0.0,66,12,1017,2009-01-14,Trung,Lạnh
127478,Phan Thiet,30,23,20,NE,0.0,66,13,1016,2010-01-14,Trung,Nắng
127479,Phan Thiet,30,22,8,ENE,0.1,74,27,1010,2011-01-14,Trung,Nắng
127480,Phan Thiet,30,23,17,ENE,0.0,75,20,1009,2012-01-14,Trung,Nắng
127481,Phan Thiet,30,22,14,ENE,0.0,73,17,1012,2013-01-14,Trung,Nắng
127482,Phan Thiet,29,21,15,ENE,0.0,68,22,1014,2014-01-14,Trung,Lạnh
127483,Phan Thiet,30,20,14,ENE,0.0,66,8,1014,2015-01-14,Trung,Nắng
127484,Phan Thiet,32,23,16,ENE,0.0,70,12,1012,2016-01-14,Trung,Nắng
127485,Phan Thiet,30,23,3,ESE,6.3,85,72,1009,2017-01-14,Trung,Nắng
127486,Phan Thiet,31,22,16,NE,0.0,63,44,1012,2018-01-14,Trung,Nắng
127487,Phan Thiet,31,21,14,ENE,0.0,63,12,1011,2019-01-14,Trung,Nắng
127488,Phan Thiet,29,20,19,ENE,0.0,69,5,1011,2020-01-14,Trung,Lạnh
127489,Phan Thiet,25,19,11,ENE,0.0,76,12,1012,2021-01-14,Trung,Lạnh
127490,Phan Thiet,29,20,10,NE,0.0,66,31,1014,2009-01-11,Trung,Lạnh
127491,Phan Thiet,31,23,15,ENE,0.0,64,21,1013,2010-01-11,Trung,Nắng
127492,Phan Thiet,30,22,7,ENE,0.0,73,28,1009,2011-01-11,Trung,Nắng
127493,Phan Thiet,30,23,17,NE,0.0,75,41,1011,2012-01-11,Trung,Nắng
