,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
140971,Play Cu,22,18,26,ENE,1.6,84,66,1015,2009-01-02,Trung,Mây
140972,Play Cu,28,16,13,ENE,0.0,71,4,1013,2010-01-02,Trung,Lạnh
140973,Play Cu,27,12,14,ENE,0.0,84,44,1013,2011-01-02,Trung,Lạnh
140974,Play Cu,23,16,14,ENE,0.3,89,61,1016,2012-01-02,Trung,Mây
140975,Play Cu,28,13,12,ENE,0.0,81,37,1014,2013-01-02,Trung,Lạnh
140976,Play Cu,27,12,8,E,0.0,80,36,1014,2014-01-02,Trung,Lạnh
140977,Play Cu,24,10,16,NE,0.0,82,32,1017,2015-01-02,Trung,Lạnh
140978,Play Cu,29,16,15,ENE,0.9,77,32,1018,2016-01-02,Trung,Lạnh
140979,Play Cu,26,18,18,NE,0.0,81,34,1015,2017-01-02,Trung,Lạnh
140980,Play Cu,27,15,11,NE,0.0,76,14,1013,2018-01-02,Trung,Lạnh
140981,Play Cu,26,17,14,NE,0.0,69,43,1017,2019-01-02,Trung,Lạnh
140982,Play Cu,28,18,14,ENE,0.0,74,31,1018,2020-01-02,Trung,Lạnh
140983,Play Cu,24,16,14,NE,0.0,72,39,1015,2021-01-02,Trung,Lạnh
140996,Play Cu,22,16,18,NE,0.0,82,31,1014,2009-01-04,Trung,Lạnh
140997,Play Cu,28,16,12,E,0.0,75,16,1012,2010-01-04,Trung,Lạnh
140998,Play Cu,26,15,15,ENE,0.0,84,53,1013,2011-01-04,Trung,Mây
140999,Play Cu,25,13,13,ENE,0.0,86,52,1016,2012-01-04,Trung,Mây
141000,Play Cu,26,15,16,NE,0.0,82,42,1014,2013-01-04,Trung,Lạnh
141001,Play Cu,27,15,13,ENE,0.0,81,42,1014,2014-01-04,Trung,Lạnh
141002,Play Cu,27,15,11,ENE,0.0,84,58,1013,2015-01-04,Trung,Mây
141003,Play Cu,26,17,13,ENE,0.1,82,54,1015,2016-01-04,Trung,Mây
141004,Play Cu,26,16,14,NE,0.0,80,30,1013,2017-01-04,Trung,Lạnh
141005,Play Cu,25,17,7,NE,1.2,82,74,1011,2018-01-04,Trung,Mây
141006,Play Cu,28,19,14,ENE,0.5,77,32,1017,2019-01-04,Trung,Lạnh
141007,Play Cu,27,15,12,ENE,0.0,73,14,1016,2020-01-04,Trung,Lạnh
141008,Play Cu,28,17,16,ENE,0.0,75,29,1014,2021-01-04,Trung,Lạnh
141033,Play Cu,23,17,20,NE,1.4,84,63,1016,2009-01-03,Trung,Mây
141034,Play Cu,26,16,15,NE,0.0,81,29,1014,2009-01-05,Trung,Lạnh
141035,Play Cu,32,16,12,E,0.0,71,14,1012,2010-01-05,Trung,Nắng
141036,Play Cu,27,15,15,ENE,0.0,83,54,1013,2011-01-05,Trung,Mây
141037,Play Cu,25,15,13,ENE,0.0,86,74,1016,2012-01-05,Trung,Mây
141038,Play Cu,26,15,13,NE,0.0,81,44,1012,2013-01-05,Trung,Lạnh
141039,Play Cu,25,14,13,ENE,0.0,83,49,1014,2014-01-05,Trung,Lạnh
141040,Play Cu,29,17,6,ESE,0.0,80,46,1012,2015-01-05,Trung,Lạnh
141041,Play Cu,28,18,7,SSE,0.4,74,48,1014,2016-01-05,Trung,Lạnh
141042,Play Cu,28,17,13,ENE,0.0,81,22,1013,2017-01-05,Trung,Lạnh
141043,Play Cu,30,18,8,ENE,7.5,83,56,1011,2018-01-05,Trung,Nắng
141044,Play Cu,29,19,13,ENE,0.0,77,29,1016,2019-01-05,Trung,Lạnh
141045,Play Cu,28,17,15,ENE,0.0,70,5,1013,2010-01-03,Trung,Lạnh
141046,Play Cu,28,14,13,ENE,0.0,83,47,1013,2011-01-03,Trung,Lạnh
141047,Play Cu,25,15,13,ENE,0.0,87,50,1015,2012-01-03,Trung,Lạnh
141048,Play Cu,27,15,15,ENE,0.0,80,36,1015,2013-01-03,Trung,Lạnh
141049,Play Cu,30,14,6,E,0.0,81,45,1013,2014-01-03,Trung,Nắng
141050,Play Cu,25,14,15,NE,0.0,83,37,1016,2015-01-03,Trung,Lạnh
141051,Play Cu,28,18,10,ENE,6.5,80,34,1017,2016-01-03,Trung,Lạnh
141052,Play Cu,25,16,17,ENE,0.0,80,16,1015,2017-01-03,Trung,Lạnh
141053,Play Cu,29,15,10,ENE,0.5,77,32,1012,2018-01-03,Trung,Lạnh
141054,Play Cu,28,19,17,ENE,0.2,73,31,1017,2019-01-03,Trung,Lạnh
141055,Play Cu,26,18,13,ENE,0.0,75,21,1017,2020-01-03,Trung,Lạnh
141056,Play Cu,28,15,14,NE,0.0,72,18,1015,2021-01-03,Trung,Lạnh
141057,Play Cu,27,14,12,ENE,0.0,76,17,1015,2020-01-05,Trung,Lạnh
141058,Play Cu,27,18,15,NE,0.1,73,39,1014,2021-01-05,Trung,Lạnh
141059,Play Cu,27,17,16,ENE,0.3,83,32,1014,2009-01-06,Trung,Lạnh
141060,Play Cu,29,17,14,E,0.0,71,12,1013,2010-01-06,Trung,Lạnh
141061,Play Cu,25,15,17,ENE,0.0,83,42,1014,2011-01-06,Trung,Lạnh
141062,Play Cu,26,15,14,ENE,0.0,86,45,1017,2012-01-06,Trung,Lạnh
141063,Play Cu,27,17,15,NE,0.0,80,36,1012,2013-01-06,Trung,Lạnh
141064,Play Cu,26,13,11,ENE,0.0,81,35,1013,2014-01-06,Trung,Lạnh
141065,Play Cu,28,18,9,ENE,6.5,83,60,1012,2015-01-06,Trung,Mây
141066,Play Cu,29,18,11,ENE,0.0,73,16,1016,2016-01-06,Trung,Lạnh
141067,Play Cu,28,17,14,ENE,0.0,82,40,1012,2017-01-06,Trung,Lạnh
141068,Play Cu,31,18,7,E,14.5,83,54,1011,2018-01-06,Trung,Nắng
141069,Play Cu,28,18,14,ENE,0.0,77,34,1017,2019-01-06,Trung,Lạnh
141070,Play Cu,29,13,10,ENE,0.2,77,41,1015,2020-01-06,Trung,Lạnh
141071,Play Cu,26,18,15,ENE,0.0,74,21,1014,2021-01-06,Trung,Lạnh
141072,Play Cu,26,17,18,NE,0.0,78,15,1016,2009-01-07,Trung,Lạnh
141073,Play Cu,27,17,17,ENE,0.0,75,16,1015,2010-01-07,Trung,Lạnh
141074,Play Cu,25,16,16,ENE,0.7,84,54,1015,2011-01-07,Trung,Mây
141075,Play Cu,27,15,13,ENE,0.1,81,68,1016,2012-01-07,Trung,Mây
141076,Play Cu,26,19,13,NE,1.0,84,69,1013,2013-01-07,Trung,Mây
141077,Play Cu,29,12,10,ENE,0.0,70,16,1013,2014-01-07,Trung,Lạnh
141078,Play Cu,27,18,14,ENE,0.0,84,54,1014,2015-01-07,Trung,Mây
141079,Play Cu,29,16,13,ENE,0.3,76,19,1017,2016-01-07,Trung,Lạnh
141080,Play Cu,28,17,13,ENE,2.0,81,38,1011,2017-01-07,Trung,Lạnh
141081,Play Cu,32,18,6,E,2.5,78,42,1012,2018-01-07,Trung,Nắng
141082,Play Cu,29,16,12,ENE,0.0,78,26,1016,2019-01-07,Trung,Lạnh
141083,Play Cu,29,16,11,ENE,0.0,76,37,1013,2020-01-07,Trung,Lạnh
141084,Play Cu,26,16,13,ENE,0.0,76,26,1013,2021-01-07,Trung,Lạnh
141085,Play Cu,22,18,22,ENE,8.7,90,84,1014,2009-01-01,Trung,Mây
141086,Play Cu,27,16,14,ENE,0.0,76,7,1013,2010-01-01,Trung,Lạnh
141087,Play Cu,24,13,14,ENE,0.0,83,51,1012,2011-01-01,Trung,Mây
141088,Play Cu,24,17,15,ENE,0.1,86,55,1016,2012-01-01,Trung,Mây
141089,Play Cu,26,13,15,ENE,0.0,82,39,1015,2013-01-01,Trung,Lạnh
141090,Play Cu,24,12,13,ENE,0.0,84,39,1016,2014-01-01,Trung,Lạnh
141091,Play Cu,24,11,15,NE,0.0,80,35,1017,2015-01-01,Trung,Lạnh
141092,Play Cu,26,16,20,NE,0.0,77,16,1020,2016-01-01,Trung,Lạnh
141093,Play Cu,26,18,17,ENE,0.6,83,42,1015,2017-01-01,Trung,Lạnh
141094,Play Cu,27,15,12,ENE,0.0,72,7,1014,2018-01-01,Trung,Lạnh
141095,Play Cu,25,18,14,NE,0.2,68,34,1017,2019-01-01,Trung,Lạnh
141096,Play Cu,27,19,18,ENE,0.2,72,39,1018,2020-01-01,Trung,Lạnh
141097,Play Cu,24,15,15,NE,0.0,69,28,1016,2021-01-01,Trung,Lạnh
141098,Play Cu,24,15,22,NE,0.1,76,22,1019,2009-01-09,Trung,Lạnh
141099,Play Cu,29,17,12,ENE,0.2,79,37,1014,2010-01-09,Trung,Lạnh
141100,Play Cu,24,13,15,ENE,0.0,83,47,1014,2011-01-09,Trung,Lạnh
141101,Play Cu,26,15,14,ENE,0.1,80,56,1016,2012-01-09,Trung,Lạnh
141102,Play Cu,27,18,14,ENE,0.8,82,64,1013,2013-01-09,Trung,Mây
141103,Play Cu,25,13,17,ENE,0.0,82,41,1016,2014-01-09,Trung,Lạnh
141104,Play Cu,23,16,17,ENE,0.3,84,63,1016,2015-01-09,Trung,Mây
141105,Play Cu,27,16,14,E,0.2,79,31,1015,2016-01-09,Trung,Lạnh
141106,Play Cu,28,16,13,ENE,0.0,82,32,1011,2017-01-09,Trung,Lạnh
141107,Play Cu,29,18,11,ENE,2.1,75,22,1015,2018-01-09,Trung,Lạnh
141108,Play Cu,28,16,12,ENE,0.0,79,34,1016,2019-01-09,Trung,Lạnh
141109,Play Cu,31,16,10,ENE,0.0,74,33,1013,2020-01-09,Trung,Nắng
141110,Play Cu,23,16,17,ENE,0.0,71,28,1015,2021-01-09,Trung,Lạnh
141111,Play Cu,23,13,19,NE,0.0,75,10,1020,2009-01-12,Trung,Lạnh
