,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
154630,Qui Nhon,24,24,29,NE,35.5,89,99,1013,2009-01-01,Trung,Mây
154631,Qui Nhon,27,23,12,NNE,0.3,84,19,1013,2010-01-01,Trung,Gió
154632,Qui Nhon,25,21,18,NNE,1.8,83,54,1012,2011-01-01,Trung,Mây
154633,Qui Nhon,23,22,18,NNE,21.0,95,90,1016,2012-01-01,Trung,Mây
154634,Qui Nhon,24,22,20,SE,3.6,87,87,1014,2013-01-01,Trung,Mây
154635,Qui Nhon,22,19,19,NE,0.4,84,70,1016,2014-01-01,Trung,Mây
154636,Qui Nhon,23,20,27,E,2.2,82,65,1016,2015-01-01,Trung,Mây
154637,Qui Nhon,25,22,26,NNE,11.1,84,84,1019,2016-01-01,Trung,Mây
154638,Qui Nhon,25,24,22,NNE,5.8,92,97,1015,2017-01-01,Trung,Mây
154639,Qui Nhon,25,22,23,NNE,1.8,82,69,1014,2018-01-01,Trung,Mây
154640,Qui Nhon,25,24,30,NNE,62.8,89,100,1016,2019-01-01,Trung,Mây
154641,Qui Nhon,25,23,18,NE,12.8,89,72,1018,2020-01-01,Trung,Mây
154642,Qui Nhon,21,14,30,NNE,9.2,91,100,1015,2021-01-01,Trung,Mây
154643,Qui Nhon,24,24,32,NE,25.8,88,98,1014,2009-01-02,Trung,Bão
154644,Qui Nhon,27,23,12,SSE,0.0,84,25,1013,2010-01-02,Trung,Gió
154645,Qui Nhon,25,22,16,SSE,2.4,85,65,1012,2011-01-02,Trung,Mây
154646,Qui Nhon,23,21,17,NNE,6.7,91,82,1016,2012-01-02,Trung,Mây
154647,Qui Nhon,25,22,18,NE,1.6,85,74,1014,2013-01-02,Trung,Mây
154648,Qui Nhon,24,19,12,SSE,0.0,82,30,1014,2014-01-02,Trung,Lạnh
154649,Qui Nhon,23,21,23,E,6.6,89,98,1016,2015-01-02,Trung,Mây
154650,Qui Nhon,25,23,20,SW,7.2,89,95,1017,2016-01-02,Trung,Mây
154651,Qui Nhon,26,24,22,NNE,14.2,88,64,1014,2017-01-02,Trung,Mây
154652,Qui Nhon,25,22,20,E,4.6,85,73,1013,2018-01-02,Trung,Mây
154653,Qui Nhon,25,23,21,NNE,70.3,90,97,1016,2019-01-02,Trung,Mây
154654,Qui Nhon,25,23,20,NE,16.5,90,70,1018,2020-01-02,Trung,Mây
154655,Qui Nhon,21,15,24,N,17.2,93,100,1014,2021-01-02,Trung,Mây
154656,Qui Nhon,24,23,26,NNE,9.1,85,81,1015,2009-01-03,Trung,Mây
154657,Qui Nhon,27,23,15,NNE,0.2,84,17,1013,2010-01-03,Trung,Gió
154658,Qui Nhon,25,22,16,SE,3.0,89,88,1013,2011-01-03,Trung,Mây
154659,Qui Nhon,24,20,16,E,0.4,85,66,1015,2012-01-03,Trung,Mây
154660,Qui Nhon,24,22,20,S,8.0,90,96,1015,2013-01-03,Trung,Mây
154661,Qui Nhon,25,18,10,SE,0.0,83,20,1013,2014-01-03,Trung,Lạnh
