,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
168277,Rach Gia,28,21,25,NNE,1.0,81,51,1011,2009-01-02,Nam,Mây
168278,Rach Gia,30,25,15,ENE,0.0,63,54,1010,2010-01-02,Nam,Nắng
168279,Rach Gia,30,23,9,E,0.5,75,33,1009,2011-01-02,Nam,Nắng
168280,Rach Gia,30,23,19,E,0.0,77,36,1012,2012-01-02,Nam,Nắng
168281,Rach Gia,31,24,9,NNE,0.0,71,34,1011,2013-01-02,Nam,Nắng
168282,Rach Gia,30,23,6,E,0.0,73,26,1012,2014-01-02,Nam,Nắng
168283,Rach Gia,28,20,13,ENE,0.3,66,33,1013,2015-01-02,Nam,Lạnh
168284,Rach Gia,31,25,11,E,0.0,68,20,1014,2016-01-02,Nam,Nắng
168285,Rach Gia,30,25,18,ENE,8.5,75,35,1011,2017-01-02,Nam,Nắng
168286,Rach Gia,30,23,10,ENE,0.0,71,11,1009,2018-01-02,Nam,Nắng
168287,Rach Gia,25,24,36,NNE,22.1,77,89,1012,2019-01-02,Nam,Bão
168288,Rach Gia,31,24,16,ENE,0.0,68,18,1014,2020-01-02,Nam,Nắng
168289,Rach Gia,27,22,18,NNE,0.0,71,48,1011,2021-01-02,Nam,Gió
168314,Rach Gia,29,21,12,NE,0.9,75,31,1011,2009-01-04,Nam,Lạnh
168315,Rach Gia,34,25,17,ESE,0.0,63,59,1009,2010-01-04,Nam,Nắng
168316,Rach Gia,31,24,8,ENE,4.1,78,58,1009,2011-01-04,Nam,Nắng
168317,Rach Gia,30,22,13,ESE,0.6,76,43,1012,2012-01-04,Nam,Nắng
168318,Rach Gia,31,25,9,S,0.3,71,28,1009,2013-01-04,Nam,Nắng
168319,Rach Gia,31,24,7,S,14.1,79,55,1011,2014-01-04,Nam,Nắng
168320,Rach Gia,31,23,11,ENE,11.1,69,39,1010,2015-01-04,Nam,Nắng
168321,Rach Gia,30,25,12,E,2.1,74,54,1012,2016-01-04,Nam,Nắng
168322,Rach Gia,29,25,19,ENE,12.3,75,56,1010,2017-01-04,Nam,Gió
168323,Rach Gia,31,25,7,SSE,0.0,75,29,1008,2018-01-04,Nam,Nắng
168324,Rach Gia,28,26,32,E,7.8,84,61,1013,2019-01-04,Nam,Mây
168325,Rach Gia,29,23,11,S,0.0,73,29,1012,2020-01-04,Nam,Gió
168326,Rach Gia,30,24,9,ESE,0.1,75,49,1010,2021-01-04,Nam,Nắng
168327,Rach Gia,30,22,14,NE,0.0,71,17,1011,2009-01-06,Nam,Nắng
168328,Rach Gia,32,24,17,ESE,5.2,70,25,1010,2010-01-06,Nam,Nắng
168329,Rach Gia,31,24,17,ENE,15.4,78,38,1009,2011-01-06,Nam,Nắng
168330,Rach Gia,31,24,10,SSW,1.7,73,15,1013,2012-01-06,Nam,Nắng
168331,Rach Gia,24,23,18,ESE,24.7,80,74,1009,2013-01-06,Nam,Gió
168332,Rach Gia,30,23,10,SE,3.0,78,46,1010,2014-01-06,Nam,Nắng
168333,Rach Gia,30,24,9,E,20.5,79,38,1009,2015-01-06,Nam,Nắng
168334,Rach Gia,31,26,14,ESE,0.1,75,41,1013,2016-01-06,Nam,Nắng
168335,Rach Gia,29,25,27,ESE,17.0,77,36,1008,2017-01-06,Nam,Gió
168336,Rach Gia,30,25,16,ESE,1.1,83,37,1009,2018-01-06,Nam,Nắng
168337,Rach Gia,30,25,23,E,2.5,78,32,1013,2019-01-06,Nam,Nắng
168338,Rach Gia,29,24,8,S,0.0,69,10,1012,2020-01-06,Nam,Gió
