,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
177387,Soc Trang,27,22,17,NNE,6.9,90,71,1010,2009-01-01,Nam,Mây
177388,Soc Trang,31,25,20,ENE,0.0,64,24,1010,2010-01-01,Nam,Nắng
177389,Soc Trang,29,24,14,E,0.0,75,45,1008,2011-01-01,Nam,Gió
177390,Soc Trang,30,24,30,E,0.0,79,52,1012,2012-01-01,Nam,Nắng
177391,Soc Trang,31,25,20,ENE,0.0,70,24,1010,2013-01-01,Nam,Nắng
177392,Soc Trang,28,23,14,ENE,0.0,75,55,1012,2014-01-01,Nam,Gió
177393,Soc Trang,29,23,10,ENE,0.4,75,42,1012,2015-01-01,Nam,Gió
177394,Soc Trang,32,24,22,ENE,0.0,63,9,1015,2016-01-01,Nam,Nắng
177395,Soc Trang,30,24,20,ENE,0.5,76,35,1011,2017-01-01,Nam,Nắng
177396,Soc Trang,29,23,16,E,0.0,70,33,1010,2018-01-01,Nam,Gió
177397,Soc Trang,27,22,19,WSW,4.5,73,55,1012,2019-01-01,Nam,Gió
177398,Soc Trang,32,23,22,ENE,0.0,61,9,1014,2020-01-01,Nam,Nắng
177399,Soc Trang,28,21,9,WSW,0.0,74,48,1011,2021-01-01,Nam,Lạnh
177400,Soc Trang,23,21,9,ESE,16.7,91,77,1011,2009-01-03,Nam,Mây
177401,Soc Trang,30,26,22,E,0.2,70,56,1010,2010-01-03,Nam,Nắng
177402,Soc Trang,32,23,13,ENE,0.2,75,30,1009,2011-01-03,Nam,Nắng
177403,Soc Trang,29,24,22,E,0.0,75,22,1012,2012-01-03,Nam,Gió
177404,Soc Trang,32,25,19,ENE,0.0,74,26,1011,2013-01-03,Nam,Nắng
177405,Soc Trang,31,23,10,ENE,0.0,75,18,1012,2014-01-03,Nam,Nắng
177406,Soc Trang,30,22,8,SSE,1.2,72,38,1012,2015-01-03,Nam,Nắng
177407,Soc Trang,33,26,15,E,1.3,70,39,1014,2016-01-03,Nam,Nắng
177408,Soc Trang,31,25,25,ENE,0.0,70,48,1010,2017-01-03,Nam,Nắng
177409,Soc Trang,32,24,11,ENE,0.0,75,23,1009,2018-01-03,Nam,Nắng
177410,Soc Trang,27,23,30,ENE,27.7,88,87,1012,2019-01-03,Nam,Mây
177411,Soc Trang,31,25,24,ENE,0.0,63,10,1013,2020-01-03,Nam,Nắng
177412,Soc Trang,28,23,10,SE,0.1,77,51,1010,2021-01-03,Nam,Gió
177413,Soc Trang,28,22,15,ENE,0.5,85,61,1010,2009-01-02,Nam,Mây
177414,Soc Trang,30,25,22,ENE,1.1,68,49,1010,2010-01-02,Nam,Nắng
177415,Soc Trang,30,23,18,E,0.0,72,18,1009,2011-01-02,Nam,Nắng
177416,Soc Trang,29,24,27,E,0.0,77,29,1012,2012-01-02,Nam,Gió
177417,Soc Trang,32,25,19,ENE,0.0,70,29,1010,2013-01-02,Nam,Nắng
177418,Soc Trang,29,23,14,E,0.0,77,46,1012,2014-01-02,Nam,Gió
177419,Soc Trang,27,22,6,SE,0.4,79,68,1013,2015-01-02,Nam,Gió
177420,Soc Trang,33,24,16,ESE,0.2,66,38,1014,2016-01-02,Nam,Nắng
177421,Soc Trang,31,24,25,ENE,0.3,74,20,1010,2017-01-02,Nam,Nắng
177422,Soc Trang,30,23,14,ENE,0.0,71,12,1009,2018-01-02,Nam,Nắng
177423,Soc Trang,23,22,25,NE,29.9,89,90,1011,2019-01-02,Nam,Mây
177424,Soc Trang,31,25,23,ENE,0.0,67,9,1014,2020-01-02,Nam,Nắng
177425,Soc Trang,27,22,8,SSW,0.0,78,59,1010,2021-01-02,Nam,Gió
177438,Soc Trang,27,21,9,E,2.2,86,32,1011,2009-01-04,Nam,Lạnh
177439,Soc Trang,32,25,22,E,0.0,68,42,1009,2010-01-04,Nam,Nắng
177440,Soc Trang,31,24,17,ENE,0.7,77,64,1009,2011-01-04,Nam,Nắng
177441,Soc Trang,29,23,21,E,0.0,75,10,1012,2012-01-04,Nam,Gió
177442,Soc Trang,32,25,14,E,1.2,74,36,1009,2013-01-04,Nam,Nắng
177443,Soc Trang,31,23,14,E,3.0,77,46,1011,2014-01-04,Nam,Nắng
177444,Soc Trang,32,24,11,ENE,1.0,73,51,1010,2015-01-04,Nam,Nắng
177445,Soc Trang,30,24,14,E,0.4,75,54,1011,2016-01-04,Nam,Nắng
177446,Soc Trang,30,25,23,ENE,0.1,71,52,1009,2017-01-04,Nam,Nắng
177447,Soc Trang,33,24,6,SSW,0.2,77,33,1008,2018-01-04,Nam,Nắng
177448,Soc Trang,29,25,27,E,14.0,84,55,1013,2019-01-04,Nam,Mây
177449,Soc Trang,31,24,18,E,0.0,67,9,1012,2020-01-04,Nam,Nắng
177450,Soc Trang,30,21,13,E,0.4,78,56,1009,2021-01-04,Nam,Nắng
177451,Soc Trang,29,22,10,NE,1.2,81,40,1013,2009-01-08,Nam,Gió
177452,Soc Trang,32,25,19,E,0.0,64,15,1012,2010-01-08,Nam,Nắng
177453,Soc Trang,30,23,18,ENE,0.0,72,31,1009,2011-01-08,Nam,Nắng
177454,Soc Trang,29,23,14,ENE,0.0,76,56,1013,2012-01-08,Nam,Gió
177455,Soc Trang,31,24,10,E,1.4,79,50,1009,2013-01-08,Nam,Nắng
177456,Soc Trang,31,24,16,ENE,0.0,69,52,1011,2014-01-08,Nam,Nắng
177457,Soc Trang,31,24,26,E,0.0,74,12,1011,2015-01-08,Nam,Nắng
177458,Soc Trang,32,25,22,E,0.2,72,35,1013,2016-01-08,Nam,Nắng
177459,Soc Trang,31,25,26,E,0.0,76,34,1008,2017-01-08,Nam,Nắng
177460,Soc Trang,30,25,13,E,0.1,81,38,1011,2018-01-08,Nam,Nắng
177461,Soc Trang,30,25,22,E,0.4,78,28,1012,2019-01-08,Nam,Nắng
177462,Soc Trang,33,25,20,E,0.1,66,25,1010,2020-01-08,Nam,Nắng
177463,Soc Trang,29,24,18,ENE,0.0,74,31,1009,2021-01-08,Nam,Gió
177464,Soc Trang,30,23,10,E,0.3,81,25,1011,2009-01-06,Nam,Nắng
177465,Soc Trang,31,25,21,E,1.6,71,16,1010,2010-01-06,Nam,Nắng
177466,Soc Trang,31,24,25,ENE,0.0,73,32,1009,2011-01-06,Nam,Nắng
177467,Soc Trang,31,23,12,ENE,0.9,77,14,1013,2012-01-06,Nam,Nắng
177468,Soc Trang,25,21,13,NNW,24.7,88,92,1009,2013-01-06,Nam,Mây
177469,Soc Trang,30,23,18,E,0.1,75,29,1010,2014-01-06,Nam,Nắng
177470,Soc Trang,30,25,18,ENE,2.0,78,42,1009,2015-01-06,Nam,Nắng
177471,Soc Trang,32,25,17,E,0.0,74,30,1014,2016-01-06,Nam,Nắng
177472,Soc Trang,30,25,27,E,0.3,76,45,1008,2017-01-06,Nam,Nắng
177473,Soc Trang,31,25,14,ESE,0.1,82,49,1009,2018-01-06,Nam,Nắng
177474,Soc Trang,30,25,23,E,0.0,79,31,1013,2019-01-06,Nam,Nắng
177475,Soc Trang,32,24,13,ENE,0.0,68,26,1012,2020-01-06,Nam,Nắng
177476,Soc Trang,29,24,18,ENE,0.0,81,49,1009,2021-01-06,Nam,Gió
177477,Soc Trang,29,24,12,ESE,1.9,83,30,1012,2009-01-07,Nam,Gió
177478,Soc Trang,31,25,23,E,0.0,67,7,1012,2010-01-07,Nam,Nắng
177479,Soc Trang,30,24,24,ENE,0.0,71,36,1010,2011-01-07,Nam,Nắng
177480,Soc Trang,30,24,18,E,0.1,76,47,1012,2012-01-07,Nam,Nắng
177481,Soc Trang,28,23,15,E,2.2,87,71,1009,2013-01-07,Nam,Mây
177482,Soc Trang,30,23,13,ENE,0.0,71,39,1010,2014-01-07,Nam,Nắng
177483,Soc Trang,31,24,22,E,0.0,77,50,1010,2015-01-07,Nam,Nắng
177484,Soc Trang,32,25,21,E,0.0,73,29,1014,2016-01-07,Nam,Nắng
177485,Soc Trang,31,25,26,E,0.0,76,41,1007,2017-01-07,Nam,Nắng
177486,Soc Trang,31,25,13,ESE,0.1,79,43,1010,2018-01-07,Nam,Nắng
177487,Soc Trang,30,25,23,E,0.0,77,15,1012,2019-01-07,Nam,Nắng
177488,Soc Trang,32,24,20,E,0.0,70,22,1011,2020-01-07,Nam,Nắng
177489,Soc Trang,30,24,18,ENE,0.0,73,33,1009,2021-01-07,Nam,Nắng
177490,Soc Trang,26,18,14,E,0.0,69,16,1014,2009-01-10,Nam,Lạnh
177491,Soc Trang,30,25,15,E,1.8,75,53,1011,2010-01-10,Nam,Nắng
177492,Soc Trang,32,23,7,ESE,0.1,72,40,1008,2011-01-10,Nam,Nắng
177493,Soc Trang,31,24,17,ENE,0.0,70,34,1011,2012-01-10,Nam,Nắng
177494,Soc Trang,31,24,9,SW,11.9,82,38,1010,2013-01-10,Nam,Nắng
177495,Soc Trang,27,23,21,ENE,0.0,76,60,1012,2014-01-10,Nam,Gió
177496,Soc Trang,32,24,19,E,0.0,71,19,1011,2015-01-10,Nam,Nắng
177497,Soc Trang,32,25,19,E,0.0,73,16,1013,2016-01-10,Nam,Nắng
177498,Soc Trang,31,25,21,E,0.0,72,13,1009,2017-01-10,Nam,Nắng
177499,Soc Trang,31,25,17,ENE,3.5,74,39,1012,2018-01-10,Nam,Nắng
177500,Soc Trang,30,25,21,E,0.2,77,22,1012,2019-01-10,Nam,Nắng
177501,Soc Trang,32,25,17,E,0.0,68,28,1009,2020-01-10,Nam,Nắng
177502,Soc Trang,28,22,13,ENE,0.0,72,38,1010,2021-01-10,Nam,Gió
177503,Soc Trang,28,21,12,ENE,0.0,74,26,1014,2009-01-09,Nam,Lạnh
177504,Soc Trang,31,25,20,E,0.6,68,29,1011,2010-01-09,Nam,Nắng
177505,Soc Trang,31,23,16,E,0.0,69,27,1009,2011-01-09,Nam,Nắng
