,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
9050,Tam Ky,22,21,24,NNE,89.8,93,100,1016,2009-01-01,Trung,Mây
9051,Tam Ky,27,21,6,SE,0.1,85,8,1013,2010-01-01,Trung,Lạnh
9052,Tam Ky,24,19,5,SSW,2.7,82,69,1013,2011-01-01,Trung,Mây
9053,Tam Ky,22,21,10,ESE,25.5,94,100,1018,2012-01-01,Trung,Mây
9054,Tam Ky,22,18,10,WNW,2.8,88,81,1016,2013-01-01,Trung,Mây
9055,Tam Ky,21,16,9,SSE,1.2,87,81,1017,2014-01-01,Trung,Mây
9056,Tam Ky,21,18,15,S,4.5,84,84,1019,2015-01-01,Trung,Mây
9057,Tam Ky,24,22,16,NNE,33.7,86,77,1021,2016-01-01,Trung,Mây
9058,Tam Ky,23,21,6,SE,13.8,94,99,1017,2017-01-01,Trung,Mây
9059,Tam Ky,23,21,10,ENE,10.9,87,76,1016,2018-01-01,Trung,Mây
9060,Tam Ky,21,21,26,S,38.3,91,100,1020,2019-01-01,Trung,Mây
9061,Tam Ky,25,23,16,E,31.0,88,71,1020,2020-01-01,Trung,Mây
9062,Tam Ky,20,14,21,NNE,11.7,86,87,1019,2021-01-01,Trung,Mây
9063,Tam Ky,22,21,19,NE,39.6,90,100,1017,2009-01-02,Trung,Mây
9064,Tam Ky,27,21,6,SSE,0.0,85,5,1013,2010-01-02,Trung,Lạnh
9065,Tam Ky,25,19,5,S,0.3,85,68,1014,2011-01-02,Trung,Mây
9066,Tam Ky,22,21,11,ENE,10.8,91,95,1017,2012-01-02,Trung,Mây
9067,Tam Ky,24,19,7,S,0.6,85,48,1015,2013-01-02,Trung,Lạnh
9068,Tam Ky,22,15,6,ESE,0.0,85,35,1014,2014-01-02,Trung,Lạnh
9069,Tam Ky,22,18,11,NE,21.6,88,96,1019,2015-01-02,Trung,Mây
9070,Tam Ky,22,21,10,NW,19.6,92,100,1019,2016-01-02,Trung,Mây
9071,Tam Ky,26,22,11,NE,33.4,91,85,1016,2017-01-02,Trung,Mây
9072,Tam Ky,23,21,6,NE,16.6,90,85,1015,2018-01-02,Trung,Mây
9073,Tam Ky,21,19,24,WSW,53.2,92,100,1019,2019-01-02,Trung,Mây
9074,Tam Ky,25,23,13,ENE,16.8,87,77,1020,2020-01-02,Trung,Mây
9075,Tam Ky,20,13,15,NNE,10.5,88,99,1018,2021-01-02,Trung,Mây
9076,Tam Ky,22,21,13,ENE,15.5,89,91,1017,2009-01-03,Trung,Mây
9077,Tam Ky,27,21,6,S,0.0,86,15,1014,2010-01-03,Trung,Lạnh
9078,Tam Ky,25,20,6,W,0.5,85,48,1014,2011-01-03,Trung,Lạnh
9079,Tam Ky,23,18,4,E,0.2,86,60,1016,2012-01-03,Trung,Mây
9080,Tam Ky,25,21,8,WNW,2.2,86,78,1017,2013-01-03,Trung,Mây
9081,Tam Ky,24,17,8,ESE,0.2,86,36,1014,2014-01-03,Trung,Lạnh
9082,Tam Ky,22,20,8,ESE,16.0,90,99,1017,2015-01-03,Trung,Mây
9083,Tam Ky,24,22,10,NNW,6.9,91,100,1017,2016-01-03,Trung,Mây
9084,Tam Ky,25,22,10,ENE,4.8,88,80,1016,2017-01-03,Trung,Mây
9085,Tam Ky,22,22,7,WSW,18.0,93,98,1014,2018-01-03,Trung,Mây
9086,Tam Ky,22,21,19,WSW,84.3,93,100,1019,2019-01-03,Trung,Mây
9087,Tam Ky,24,22,12,ENE,6.8,85,77,1018,2020-01-03,Trung,Mây
9088,Tam Ky,21,18,11,WNW,4.5,89,99,1017,2021-01-03,Trung,Mây
9089,Tam Ky,24,20,10,SE,6.0,88,83,1015,2009-01-04,Trung,Mây
9090,Tam Ky,27,21,11,S,0.0,84,22,1012,2010-01-04,Trung,Lạnh
9091,Tam Ky,24,20,5,S,4.0,89,83,1014,2011-01-04,Trung,Mây
9092,Tam Ky,22,19,9,WSW,10.8,91,93,1017,2012-01-04,Trung,Mây
9093,Tam Ky,23,21,7,SW,10.4,87,91,1015,2013-01-04,Trung,Mây
9094,Tam Ky,22,19,9,SW,2.9,87,74,1016,2014-01-04,Trung,Mây
9095,Tam Ky,24,20,6,SSW,2.0,88,73,1014,2015-01-04,Trung,Mây
9096,Tam Ky,23,22,8,SW,3.3,90,86,1015,2016-01-04,Trung,Mây
9097,Tam Ky,24,21,7,W,5.2,90,96,1015,2017-01-04,Trung,Mây
9098,Tam Ky,23,22,5,WNW,10.3,94,99,1012,2018-01-04,Trung,Mây
9099,Tam Ky,25,21,10,WNW,0.3,89,98,1019,2019-01-04,Trung,Mây
9100,Tam Ky,25,21,8,ENE,3.2,80,67,1017,2020-01-04,Trung,Lạnh
9101,Tam Ky,21,15,12,SW,56.1,95,100,1016,2021-01-04,Trung,Mây
9114,Tam Ky,23,21,8,NNE,6.5,89,81,1015,2009-01-05,Trung,Mây
9115,Tam Ky,28,22,14,SSE,0.0,78,19,1012,2010-01-05,Trung,Gió
9116,Tam Ky,25,21,5,SSW,3.3,87,65,1014,2011-01-05,Trung,Mây
9117,Tam Ky,21,20,12,WNW,29.2,94,99,1017,2012-01-05,Trung,Mây
9118,Tam Ky,24,20,9,WSW,5.9,88,93,1013,2013-01-05,Trung,Mây
9119,Tam Ky,23,20,7,SE,2.2,82,73,1015,2014-01-05,Trung,Mây
9120,Tam Ky,26,21,9,SE,0.0,88,41,1012,2015-01-05,Trung,Lạnh
9121,Tam Ky,27,22,8,ESE,5.6,85,42,1015,2016-01-05,Trung,Gió
9122,Tam Ky,25,21,7,WSW,4.3,90,78,1014,2017-01-05,Trung,Mây
9123,Tam Ky,26,23,6,NW,32.9,94,92,1011,2018-01-05,Trung,Mây
9124,Tam Ky,25,22,7,SW,5.0,90,88,1018,2019-01-05,Trung,Mây
9125,Tam Ky,25,21,5,S,4.1,81,56,1017,2020-01-05,Trung,Mây
9126,Tam Ky,22,16,9,WSW,24.2,93,100,1016,2021-01-05,Trung,Mây
9127,Tam Ky,24,22,10,ENE,13.1,90,80,1015,2009-01-06,Trung,Mây
9128,Tam Ky,28,22,10,SSE,0.0,82,8,1013,2010-01-06,Trung,Gió
9129,Tam Ky,23,20,9,S,9.9,88,84,1016,2011-01-06,Trung,Mây
9130,Tam Ky,22,19,11,NW,6.7,93,93,1018,2012-01-06,Trung,Mây
9131,Tam Ky,23,22,11,ENE,35.0,92,100,1014,2013-01-06,Trung,Mây
9132,Tam Ky,24,18,7,SE,0.0,82,43,1014,2014-01-06,Trung,Lạnh
9133,Tam Ky,27,21,8,SE,0.0,89,36,1012,2015-01-06,Trung,Lạnh
9134,Tam Ky,28,21,6,ESE,3.0,84,18,1016,2016-01-06,Trung,Lạnh
9135,Tam Ky,25,22,7,W,5.8,89,89,1013,2017-01-06,Trung,Mây
9136,Tam Ky,28,22,6,SE,1.0,90,77,1011,2018-01-06,Trung,Mây
9137,Tam Ky,25,23,7,S,8.6,90,77,1018,2019-01-06,Trung,Mây
9138,Tam Ky,26,20,8,S,0.1,81,44,1016,2020-01-06,Trung,Lạnh
9139,Tam Ky,22,19,14,ENE,12.6,88,92,1015,2021-01-06,Trung,Mây
9140,Tam Ky,23,22,9,NNE,12.7,88,56,1017,2009-01-07,Trung,Mây
9141,Tam Ky,27,21,7,ESE,0.4,84,14,1016,2010-01-07,Trung,Lạnh
9142,Tam Ky,21,21,16,NNE,68.6,92,100,1017,2011-01-07,Trung,Mây
9143,Tam Ky,25,21,9,ESE,10.0,88,73,1017,2012-01-07,Trung,Mây
9144,Tam Ky,23,22,11,NNE,18.5,92,100,1014,2013-01-07,Trung,Mây
9145,Tam Ky,25,17,8,SE,0.0,82,1,1013,2014-01-07,Trung,Lạnh
9146,Tam Ky,25,22,9,ENE,12.9,91,91,1015,2015-01-07,Trung,Mây
9147,Tam Ky,27,21,7,SSE,1.4,83,58,1017,2016-01-07,Trung,Mây
9148,Tam Ky,26,21,8,S,3.7,89,89,1011,2017-01-07,Trung,Mây
9149,Tam Ky,29,23,8,SSE,0.7,87,30,1012,2018-01-07,Trung,Gió
9150,Tam Ky,26,23,9,ENE,3.8,82,74,1018,2019-01-07,Trung,Mây
9151,Tam Ky,25,20,7,SE,0.1,86,50,1014,2020-01-07,Trung,Lạnh
9152,Tam Ky,23,19,12,ENE,17.7,88,93,1015,2021-01-07,Trung,Mây
9153,Tam Ky,18,17,20,S,11.2,85,98,1021,2009-01-10,Trung,Mây
9154,Tam Ky,27,22,14,SE,0.4,82,27,1013,2010-01-10,Trung,Gió
9155,Tam Ky,21,20,15,ENE,11.5,90,99,1015,2011-01-10,Trung,Mây
9156,Tam Ky,21,19,13,NW,9.6,91,97,1018,2012-01-10,Trung,Mây
9157,Tam Ky,21,19,14,NW,27.7,92,99,1016,2013-01-10,Trung,Mây
9158,Tam Ky,22,21,9,NE,25.9,90,93,1018,2014-01-10,Trung,Mây
9159,Tam Ky,22,21,11,E,47.1,92,100,1017,2015-01-10,Trung,Mây
9160,Tam Ky,28,22,13,SE,0.5,84,30,1015,2016-01-10,Trung,Gió
9161,Tam Ky,26,22,7,SE,6.4,87,69,1013,2017-01-10,Trung,Mây
9162,Tam Ky,20,18,16,NW,1.4,85,100,1020,2018-01-10,Trung,Mây
9163,Tam Ky,27,21,6,SSE,2.0,87,62,1017,2019-01-10,Trung,Mây
9164,Tam Ky,25,21,6,S,0.0,81,39,1013,2020-01-10,Trung,Lạnh
9165,Tam Ky,19,12,9,WNW,30.8,93,100,1017,2021-01-10,Trung,Mây
9190,Tam Ky,19,17,17,NW,8.8,86,98,1020,2009-01-11,Trung,Mây
9191,Tam Ky,28,22,9,ESE,0.1,81,18,1015,2010-01-11,Trung,Gió
9192,Tam Ky,21,20,13,WNW,13.7,93,100,1013,2011-01-11,Trung,Mây
9193,Tam Ky,21,20,14,NW,48.0,94,100,1018,2012-01-11,Trung,Mây
9194,Tam Ky,22,20,9,NW,11.1,90,96,1016,2013-01-11,Trung,Mây
9195,Tam Ky,23,21,6,S,13.5,90,95,1018,2014-01-11,Trung,Mây
9196,Tam Ky,22,20,10,NW,13.5,93,97,1017,2015-01-11,Trung,Mây
9197,Tam Ky,28,22,6,SE,5.0,85,27,1014,2016-01-11,Trung,Gió
9198,Tam Ky,26,22,10,ESE,5.0,87,79,1013,2017-01-11,Trung,Mây
9199,Tam Ky,19,17,16,NW,4.6,86,100,1020,2018-01-11,Trung,Mây
9200,Tam Ky,27,21,6,SSE,1.7,86,62,1016,2019-01-11,Trung,Mây
9201,Tam Ky,26,21,5,S,0.0,78,29,1012,2020-01-11,Trung,Lạnh
9202,Tam Ky,20,17,24,S,31.1,90,97,1019,2021-01-11,Trung,Mây
9203,Tam Ky,21,18,24,NNE,14.7,87,86,1021,2009-01-09,Trung,Mây
9204,Tam Ky,26,22,7,SSE,3.0,85,72,1014,2010-01-09,Trung,Mây
9205,Tam Ky,22,20,11,ENE,10.2,88,97,1015,2011-01-09,Trung,Mây
9206,Tam Ky,23,20,12,SE,4.8,87,85,1017,2012-01-09,Trung,Mây
9207,Tam Ky,23,21,11,S,29.9,92,99,1014,2013-01-09,Trung,Mây
9208,Tam Ky,24,20,9,S,11.7,87,82,1017,2014-01-09,Trung,Mây
9209,Tam Ky,22,21,14,NE,37.3,90,99,1018,2015-01-09,Trung,Mây
9210,Tam Ky,27,21,13,SE,1.7,83,52,1016,2016-01-09,Trung,Mây
9211,Tam Ky,25,21,4,SSW,4.0,90,71,1012,2017-01-09,Trung,Mây
9212,Tam Ky,22,19,17,WSW,19.7,90,95,1017,2018-01-09,Trung,Mây
9213,Tam Ky,25,22,6,E,10.1,88,52,1017,2019-01-09,Trung,Mây
9214,Tam Ky,26,21,5,ENE,0.4,78,36,1014,2020-01-09,Trung,Lạnh
9215,Tam Ky,20,19,20,NNE,37.1,89,97,1017,2021-01-09,Trung,Mây
9216,Tam Ky,20,18,16,W,8.8,87,94,1022,2009-01-12,Trung,Mây
9217,Tam Ky,22,21,15,NE,30.4,91,92,1018,2010-01-12,Trung,Mây
9218,Tam Ky,19,18,15,NW,14.4,91,93,1014,2011-01-12,Trung,Mây
9219,Tam Ky,21,21,11,SSW,73.4,95,100,1017,2012-01-12,Trung,Mây
9220,Tam Ky,24,20,13,NW,6.0,87,86,1016,2013-01-12,Trung,Mây
9221,Tam Ky,23,21,11,SSE,19.6,88,82,1019,2014-01-12,Trung,Mây
9222,Tam Ky,22,19,19,NW,0.9,87,81,1018,2015-01-12,Trung,Mây
9223,Tam Ky,27,23,9,S,2.8,84,59,1015,2016-01-12,Trung,Mây
9224,Tam Ky,27,22,6,ESE,0.5,89,63,1011,2017-01-12,Trung,Mây
9225,Tam Ky,19,18,13,SE,49.8,89,100,1020,2018-01-12,Trung,Mây
9226,Tam Ky,26,22,6,ESE,3.2,85,63,1016,2019-01-12,Trung,Mây
9227,Tam Ky,25,21,8,SSE,1.2,80,61,1013,2020-01-12,Trung,Lạnh
9228,Tam Ky,18,16,25,NNW,4.8,85,98,1020,2021-01-12,Trung,Mây
9229,Tam Ky,22,20,16,NNE,16.6,89,68,1019,2009-01-08,Trung,Mây
9230,Tam Ky,26,21,7,SSW,4.5,87,54,1015,2010-01-08,Trung,Mây
9231,Tam Ky,21,20,10,NNE,22.4,89,98,1016,2011-01-08,Trung,Mây
9232,Tam Ky,22,20,10,ESE,10.0,88,83,1019,2012-01-08,Trung,Mây
9233,Tam Ky,24,22,10,SE,15.4,92,99,1014,2013-01-08,Trung,Mây
9234,Tam Ky,25,17,6,ESE,0.1,85,23,1015,2014-01-08,Trung,Lạnh
9235,Tam Ky,23,22,15,NE,42.8,90,94,1018,2015-01-08,Trung,Mây
9236,Tam Ky,27,22,9,ESE,2.2,82,58,1017,2016-01-08,Trung,Mây
9237,Tam Ky,26,21,4,SSW,2.5,88,62,1012,2017-01-08,Trung,Mây
9238,Tam Ky,30,23,8,SE,0.0,84,19,1012,2018-01-08,Trung,Nắng
9239,Tam Ky,25,22,6,SSE,5.8,86,63,1017,2019-01-08,Trung,Mây
9240,Tam Ky,26,19,7,E,2.6,85,68,1015,2020-01-08,Trung,Mây
9241,Tam Ky,22,21,19,ENE,26.4,87,89,1016,2021-01-08,Trung,Mây
9242,Tam Ky,21,18,20,NNE,16.0,85,93,1024,2009-01-13,Trung,Mây
9243,Tam Ky,22,21,15,SSE,28.7,90,100,1020,2010-01-13,Trung,Mây
9244,Tam Ky,21,17,12,NW,2.7,90,94,1014,2011-01-13,Trung,Mây
9245,Tam Ky,22,21,9,NW,18.8,95,100,1015,2012-01-13,Trung,Mây
9246,Tam Ky,24,20,13,NNW,3.4,86,79,1015,2013-01-13,Trung,Mây
9247,Tam Ky,21,20,13,NNE,55.6,91,99,1018,2014-01-13,Trung,Mây
9248,Tam Ky,21,18,20,NW,1.7,81,81,1019,2015-01-13,Trung,Mây
9249,Tam Ky,27,22,7,SW,9.4,86,72,1015,2016-01-13,Trung,Mây
9250,Tam Ky,25,22,14,NNW,9.5,92,88,1012,2017-01-13,Trung,Mây
9251,Tam Ky,19,19,11,S,47.8,90,95,1019,2018-01-13,Trung,Mây
9252,Tam Ky,26,22,8,ESE,2.7,82,60,1016,2019-01-13,Trung,Mây
9253,Tam Ky,24,21,8,E,5.4,83,71,1014,2020-01-13,Trung,Mây
9254,Tam Ky,19,15,9,SW,1.0,76,55,1017,2021-01-13,Trung,Lạnh
9267,Tam Ky,20,18,12,NE,22.2,91,95,1021,2009-01-16,Trung,Mây
9268,Tam Ky,23,21,15,NNE,8.7,85,57,1021,2010-01-16,Trung,Mây
9269,Tam Ky,18,17,15,NNW,32.4,92,100,1017,2011-01-16,Trung,Mây
9270,Tam Ky,25,22,9,S,4.1,93,89,1010,2012-01-16,Trung,Mây
9271,Tam Ky,24,19,8,SSW,3.4,82,56,1018,2013-01-16,Trung,Mây
9272,Tam Ky,22,16,12,W,8.0,87,95,1019,2014-01-16,Trung,Mây
9273,Tam Ky,20,16,15,NW,1.4,80,78,1019,2015-01-16,Trung,Lạnh
9274,Tam Ky,27,22,7,S,1.4,90,53,1011,2016-01-16,Trung,Mây
9275,Tam Ky,24,21,6,SSW,5.6,91,93,1015,2017-01-16,Trung,Mây
9276,Tam Ky,25,20,6,ESE,1.5,84,60,1014,2018-01-16,Trung,Mây
9277,Tam Ky,26,22,10,ESE,17.8,86,75,1016,2019-01-16,Trung,Mây
9278,Tam Ky,26,20,8,SSE,0.3,81,40,1014,2020-01-16,Trung,Lạnh
9279,Tam Ky,22,18,8,SSW,1.6,82,68,1014,2021-01-16,Trung,Mây
9280,Tam Ky,24,18,6,SSW,0.3,84,22,1017,2009-01-18,Trung,Lạnh
9281,Tam Ky,22,20,14,NE,19.5,91,98,1019,2010-01-18,Trung,Mây
9282,Tam Ky,22,18,12,NW,7.7,91,94,1015,2011-01-18,Trung,Mây
9283,Tam Ky,26,23,8,ESE,0.5,93,84,1010,2012-01-18,Trung,Mây
9284,Tam Ky,23,18,11,ENE,17.1,84,68,1021,2013-01-18,Trung,Mây
9285,Tam Ky,19,18,14,E,16.5,87,97,1022,2014-01-18,Trung,Mây
9286,Tam Ky,22,19,15,E,18.8,84,75,1019,2015-01-18,Trung,Mây
9287,Tam Ky,27,23,11,W,6.3,88,82,1012,2016-01-18,Trung,Mây
9288,Tam Ky,26,21,7,WSW,1.1,86,65,1018,2017-01-18,Trung,Mây
