,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
22709,Tan An,29,22,9,SE,3.8,84,57,1011,2009-01-02,Nam,Mây
22710,Tan An,31,24,9,ENE,0.3,61,45,1010,2010-01-02,Nam,Nắng
22711,Tan An,32,22,6,ESE,0.0,71,16,1009,2011-01-02,Nam,Nắng
22712,Tan An,31,24,12,ESE,0.0,75,26,1012,2012-01-02,Nam,Nắng
22713,Tan An,33,25,5,ESE,0.0,67,26,1010,2013-01-02,Nam,Nắng
22714,Tan An,30,23,7,SSE,0.0,77,45,1012,2014-01-02,Nam,Nắng
22715,Tan An,29,21,4,SW,0.8,76,51,1013,2015-01-02,Nam,Lạnh
22716,Tan An,34,24,10,SE,0.1,62,23,1014,2016-01-02,Nam,Nắng
22717,Tan An,31,24,11,ENE,5.7,74,30,1011,2017-01-02,Nam,Nắng
22718,Tan An,33,24,7,E,0.0,65,8,1009,2018-01-02,Nam,Nắng
22719,Tan An,25,22,13,ENE,19.9,84,78,1012,2019-01-02,Nam,Mây
22720,Tan An,33,25,9,E,0.0,60,12,1014,2020-01-02,Nam,Nắng
22721,Tan An,28,22,7,WNW,0.0,72,48,1011,2021-01-02,Nam,Gió
22722,Tan An,29,21,5,SSE,0.6,84,41,1011,2009-01-04,Nam,Lạnh
22723,Tan An,35,25,12,ESE,0.2,62,40,1009,2010-01-04,Nam,Nắng
22724,Tan An,28,24,5,ESE,1.1,81,74,1009,2011-01-04,Nam,Mây
22725,Tan An,31,23,8,ESE,0.2,75,30,1012,2012-01-04,Nam,Nắng
22726,Tan An,32,26,4,SSW,1.1,70,53,1009,2013-01-04,Nam,Nắng
22727,Tan An,33,23,8,S,1.8,75,46,1011,2014-01-04,Nam,Nắng
22728,Tan An,32,24,6,S,0.0,71,35,1010,2015-01-04,Nam,Nắng
22729,Tan An,31,24,7,SSE,0.3,73,54,1012,2016-01-04,Nam,Nắng
22730,Tan An,31,24,10,ENE,2.5,73,43,1009,2017-01-04,Nam,Nắng
22731,Tan An,36,24,6,SSE,0.0,70,28,1008,2018-01-04,Nam,Nắng
22732,Tan An,31,25,19,E,0.0,73,27,1013,2019-01-04,Nam,Nắng
22733,Tan An,34,24,7,SE,0.0,67,13,1012,2020-01-04,Nam,Nắng
22734,Tan An,32,23,8,SW,0.3,73,44,1010,2021-01-04,Nam,Nắng
22771,Tan An,28,22,7,S,14.1,90,76,1010,2009-01-01,Nam,Mây
22772,Tan An,34,24,7,E,0.0,61,21,1010,2010-01-01,Nam,Nắng
22773,Tan An,28,23,5,S,0.5,82,43,1008,2011-01-01,Nam,Khác
22774,Tan An,32,24,12,E,0.1,75,29,1012,2012-01-01,Nam,Nắng
22775,Tan An,33,25,5,SSE,0.0,69,21,1010,2013-01-01,Nam,Nắng
22776,Tan An,29,21,7,SSW,0.0,72,36,1012,2014-01-01,Nam,Lạnh
22777,Tan An,30,21,6,WSW,0.4,73,37,1012,2015-01-01,Nam,Nắng
22778,Tan An,32,23,6,ESE,0.1,79,25,1011,2009-01-06,Nam,Nắng
22779,Tan An,34,23,8,ENE,0.0,59,7,1015,2016-01-01,Nam,Nắng
22780,Tan An,32,23,8,ENE,1.6,76,25,1011,2017-01-01,Nam,Nắng
22781,Tan An,33,23,5,SE,0.0,62,21,1010,2018-01-01,Nam,Nắng
22782,Tan An,28,23,15,SSE,2.9,67,52,1013,2019-01-01,Nam,Gió
22783,Tan An,34,24,9,ESE,0.0,56,11,1014,2020-01-01,Nam,Nắng
22784,Tan An,30,22,8,WSW,0.0,68,33,1011,2021-01-01,Nam,Nắng
22785,Tan An,34,25,15,ESE,0.0,59,13,1010,2010-01-06,Nam,Nắng
22786,Tan An,33,24,9,ENE,1.2,73,30,1009,2011-01-06,Nam,Nắng
22787,Tan An,32,23,8,SSW,1.0,75,16,1013,2012-01-06,Nam,Nắng
22788,Tan An,26,22,9,SW,3.8,83,76,1009,2013-01-06,Nam,Mây
22789,Tan An,29,23,8,SE,0.1,75,33,1010,2014-01-06,Nam,Gió
22790,Tan An,33,25,9,E,2.6,73,27,1009,2015-01-06,Nam,Nắng
22791,Tan An,33,25,17,ESE,0.0,68,44,1014,2016-01-06,Nam,Nắng
22792,Tan An,32,24,15,E,0.1,69,27,1008,2017-01-06,Nam,Nắng
22793,Tan An,32,25,13,ESE,0.0,76,19,1009,2018-01-06,Nam,Nắng
22794,Tan An,33,25,15,E,0.0,65,20,1013,2019-01-06,Nam,Nắng
22795,Tan An,33,24,8,SSW,0.0,66,22,1012,2020-01-06,Nam,Nắng
22796,Tan An,29,24,5,SW,0.0,78,39,1009,2021-01-06,Nam,Khác
22797,Tan An,30,22,5,ENE,0.0,79,30,1011,2009-01-05,Nam,Nắng
22798,Tan An,34,25,13,ESE,0.0,59,32,1009,2010-01-05,Nam,Nắng
22799,Tan An,32,24,9,E,0.8,73,57,1008,2011-01-05,Nam,Nắng
22800,Tan An,33,23,6,SE,0.0,76,22,1012,2012-01-05,Nam,Nắng
22801,Tan An,29,22,5,WSW,0.0,71,36,1008,2013-01-05,Nam,Khác
22802,Tan An,30,23,7,SE,0.5,79,45,1010,2014-01-05,Nam,Nắng
22803,Tan An,33,24,7,SSE,0.0,71,55,1010,2015-01-05,Nam,Nắng
22804,Tan An,33,25,11,SE,0.4,69,52,1012,2016-01-05,Nam,Nắng
22805,Tan An,32,24,12,E,0.0,73,19,1009,2017-01-05,Nam,Nắng
22806,Tan An,33,25,9,SE,0.0,73,52,1009,2018-01-05,Nam,Nắng
22807,Tan An,32,25,17,ESE,0.0,71,11,1013,2019-01-05,Nam,Nắng
22808,Tan An,37,25,5,SSE,0.0,65,3,1012,2020-01-05,Nam,Nắng
22809,Tan An,26,24,5,WNW,5.0,84,80,1010,2021-01-05,Nam,Mây
22810,Tan An,32,20,12,E,0.0,68,6,1014,2009-01-09,Nam,Nắng
22811,Tan An,32,24,8,ESE,0.0,66,32,1011,2010-01-09,Nam,Nắng
22812,Tan An,32,23,4,SSE,0.0,72,29,1009,2011-01-09,Nam,Nắng
22813,Tan An,31,23,10,SE,0.2,69,47,1011,2012-01-09,Nam,Nắng
22814,Tan An,33,25,6,SW,5.2,78,48,1009,2013-01-09,Nam,Nắng
22815,Tan An,30,24,12,ESE,0.0,66,40,1011,2014-01-09,Nam,Nắng
22816,Tan An,34,24,8,E,0.0,65,24,1012,2015-01-09,Nam,Nắng
22817,Tan An,33,25,20,ESE,0.0,64,25,1013,2016-01-09,Nam,Nắng
22818,Tan An,33,24,15,ESE,0.0,69,7,1008,2017-01-09,Nam,Nắng
22819,Tan An,33,25,10,ESE,0.0,73,28,1011,2018-01-09,Nam,Nắng
22820,Tan An,34,25,12,E,0.0,63,23,1013,2019-01-09,Nam,Nắng
22821,Tan An,35,25,9,SE,0.0,63,20,1010,2020-01-09,Nam,Nắng
22822,Tan An,31,23,6,E,0.0,67,17,1010,2021-01-09,Nam,Nắng
22823,Tan An,27,18,13,SW,0.0,66,34,1014,2009-01-10,Nam,Lạnh
22824,Tan An,33,25,7,ESE,2.2,65,60,1011,2010-01-10,Nam,Nắng
22825,Tan An,32,22,4,SW,0.0,72,29,1008,2011-01-10,Nam,Nắng
22826,Tan An,30,23,8,ENE,0.0,70,28,1011,2012-01-10,Nam,Nắng
22827,Tan An,32,24,8,SW,7.0,80,45,1010,2013-01-10,Nam,Nắng
22828,Tan An,32,24,8,E,0.0,66,44,1012,2014-01-10,Nam,Nắng
22829,Tan An,33,24,7,ENE,0.0,69,22,1011,2015-01-10,Nam,Nắng
22830,Tan An,33,25,17,ESE,0.0,67,14,1013,2016-01-10,Nam,Nắng
22831,Tan An,32,24,13,ESE,0.1,72,20,1009,2017-01-10,Nam,Nắng
22832,Tan An,34,25,7,ENE,5.8,69,48,1012,2018-01-10,Nam,Nắng
22833,Tan An,33,25,14,E,0.0,62,27,1012,2019-01-10,Nam,Nắng
22834,Tan An,33,24,11,SE,0.0,66,24,1009,2020-01-10,Nam,Nắng
22835,Tan An,32,22,6,WSW,0.0,66,16,1010,2021-01-10,Nam,Nắng
22836,Tan An,27,19,10,WNW,0.0,70,32,1014,2009-01-11,Nam,Lạnh
22837,Tan An,35,25,7,SE,0.5,63,38,1012,2010-01-11,Nam,Nắng
22838,Tan An,33,22,5,SSW,0.0,72,19,1008,2011-01-11,Nam,Nắng
22839,Tan An,28,24,8,ESE,2.2,76,45,1011,2012-01-11,Nam,Gió
22840,Tan An,32,25,9,SSE,0.3,74,25,1010,2013-01-11,Nam,Nắng
22841,Tan An,33,24,7,ESE,0.0,65,36,1013,2014-01-11,Nam,Nắng
22842,Tan An,33,24,7,E,0.4,70,27,1011,2015-01-11,Nam,Nắng
22843,Tan An,33,25,10,ESE,0.2,70,30,1013,2016-01-11,Nam,Nắng
22844,Tan An,31,24,9,ESE,11.5,76,50,1009,2017-01-11,Nam,Nắng
22845,Tan An,36,24,6,SE,0.0,59,20,1012,2018-01-11,Nam,Nắng
22846,Tan An,33,25,11,E,0.0,62,48,1012,2019-01-11,Nam,Nắng
22847,Tan An,34,24,8,S,0.0,68,27,1009,2020-01-11,Nam,Nắng
22848,Tan An,32,22,6,S,0.0,66,26,1011,2021-01-11,Nam,Nắng
22849,Tan An,29,19,5,WSW,0.0,72,43,1015,2009-01-12,Nam,Lạnh
22850,Tan An,34,24,9,E,0.0,64,11,1013,2010-01-12,Nam,Nắng
22851,Tan An,32,23,6,SSE,0.2,74,31,1008,2011-01-12,Nam,Nắng
22852,Tan An,32,23,9,E,3.4,74,38,1010,2012-01-12,Nam,Nắng
22853,Tan An,33,25,7,SSW,0.0,71,10,1011,2013-01-12,Nam,Nắng
22854,Tan An,32,24,5,SE,1.2,73,36,1013,2014-01-12,Nam,Nắng
22855,Tan An,34,24,7,S,0.5,71,28,1012,2015-01-12,Nam,Nắng
22856,Tan An,33,25,15,ESE,0.2,70,17,1012,2016-01-12,Nam,Nắng
22857,Tan An,32,25,9,W,0.0,75,29,1008,2017-01-12,Nam,Nắng
22858,Tan An,33,23,8,E,0.0,57,15,1012,2018-01-12,Nam,Nắng
22859,Tan An,34,25,9,E,0.6,61,41,1012,2019-01-12,Nam,Nắng
22860,Tan An,33,24,8,SSW,0.0,71,35,1010,2020-01-12,Nam,Nắng
22861,Tan An,30,22,8,SSW,0.0,63,11,1012,2021-01-12,Nam,Nắng
22862,Tan An,32,24,6,SSE,6.1,82,32,1012,2009-01-07,Nam,Nắng
22863,Tan An,34,25,14,ESE,0.0,58,11,1012,2010-01-07,Nam,Nắng
22864,Tan An,29,22,8,E,0.4,73,52,1010,2011-01-07,Nam,Gió
22865,Tan An,31,24,11,ESE,0.4,73,48,1012,2012-01-07,Nam,Nắng
22866,Tan An,28,23,9,NNE,11.3,90,71,1009,2013-01-07,Nam,Mây
22867,Tan An,33,22,8,SSE,0.0,68,28,1010,2014-01-07,Nam,Nắng
22868,Tan An,33,24,10,E,0.1,73,23,1010,2015-01-07,Nam,Nắng
22869,Tan An,34,25,16,ESE,0.0,65,34,1014,2016-01-07,Nam,Nắng
22870,Tan An,32,24,18,E,0.2,69,26,1008,2017-01-07,Nam,Nắng
22871,Tan An,33,25,11,ESE,0.0,73,24,1010,2018-01-07,Nam,Nắng
22872,Tan An,34,25,13,E,0.0,60,7,1012,2019-01-07,Nam,Nắng
22873,Tan An,34,24,9,E,0.0,65,42,1011,2020-01-07,Nam,Nắng
22874,Tan An,33,24,5,SSW,0.0,73,24,1009,2021-01-07,Nam,Nắng
22875,Tan An,29,21,10,NE,0.1,64,36,1017,2009-01-13,Nam,Lạnh
