,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
36368,Thai Nguyen,18,9,6,E,0.1,64,25,1025,2009-01-02,Bắc,Lạnh
36369,Thai Nguyen,19,15,7,NE,4.4,91,79,1016,2010-01-02,Bắc,Mây
36370,Thai Nguyen,19,15,6,ENE,4.7,91,93,1016,2011-01-02,Bắc,Mây
36371,Thai Nguyen,17,15,4,ENE,1.0,79,94,1019,2012-01-02,Bắc,Lạnh
36372,Thai Nguyen,18,10,4,E,0.1,71,50,1017,2013-01-02,Bắc,Lạnh
36373,Thai Nguyen,23,12,6,SSE,0.0,70,0,1014,2014-01-02,Bắc,Lạnh
36374,Thai Nguyen,22,13,6,SE,0.0,63,1,1022,2015-01-02,Bắc,Lạnh
36375,Thai Nguyen,23,15,4,SE,0.0,76,55,1022,2016-01-02,Bắc,Lạnh
36376,Thai Nguyen,25,17,4,WSW,0.1,78,89,1020,2017-01-02,Bắc,Lạnh
36377,Thai Nguyen,23,17,4,SE,1.9,84,93,1017,2018-01-02,Bắc,Mây
36378,Thai Nguyen,18,8,5,E,0.0,59,72,1027,2019-01-02,Bắc,Lạnh
36379,Thai Nguyen,22,20,5,SE,0.5,84,92,1022,2020-01-02,Bắc,Mây
36380,Thai Nguyen,19,9,4,SW,0.0,49,5,1021,2021-01-02,Bắc,Lạnh
36381,Thai Nguyen,21,13,5,SE,2.3,92,83,1017,2009-01-05,Bắc,Mây
36382,Thai Nguyen,28,19,6,SSE,1.1,85,39,1010,2010-01-05,Bắc,Lạnh
36383,Thai Nguyen,19,10,5,ENE,0.0,78,65,1018,2011-01-05,Bắc,Lạnh
36384,Thai Nguyen,14,8,5,ESE,1.4,77,79,1023,2012-01-05,Bắc,Lạnh
36385,Thai Nguyen,14,8,8,NE,0.7,74,78,1018,2013-01-05,Bắc,Lạnh
36386,Thai Nguyen,23,13,9,SE,0.0,69,20,1015,2014-01-05,Bắc,Lạnh
36387,Thai Nguyen,25,17,7,SE,0.5,86,72,1010,2015-01-05,Bắc,Mây
36388,Thai Nguyen,27,15,6,SE,0.4,76,25,1015,2016-01-05,Bắc,Lạnh
36389,Thai Nguyen,25,19,5,W,0.8,80,85,1016,2017-01-05,Bắc,Lạnh
36390,Thai Nguyen,23,20,6,SE,3.0,90,98,1013,2018-01-05,Bắc,Mây
36391,Thai Nguyen,25,15,5,ENE,0.1,77,55,1021,2019-01-05,Bắc,Lạnh
36392,Thai Nguyen,22,19,7,SE,4.1,87,95,1017,2020-01-05,Bắc,Mây
36393,Thai Nguyen,20,14,4,SSE,0.0,59,61,1020,2021-01-05,Bắc,Lạnh
36394,Thai Nguyen,18,11,9,NE,0.0,66,33,1025,2009-01-01,Bắc,Lạnh
36395,Thai Nguyen,16,15,7,NE,7.0,93,100,1015,2010-01-01,Bắc,Mây
36396,Thai Nguyen,18,14,5,ESE,1.5,81,68,1016,2011-01-01,Bắc,Mây
36397,Thai Nguyen,20,14,5,ENE,0.0,67,76,1021,2012-01-01,Bắc,Lạnh
36398,Thai Nguyen,18,9,5,E,0.0,50,25,1019,2013-01-01,Bắc,Lạnh
36399,Thai Nguyen,20,8,5,E,0.0,53,0,1018,2014-01-01,Bắc,Lạnh
36400,Thai Nguyen,25,12,7,ENE,0.0,52,1,1024,2015-01-01,Bắc,Lạnh
36401,Thai Nguyen,21,13,4,E,0.0,71,85,1025,2016-01-01,Bắc,Lạnh
36402,Thai Nguyen,18,17,2,SSE,7.7,80,99,1021,2017-01-01,Bắc,Lạnh
36403,Thai Nguyen,19,14,4,E,0.1,76,88,1019,2018-01-01,Bắc,Lạnh
36404,Thai Nguyen,14,9,7,NNE,0.0,60,78,1028,2019-01-01,Bắc,Lạnh
36405,Thai Nguyen,23,19,5,ESE,0.2,73,94,1024,2020-01-01,Bắc,Lạnh
36406,Thai Nguyen,19,8,5,SSE,0.0,42,24,1025,2021-01-01,Bắc,Lạnh
36407,Thai Nguyen,13,11,12,NE,1.3,85,92,1023,2009-01-07,Bắc,Mây
36408,Thai Nguyen,15,13,9,NE,9.8,90,99,1020,2010-01-07,Bắc,Mây
36409,Thai Nguyen,15,8,9,NE,0.0,63,55,1024,2011-01-07,Bắc,Lạnh
36410,Thai Nguyen,19,10,8,E,0.6,75,74,1020,2012-01-07,Bắc,Lạnh
36411,Thai Nguyen,16,8,6,ENE,0.0,65,55,1018,2013-01-07,Bắc,Lạnh
36412,Thai Nguyen,25,19,8,SE,1.0,87,66,1012,2014-01-07,Bắc,Mây
36413,Thai Nguyen,19,15,12,NE,1.6,75,90,1019,2015-01-07,Bắc,Lạnh
36414,Thai Nguyen,26,20,11,SE,1.5,77,74,1019,2016-01-07,Bắc,Lạnh
36415,Thai Nguyen,27,18,4,S,0.0,78,35,1012,2017-01-07,Bắc,Lạnh
36416,Thai Nguyen,23,19,7,SE,2.8,92,100,1011,2018-01-07,Bắc,Mây
36417,Thai Nguyen,23,18,4,ESE,1.2,85,100,1020,2019-01-07,Bắc,Mây
36418,Thai Nguyen,26,20,6,SE,0.3,78,85,1015,2020-01-07,Bắc,Lạnh
36419,Thai Nguyen,15,11,8,NE,0.1,62,99,1020,2021-01-07,Bắc,Lạnh
36420,Thai Nguyen,15,11,10,NNE,0.2,75,75,1027,2009-01-08,Bắc,Lạnh
36421,Thai Nguyen,21,12,8,E,2.6,81,45,1020,2010-01-08,Bắc,Lạnh
36422,Thai Nguyen,19,7,5,E,0.0,65,41,1020,2011-01-08,Bắc,Lạnh
36423,Thai Nguyen,17,11,8,ENE,0.3,74,73,1024,2012-01-08,Bắc,Lạnh
36424,Thai Nguyen,15,11,8,NE,0.4,71,69,1018,2013-01-08,Bắc,Lạnh
36425,Thai Nguyen,21,15,11,ENE,3.0,79,77,1017,2014-01-08,Bắc,Lạnh
36426,Thai Nguyen,18,14,7,ENE,2.5,71,96,1024,2015-01-08,Bắc,Lạnh
36427,Thai Nguyen,23,19,11,ESE,5.2,83,95,1018,2016-01-08,Bắc,Mây
36428,Thai Nguyen,27,18,5,SE,0.0,79,39,1013,2017-01-08,Bắc,Lạnh
36429,Thai Nguyen,22,10,15,ENE,13.7,84,98,1015,2018-01-08,Bắc,Mây
36430,Thai Nguyen,17,13,7,ENE,6.5,86,100,1019,2019-01-08,Bắc,Mây
36431,Thai Nguyen,26,20,7,SE,0.1,78,79,1016,2020-01-08,Bắc,Lạnh
36432,Thai Nguyen,8,6,10,NNE,0.0,55,90,1026,2021-01-08,Bắc,Lạnh
36457,Thai Nguyen,21,7,7,ENE,0.0,50,5,1028,2009-01-10,Bắc,Lạnh
36458,Thai Nguyen,23,14,7,ENE,1.3,89,65,1014,2010-01-10,Bắc,Mây
36459,Thai Nguyen,17,8,9,NE,0.0,55,49,1020,2011-01-10,Bắc,Lạnh
36460,Thai Nguyen,22,11,5,ESE,0.3,71,23,1022,2012-01-10,Bắc,Lạnh
36461,Thai Nguyen,15,11,7,NE,0.0,55,59,1021,2013-01-10,Bắc,Lạnh
36462,Thai Nguyen,19,12,5,E,0.7,73,75,1021,2014-01-10,Bắc,Lạnh
36463,Thai Nguyen,12,11,9,S,11.0,86,91,1025,2015-01-10,Bắc,Mây
36464,Thai Nguyen,27,19,8,ESE,6.8,82,47,1014,2016-01-10,Bắc,Lạnh
36465,Thai Nguyen,21,20,7,ESE,21.7,92,99,1015,2017-01-10,Bắc,Mây
36466,Thai Nguyen,15,12,5,E,0.0,51,79,1028,2018-01-10,Bắc,Lạnh
36467,Thai Nguyen,19,14,4,ENE,4.7,89,100,1019,2019-01-10,Bắc,Mây
36468,Thai Nguyen,25,20,8,SSE,1.4,81,71,1013,2020-01-10,Bắc,Mây
36469,Thai Nguyen,15,8,7,NE,0.0,30,44,1023,2021-01-10,Bắc,Lạnh
36470,Thai Nguyen,18,11,10,ENE,0.0,58,17,1029,2009-01-09,Bắc,Lạnh
36471,Thai Nguyen,21,14,7,SE,0.7,91,88,1014,2010-01-09,Bắc,Mây
36472,Thai Nguyen,15,11,10,NE,0.1,63,62,1022,2011-01-09,Bắc,Lạnh
36473,Thai Nguyen,18,11,9,ENE,0.8,71,65,1022,2012-01-09,Bắc,Lạnh
36474,Thai Nguyen,15,11,10,NE,0.3,59,57,1021,2013-01-09,Bắc,Lạnh
36475,Thai Nguyen,16,13,10,NE,0.6,65,88,1022,2014-01-09,Bắc,Lạnh
36476,Thai Nguyen,14,12,9,NNE,3.8,77,97,1025,2015-01-09,Bắc,Lạnh
36477,Thai Nguyen,25,19,13,ESE,13.3,85,85,1015,2016-01-09,Bắc,Mây
36478,Thai Nguyen,26,20,8,ESE,1.9,82,97,1014,2017-01-09,Bắc,Mây
36479,Thai Nguyen,16,9,10,NE,3.0,61,69,1025,2018-01-09,Bắc,Lạnh
36480,Thai Nguyen,14,12,5,NE,16.3,89,100,1021,2019-01-09,Bắc,Mây
36481,Thai Nguyen,26,21,7,SE,1.5,80,84,1014,2020-01-09,Bắc,Lạnh
36482,Thai Nguyen,13,8,7,ENE,0.0,35,65,1024,2021-01-09,Bắc,Lạnh
36483,Thai Nguyen,23,13,5,S,0.1,81,36,1018,2009-01-04,Bắc,Lạnh
36484,Thai Nguyen,24,16,7,SE,2.3,93,81,1011,2010-01-04,Bắc,Mây
36485,Thai Nguyen,16,10,8,NE,0.9,81,82,1019,2011-01-04,Bắc,Mây
36486,Thai Nguyen,9,8,13,NE,5.6,80,92,1025,2012-01-04,Bắc,Lạnh
36487,Thai Nguyen,11,8,9,NE,1.2,75,93,1021,2013-01-04,Bắc,Lạnh
36488,Thai Nguyen,24,15,6,ENE,0.0,59,24,1019,2014-01-04,Bắc,Lạnh
36489,Thai Nguyen,21,16,7,SE,0.7,85,67,1013,2015-01-04,Bắc,Mây
36490,Thai Nguyen,19,14,7,ESE,0.5,78,69,1017,2016-01-04,Bắc,Lạnh
36491,Thai Nguyen,26,19,5,S,0.0,75,35,1017,2017-01-04,Bắc,Lạnh
36492,Thai Nguyen,23,19,3,SE,2.8,91,100,1015,2018-01-04,Bắc,Mây
36493,Thai Nguyen,19,14,4,E,0.3,80,86,1023,2019-01-04,Bắc,Lạnh
36494,Thai Nguyen,23,19,8,SE,0.6,84,86,1018,2020-01-04,Bắc,Mây
36495,Thai Nguyen,21,13,5,S,0.0,55,29,1021,2021-01-04,Bắc,Lạnh
36496,Thai Nguyen,22,15,6,E,2.7,88,64,1019,2009-01-06,Bắc,Mây
36497,Thai Nguyen,17,15,10,NE,5.9,87,96,1017,2010-01-06,Bắc,Mây
36498,Thai Nguyen,17,10,12,NE,0.8,71,60,1023,2011-01-06,Bắc,Lạnh
36499,Thai Nguyen,15,10,7,NE,0.2,78,75,1023,2012-01-06,Bắc,Lạnh
36500,Thai Nguyen,15,9,8,NE,0.3,63,57,1020,2013-01-06,Bắc,Lạnh
36501,Thai Nguyen,21,16,10,SSE,0.9,87,78,1013,2014-01-06,Bắc,Mây
36502,Thai Nguyen,24,21,6,ESE,2.4,90,79,1013,2015-01-06,Bắc,Mây
36503,Thai Nguyen,25,19,7,SE,0.3,83,68,1017,2016-01-06,Bắc,Mây
36504,Thai Nguyen,24,19,4,NW,2.9,83,64,1014,2017-01-06,Bắc,Mây
36505,Thai Nguyen,21,19,6,SE,8.8,90,100,1012,2018-01-06,Bắc,Mây
36506,Thai Nguyen,21,17,5,E,0.4,77,100,1020,2019-01-06,Bắc,Lạnh
36507,Thai Nguyen,25,20,8,SE,0.6,78,93,1016,2020-01-06,Bắc,Lạnh
36508,Thai Nguyen,20,16,5,ENE,0.0,55,90,1019,2021-01-06,Bắc,Lạnh
36509,Thai Nguyen,21,6,7,NNE,0.0,45,7,1029,2009-01-14,Bắc,Lạnh
36510,Thai Nguyen,18,10,5,SE,0.0,68,33,1025,2010-01-14,Bắc,Lạnh
36511,Thai Nguyen,21,9,4,ESE,0.3,76,63,1017,2011-01-14,Bắc,Lạnh
36512,Thai Nguyen,20,16,2,SSE,8.9,89,96,1013,2012-01-14,Bắc,Mây
36513,Thai Nguyen,20,11,6,E,0.2,72,43,1017,2013-01-14,Bắc,Lạnh
36514,Thai Nguyen,20,7,7,NNE,0.0,58,1,1025,2014-01-14,Bắc,Lạnh
36515,Thai Nguyen,23,10,4,ESE,0.0,61,0,1023,2015-01-14,Bắc,Lạnh
36516,Thai Nguyen,19,16,7,ENE,4.4,85,100,1016,2016-01-14,Bắc,Mây
36517,Thai Nguyen,20,13,7,NE,0.0,71,85,1018,2017-01-14,Bắc,Lạnh
36518,Thai Nguyen,21,14,6,WSW,0.0,62,81,1021,2018-01-14,Bắc,Lạnh
36519,Thai Nguyen,23,20,6,ESE,1.7,88,83,1016,2019-01-14,Bắc,Mây
