,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
63638,Tra Vinh,24,22,8,ESE,15.2,91,78,1011,2009-01-03,Nam,Mây
63639,Tra Vinh,28,26,19,E,0.5,72,48,1010,2010-01-03,Nam,Gió
63640,Tra Vinh,31,23,13,E,0.2,77,28,1009,2011-01-03,Nam,Nắng
63641,Tra Vinh,28,23,21,E,0.1,77,18,1012,2012-01-03,Nam,Gió
63642,Tra Vinh,31,25,17,ENE,0.2,76,25,1011,2013-01-03,Nam,Nắng
63643,Tra Vinh,30,22,10,ENE,0.0,79,16,1012,2014-01-03,Nam,Nắng
63644,Tra Vinh,30,22,7,S,0.3,73,36,1012,2015-01-03,Nam,Nắng
63645,Tra Vinh,32,25,15,E,2.3,74,44,1014,2016-01-03,Nam,Nắng
63646,Tra Vinh,30,25,23,E,0.0,71,31,1010,2017-01-03,Nam,Nắng
63647,Tra Vinh,32,24,9,E,0.0,76,19,1009,2018-01-03,Nam,Nắng
63648,Tra Vinh,27,23,24,ENE,14.8,89,91,1012,2019-01-03,Nam,Mây
63649,Tra Vinh,31,25,20,ENE,0.0,64,9,1013,2020-01-03,Nam,Nắng
63650,Tra Vinh,27,23,7,SE,0.0,79,47,1010,2021-01-03,Nam,Gió
63675,Tra Vinh,28,22,13,NNE,0.3,85,51,1011,2009-01-02,Nam,Mây
63676,Tra Vinh,29,25,19,ENE,0.9,68,49,1010,2010-01-02,Nam,Gió
63677,Tra Vinh,30,23,17,E,0.0,73,14,1009,2011-01-02,Nam,Nắng
63678,Tra Vinh,28,24,26,E,0.0,79,26,1012,2012-01-02,Nam,Gió
63679,Tra Vinh,31,25,17,E,0.0,73,27,1010,2013-01-02,Nam,Nắng
63680,Tra Vinh,28,23,13,E,0.0,80,44,1012,2014-01-02,Nam,Gió
63681,Tra Vinh,27,22,5,SE,0.7,81,51,1013,2015-01-02,Nam,Mây
63682,Tra Vinh,33,24,14,SE,0.4,68,31,1014,2016-01-02,Nam,Nắng
63683,Tra Vinh,30,24,23,ENE,0.2,75,18,1010,2017-01-02,Nam,Nắng
63684,Tra Vinh,30,23,11,ENE,0.0,72,10,1009,2018-01-02,Nam,Nắng
63685,Tra Vinh,23,22,20,ENE,24.5,91,89,1011,2019-01-02,Nam,Mây
63686,Tra Vinh,31,24,18,ENE,0.0,67,9,1014,2020-01-02,Nam,Nắng
63687,Tra Vinh,27,22,6,SW,0.4,79,61,1010,2021-01-02,Nam,Gió
63712,Tra Vinh,29,22,8,SE,0.0,82,29,1010,2009-01-05,Nam,Gió
63713,Tra Vinh,32,25,19,E,0.1,69,25,1009,2010-01-05,Nam,Nắng
63714,Tra Vinh,29,24,23,E,0.6,77,63,1008,2011-01-05,Nam,Gió
63715,Tra Vinh,30,23,14,E,0.0,80,10,1012,2012-01-05,Nam,Nắng
63716,Tra Vinh,29,23,5,WSW,0.2,73,34,1008,2013-01-05,Nam,Khác
63717,Tra Vinh,28,23,16,E,0.3,81,58,1010,2014-01-05,Nam,Mây
63718,Tra Vinh,31,24,14,ENE,3.9,76,45,1010,2015-01-05,Nam,Nắng
63719,Tra Vinh,31,25,16,ESE,0.5,76,36,1012,2016-01-05,Nam,Nắng
63720,Tra Vinh,30,24,24,E,0.0,76,14,1009,2017-01-05,Nam,Nắng
63721,Tra Vinh,30,24,10,ESE,0.1,80,46,1009,2018-01-05,Nam,Nắng
63722,Tra Vinh,30,25,20,E,0.3,81,47,1013,2019-01-05,Nam,Nắng
63723,Tra Vinh,30,22,12,E,0.0,71,7,1011,2020-01-05,Nam,Nắng
63724,Tra Vinh,25,24,7,S,3.1,92,87,1010,2021-01-05,Nam,Mây
63725,Tra Vinh,30,24,11,SSE,3.1,83,34,1012,2009-01-07,Nam,Nắng
63726,Tra Vinh,31,25,22,E,0.0,67,7,1012,2010-01-07,Nam,Nắng
63727,Tra Vinh,28,24,22,ENE,0.2,73,42,1010,2011-01-07,Nam,Gió
63728,Tra Vinh,30,23,18,E,0.2,78,53,1012,2012-01-07,Nam,Nắng
63729,Tra Vinh,27,24,13,ENE,4.4,89,58,1009,2013-01-07,Nam,Mây
63730,Tra Vinh,30,23,12,ENE,0.1,74,37,1010,2014-01-07,Nam,Nắng
63731,Tra Vinh,31,24,21,E,0.0,77,32,1010,2015-01-07,Nam,Nắng
63732,Tra Vinh,31,25,23,E,0.0,74,22,1014,2016-01-07,Nam,Nắng
63733,Tra Vinh,30,25,26,E,0.0,76,28,1007,2017-01-07,Nam,Nắng
63734,Tra Vinh,31,25,11,E,0.7,81,44,1010,2018-01-07,Nam,Nắng
63735,Tra Vinh,30,25,21,E,0.0,73,3,1012,2019-01-07,Nam,Nắng
63736,Tra Vinh,32,24,16,E,0.0,71,25,1011,2020-01-07,Nam,Nắng
63737,Tra Vinh,30,24,14,E,0.0,73,25,1009,2021-01-07,Nam,Nắng
63738,Tra Vinh,27,21,7,E,0.5,87,30,1011,2009-01-04,Nam,Lạnh
63739,Tra Vinh,32,25,20,E,0.0,67,40,1009,2010-01-04,Nam,Nắng
63740,Tra Vinh,30,24,15,ENE,1.5,80,58,1009,2011-01-04,Nam,Nắng
63741,Tra Vinh,28,23,20,E,0.0,78,10,1012,2012-01-04,Nam,Gió
63742,Tra Vinh,31,25,13,E,0.9,75,34,1009,2013-01-04,Nam,Nắng
63743,Tra Vinh,31,23,14,E,3.6,80,41,1011,2014-01-04,Nam,Nắng
63744,Tra Vinh,30,24,11,ENE,0.3,76,43,1010,2015-01-04,Nam,Nắng
63745,Tra Vinh,30,24,13,E,0.4,76,46,1012,2016-01-04,Nam,Nắng
63746,Tra Vinh,30,24,21,ENE,0.1,73,43,1009,2017-01-04,Nam,Nắng
63747,Tra Vinh,34,24,5,S,0.0,78,30,1008,2018-01-04,Nam,Nắng
63748,Tra Vinh,29,25,24,E,4.9,84,71,1013,2019-01-04,Nam,Mây
63749,Tra Vinh,31,21,15,E,0.0,67,9,1012,2020-01-04,Nam,Nắng
63750,Tra Vinh,31,22,11,ESE,0.1,79,47,1010,2021-01-04,Nam,Nắng
63751,Tra Vinh,27,23,14,NE,13.1,89,61,1010,2009-01-01,Nam,Mây
63752,Tra Vinh,31,24,17,ENE,0.0,64,21,1010,2010-01-01,Nam,Nắng
63753,Tra Vinh,28,24,13,E,0.0,76,40,1008,2011-01-01,Nam,Gió
63754,Tra Vinh,29,24,28,E,0.2,80,39,1012,2012-01-01,Nam,Gió
63755,Tra Vinh,30,25,17,ENE,0.0,72,19,1010,2013-01-01,Nam,Nắng
63756,Tra Vinh,28,22,12,E,0.0,77,46,1012,2014-01-01,Nam,Gió
63757,Tra Vinh,29,23,10,ENE,0.7,77,34,1012,2015-01-01,Nam,Gió
63758,Tra Vinh,31,23,18,ENE,0.0,65,7,1015,2016-01-01,Nam,Nắng
63759,Tra Vinh,30,24,19,ENE,3.6,77,26,1011,2017-01-01,Nam,Nắng
63760,Tra Vinh,29,23,14,ENE,0.0,69,27,1010,2018-01-01,Nam,Gió
63761,Tra Vinh,26,22,14,SSW,7.9,79,55,1013,2019-01-01,Nam,Gió
63762,Tra Vinh,32,23,18,ENE,0.0,61,8,1014,2020-01-01,Nam,Nắng
