,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
77297,Tuy Hoa,24,24,29,NE,35.5,89,99,1013,2009-01-01,Trung,Mây
77298,Tuy Hoa,27,23,12,NNE,0.3,84,19,1013,2010-01-01,Trung,Gió
77299,Tuy Hoa,25,21,18,NNE,1.8,83,54,1012,2011-01-01,Trung,Mây
77300,Tuy Hoa,23,22,18,NNE,21.0,95,90,1016,2012-01-01,Trung,Mây
77301,Tuy Hoa,24,22,20,SE,3.6,87,87,1014,2013-01-01,Trung,Mây
77302,Tuy Hoa,22,19,19,NE,0.4,84,70,1016,2014-01-01,Trung,Mây
77303,Tuy Hoa,23,20,27,E,2.2,82,65,1016,2015-01-01,Trung,Mây
77304,Tuy Hoa,25,22,26,NNE,11.1,84,84,1019,2016-01-01,Trung,Mây
77305,Tuy Hoa,25,24,22,NNE,5.8,92,97,1015,2017-01-01,Trung,Mây
77306,Tuy Hoa,25,22,23,NNE,1.8,82,69,1014,2018-01-01,Trung,Mây
77307,Tuy Hoa,25,24,30,NNE,62.8,89,100,1016,2019-01-01,Trung,Mây
77308,Tuy Hoa,25,23,18,NE,12.8,89,72,1018,2020-01-01,Trung,Mây
77309,Tuy Hoa,21,14,30,NNE,9.2,91,100,1015,2021-01-01,Trung,Mây
77322,Tuy Hoa,24,22,19,NNE,12.8,88,89,1014,2009-01-04,Trung,Mây
77323,Tuy Hoa,27,22,10,SSE,0.0,84,18,1012,2010-01-04,Trung,Gió
77324,Tuy Hoa,24,23,15,NNE,14.0,91,82,1013,2011-01-04,Trung,Mây
77325,Tuy Hoa,24,20,16,S,1.2,89,75,1016,2012-01-04,Trung,Mây
77326,Tuy Hoa,25,23,22,NNE,7.8,86,75,1013,2013-01-04,Trung,Mây
77327,Tuy Hoa,24,21,21,SE,0.3,83,76,1014,2014-01-04,Trung,Mây
77328,Tuy Hoa,25,23,14,NNE,5.7,89,90,1013,2015-01-04,Trung,Mây
77329,Tuy Hoa,24,22,17,E,2.0,89,69,1014,2016-01-04,Trung,Mây
77330,Tuy Hoa,25,23,17,N,5.0,90,98,1013,2017-01-04,Trung,Mây
77331,Tuy Hoa,24,23,17,NNW,21.9,92,98,1010,2018-01-04,Trung,Mây
77332,Tuy Hoa,25,24,11,NNE,32.1,90,85,1017,2019-01-04,Trung,Mây
77333,Tuy Hoa,24,19,18,NNE,4.5,86,77,1016,2020-01-04,Trung,Mây
77334,Tuy Hoa,24,18,21,NNE,19.4,92,95,1013,2021-01-04,Trung,Mây
77335,Tuy Hoa,24,23,17,NNE,13.5,90,85,1013,2009-01-05,Trung,Mây
77336,Tuy Hoa,27,22,5,ESE,0.0,83,7,1012,2010-01-05,Trung,Khác
77337,Tuy Hoa,25,23,17,NE,5.2,89,77,1012,2011-01-05,Trung,Mây
77338,Tuy Hoa,24,22,17,N,4.8,91,83,1016,2012-01-05,Trung,Mây
