,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
90968,Uong Bi,21,14,10,ENE,0.3,81,41,1018,2009-01-04,Bắc,Lạnh
90969,Uong Bi,24,18,10,SE,1.3,90,68,1011,2010-01-04,Bắc,Mây
90970,Uong Bi,16,11,11,NE,1.5,81,88,1019,2011-01-04,Bắc,Mây
90971,Uong Bi,10,9,13,ESE,5.0,84,91,1024,2012-01-04,Bắc,Mây
90972,Uong Bi,12,10,12,NNE,0.8,83,77,1021,2013-01-04,Bắc,Mây
90973,Uong Bi,22,15,8,ENE,0.0,71,12,1018,2014-01-04,Bắc,Lạnh
90974,Uong Bi,20,16,10,ESE,1.0,88,72,1014,2015-01-04,Bắc,Mây
90975,Uong Bi,19,15,10,ENE,0.2,82,61,1017,2016-01-04,Bắc,Mây
90976,Uong Bi,25,17,9,ENE,0.0,78,19,1016,2017-01-04,Bắc,Lạnh
90977,Uong Bi,22,19,8,E,2.2,91,95,1015,2018-01-04,Bắc,Mây
90978,Uong Bi,16,14,5,ESE,2.9,91,100,1023,2019-01-04,Bắc,Mây
90979,Uong Bi,23,18,9,E,1.3,83,77,1018,2020-01-04,Bắc,Mây
90980,Uong Bi,20,11,5,ESE,0.0,48,66,1020,2021-01-04,Bắc,Lạnh
90981,Uong Bi,22,17,14,ENE,0.7,84,24,1018,2009-01-06,Bắc,Lạnh
90982,Uong Bi,16,15,15,NE,11.3,89,92,1017,2010-01-06,Bắc,Mây
90983,Uong Bi,16,11,11,NNE,1.0,70,80,1022,2011-01-06,Bắc,Lạnh
90984,Uong Bi,15,11,9,E,0.3,76,93,1023,2012-01-06,Bắc,Lạnh
90985,Uong Bi,16,10,9,ENE,0.1,67,53,1020,2013-01-06,Bắc,Lạnh
90986,Uong Bi,20,18,12,SE,4.1,93,77,1013,2014-01-06,Bắc,Mây
90987,Uong Bi,21,19,10,E,1.9,94,78,1013,2015-01-06,Bắc,Mây
90988,Uong Bi,24,17,7,E,0.0,86,16,1017,2016-01-06,Bắc,Lạnh
90989,Uong Bi,25,18,6,SE,0.0,83,36,1014,2017-01-06,Bắc,Lạnh
90990,Uong Bi,20,18,9,ENE,0.4,87,97,1012,2018-01-06,Bắc,Mây
90991,Uong Bi,21,17,6,ENE,1.0,82,100,1021,2019-01-06,Bắc,Mây
90992,Uong Bi,25,18,8,ESE,0.6,78,44,1016,2020-01-06,Bắc,Lạnh
90993,Uong Bi,19,14,6,ENE,0.0,55,96,1019,2021-01-06,Bắc,Lạnh
90994,Uong Bi,17,11,14,NNE,0.0,67,35,1025,2009-01-01,Bắc,Lạnh
90995,Uong Bi,19,17,14,ENE,2.4,92,96,1015,2010-01-01,Bắc,Mây
90996,Uong Bi,19,16,17,ENE,1.4,80,71,1015,2011-01-01,Bắc,Lạnh
90997,Uong Bi,20,15,9,NE,0.0,67,86,1021,2012-01-01,Bắc,Lạnh
90998,Uong Bi,17,11,7,ENE,0.0,55,29,1019,2013-01-01,Bắc,Lạnh
90999,Uong Bi,19,12,6,SSE,0.0,58,0,1018,2014-01-01,Bắc,Lạnh
91000,Uong Bi,21,14,11,ENE,0.0,55,0,1023,2015-01-01,Bắc,Lạnh
91001,Uong Bi,21,13,7,ENE,0.1,76,48,1025,2016-01-01,Bắc,Lạnh
91002,Uong Bi,20,16,6,ESE,4.9,79,87,1021,2017-01-01,Bắc,Lạnh
91003,Uong Bi,20,15,7,ENE,0.0,79,73,1019,2018-01-01,Bắc,Lạnh
91004,Uong Bi,14,9,6,S,0.0,68,92,1028,2019-01-01,Bắc,Lạnh
91005,Uong Bi,21,15,8,ENE,0.0,79,92,1023,2020-01-01,Bắc,Lạnh
91006,Uong Bi,19,8,5,E,0.0,39,12,1024,2021-01-01,Bắc,Lạnh
91007,Uong Bi,17,11,14,NE,0.0,57,19,1024,2009-01-02,Bắc,Lạnh
91008,Uong Bi,17,17,11,NNE,4.1,92,91,1016,2010-01-02,Bắc,Mây
91009,Uong Bi,20,16,17,E,4.1,91,92,1016,2011-01-02,Bắc,Mây
91010,Uong Bi,17,15,11,NE,1.8,79,90,1019,2012-01-02,Bắc,Lạnh
91011,Uong Bi,18,14,10,NE,0.8,75,71,1017,2013-01-02,Bắc,Lạnh
91012,Uong Bi,20,15,7,SSE,0.0,75,5,1014,2014-01-02,Bắc,Lạnh
91013,Uong Bi,20,15,12,E,0.0,65,0,1022,2015-01-02,Bắc,Lạnh
