,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
104611,Viet Tri,18,12,6,NE,0.1,70,41,1025,2009-01-01,Bắc,Lạnh
104612,Viet Tri,15,11,5,ESE,0.2,69,32,1025,2009-01-02,Bắc,Lạnh
104617,Viet Tri,17,16,5,NE,6.2,92,100,1015,2010-01-01,Bắc,Mây
104618,Viet Tri,18,15,4,E,1.1,87,82,1015,2011-01-01,Bắc,Mây
104619,Viet Tri,19,14,4,ENE,0.3,70,71,1021,2012-01-01,Bắc,Lạnh
104620,Viet Tri,18,10,3,E,0.0,46,26,1019,2013-01-01,Bắc,Lạnh
104621,Viet Tri,21,8,4,E,0.0,56,0,1018,2014-01-01,Bắc,Lạnh
104622,Viet Tri,26,13,5,ESE,0.0,57,1,1023,2015-01-01,Bắc,Lạnh
104623,Viet Tri,20,14,5,ESE,0.0,71,70,1025,2016-01-01,Bắc,Lạnh
104624,Viet Tri,18,15,2,SSW,4.5,78,100,1021,2017-01-01,Bắc,Lạnh
104625,Viet Tri,19,15,5,SE,0.2,78,84,1018,2018-01-01,Bắc,Lạnh
104626,Viet Tri,15,9,6,E,0.0,61,62,1028,2019-01-01,Bắc,Lạnh
104627,Viet Tri,23,20,8,SE,0.0,74,89,1024,2020-01-01,Bắc,Lạnh
104628,Viet Tri,19,10,4,SE,0.0,37,19,1025,2021-01-01,Bắc,Lạnh
104629,Viet Tri,19,16,5,NE,3.7,92,82,1016,2010-01-02,Bắc,Mây
104630,Viet Tri,22,16,5,SE,2.5,90,90,1015,2011-01-02,Bắc,Mây
104631,Viet Tri,16,14,4,E,1.6,80,92,1019,2012-01-02,Bắc,Lạnh
104632,Viet Tri,20,10,4,E,0.0,66,56,1017,2013-01-02,Bắc,Lạnh
104633,Viet Tri,25,13,5,SE,0.0,66,0,1014,2014-01-02,Bắc,Lạnh
104634,Viet Tri,22,14,6,SSE,0.0,63,6,1022,2015-01-02,Bắc,Lạnh
104635,Viet Tri,22,16,4,SSE,0.0,77,63,1022,2016-01-02,Bắc,Lạnh
104636,Viet Tri,24,16,4,SW,0.0,79,89,1020,2017-01-02,Bắc,Lạnh
104637,Viet Tri,20,16,5,ESE,3.3,88,97,1017,2018-01-02,Bắc,Mây
104638,Viet Tri,18,9,5,SSE,0.0,59,78,1027,2019-01-02,Bắc,Lạnh
104639,Viet Tri,24,20,9,ESE,0.4,81,89,1022,2020-01-02,Bắc,Mây
104640,Viet Tri,21,11,6,SSE,0.0,46,5,1021,2021-01-02,Bắc,Lạnh
104653,Viet Tri,19,11,5,ESE,0.2,73,30,1022,2009-01-03,Bắc,Lạnh
104654,Viet Tri,19,15,4,ESE,1.5,90,77,1016,2010-01-03,Bắc,Mây
104655,Viet Tri,16,13,7,ENE,1.3,88,93,1017,2011-01-03,Bắc,Mây
104656,Viet Tri,20,14,6,ENE,2.9,84,96,1018,2012-01-03,Bắc,Mây
104657,Viet Tri,14,12,6,NE,3.3,78,92,1022,2013-01-03,Bắc,Lạnh
104658,Viet Tri,23,13,5,ENE,0.0,77,30,1016,2014-01-03,Bắc,Lạnh
104659,Viet Tri,21,12,6,SE,0.0,73,27,1019,2015-01-03,Bắc,Lạnh
104660,Viet Tri,24,15,6,ESE,0.0,81,34,1018,2016-01-03,Bắc,Lạnh
104661,Viet Tri,25,19,3,SSW,0.6,80,74,1019,2017-01-03,Bắc,Lạnh
104662,Viet Tri,20,16,5,SE,1.7,89,97,1017,2018-01-03,Bắc,Mây
104663,Viet Tri,18,11,6,SE,0.0,63,79,1024,2019-01-03,Bắc,Lạnh
104664,Viet Tri,25,20,14,SE,0.8,78,81,1020,2020-01-03,Bắc,Lạnh
104665,Viet Tri,18,12,6,SSE,0.0,61,48,1021,2021-01-03,Bắc,Lạnh
104666,Viet Tri,22,13,4,SSE,0.1,82,40,1018,2009-01-04,Bắc,Lạnh
104667,Viet Tri,25,17,7,SE,1.1,90,82,1011,2010-01-04,Bắc,Mây
104668,Viet Tri,17,12,5,ENE,0.5,82,81,1019,2011-01-04,Bắc,Mây
104669,Viet Tri,10,9,8,NE,5.6,79,95,1024,2012-01-04,Bắc,Lạnh
104670,Viet Tri,12,10,6,NE,0.6,75,93,1020,2013-01-04,Bắc,Lạnh
104671,Viet Tri,22,15,3,SE,0.0,64,36,1019,2014-01-04,Bắc,Lạnh
104672,Viet Tri,23,15,7,SE,1.2,82,60,1013,2015-01-04,Bắc,Mây
104673,Viet Tri,20,14,5,ESE,0.5,81,74,1017,2016-01-04,Bắc,Mây
104674,Viet Tri,25,18,5,SE,0.0,76,43,1017,2017-01-04,Bắc,Lạnh
104675,Viet Tri,21,17,5,SE,3.6,91,99,1015,2018-01-04,Bắc,Mây
104676,Viet Tri,18,12,5,SE,0.0,75,57,1022,2019-01-04,Bắc,Lạnh
104677,Viet Tri,25,21,15,ESE,2.4,79,84,1018,2020-01-04,Bắc,Lạnh
104678,Viet Tri,22,15,7,SW,0.0,52,45,1021,2021-01-04,Bắc,Lạnh
104679,Viet Tri,23,16,5,ESE,2.2,87,66,1018,2009-01-06,Bắc,Mây
104680,Viet Tri,17,16,7,ENE,4.9,89,91,1016,2010-01-06,Bắc,Mây
104681,Viet Tri,16,11,7,NE,0.8,74,71,1022,2011-01-06,Bắc,Lạnh
104682,Viet Tri,15,9,5,ESE,0.1,78,68,1022,2012-01-06,Bắc,Lạnh
104683,Viet Tri,15,8,5,NE,0.5,67,50,1019,2013-01-06,Bắc,Lạnh
104684,Viet Tri,24,15,7,SE,0.4,82,58,1013,2014-01-06,Bắc,Mây
104685,Viet Tri,25,20,6,SE,1.9,85,76,1013,2015-01-06,Bắc,Mây
104686,Viet Tri,26,20,7,SE,0.6,82,58,1017,2016-01-06,Bắc,Mây
104687,Viet Tri,22,18,5,NW,3.5,83,58,1015,2017-01-06,Bắc,Mây
104688,Viet Tri,21,19,9,SE,5.5,90,100,1011,2018-01-06,Bắc,Mây
104689,Viet Tri,22,17,7,ESE,1.2,79,96,1020,2019-01-06,Bắc,Lạnh
104690,Viet Tri,26,20,13,SE,0.5,75,73,1016,2020-01-06,Bắc,Lạnh
104691,Viet Tri,21,17,8,ESE,0.0,51,86,1019,2021-01-06,Bắc,Lạnh
104692,Viet Tri,14,13,9,NE,2.8,88,98,1023,2009-01-07,Bắc,Mây
104693,Viet Tri,15,14,7,E,16.4,91,97,1019,2010-01-07,Bắc,Mây
