,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
131897,Vinh Long,29,21,15,NE,1.1,84,50,1011,2009-01-02,Nam,Lạnh
131898,Vinh Long,30,24,12,ENE,0.3,64,45,1010,2010-01-02,Nam,Nắng
131899,Vinh Long,31,22,9,E,0.0,73,22,1009,2011-01-02,Nam,Nắng
131900,Vinh Long,30,23,15,ESE,0.0,78,29,1012,2012-01-02,Nam,Nắng
131901,Vinh Long,33,24,6,ESE,0.0,71,29,1010,2013-01-02,Nam,Nắng
131902,Vinh Long,30,22,6,S,0.0,78,37,1012,2014-01-02,Nam,Nắng
131903,Vinh Long,29,19,6,S,0.4,74,32,1013,2015-01-02,Nam,Lạnh
131904,Vinh Long,33,23,9,S,0.0,64,29,1014,2016-01-02,Nam,Nắng
131905,Vinh Long,31,23,14,ENE,0.8,76,24,1011,2017-01-02,Nam,Nắng
131906,Vinh Long,31,22,7,E,0.0,72,8,1009,2018-01-02,Nam,Nắng
131907,Vinh Long,24,22,19,N,14.4,85,76,1012,2019-01-02,Nam,Mây
131908,Vinh Long,32,23,10,ENE,0.0,66,12,1014,2020-01-02,Nam,Nắng
131909,Vinh Long,26,21,7,SSE,0.0,76,49,1011,2021-01-02,Nam,Lạnh
131910,Vinh Long,26,21,13,S,5.8,93,91,1010,2009-01-01,Nam,Mây
131911,Vinh Long,33,23,10,E,0.0,64,20,1010,2010-01-01,Nam,Nắng
131912,Vinh Long,29,23,6,S,0.1,79,36,1008,2011-01-01,Nam,Gió
131913,Vinh Long,31,23,16,E,0.2,78,39,1012,2012-01-01,Nam,Nắng
131914,Vinh Long,31,23,7,S,0.0,71,31,1010,2013-01-01,Nam,Nắng
131915,Vinh Long,29,20,7,SW,0.0,71,43,1012,2014-01-01,Nam,Lạnh
131916,Vinh Long,29,21,7,SW,0.2,76,28,1012,2015-01-01,Nam,Lạnh
131917,Vinh Long,32,22,11,ENE,0.0,60,12,1015,2016-01-01,Nam,Nắng
131918,Vinh Long,31,23,10,ENE,0.2,78,32,1011,2017-01-01,Nam,Nắng
131919,Vinh Long,30,22,5,E,0.0,70,27,1010,2018-01-01,Nam,Nắng
131920,Vinh Long,28,23,19,E,1.2,67,51,1013,2019-01-01,Nam,Gió
131921,Vinh Long,33,22,9,ENE,0.0,62,11,1014,2020-01-01,Nam,Nắng
131922,Vinh Long,27,21,9,S,0.0,72,34,1011,2021-01-01,Nam,Lạnh
131923,Vinh Long,28,20,7,ENE,0.1,83,27,1011,2009-01-04,Nam,Lạnh
131924,Vinh Long,34,24,16,ESE,0.0,64,51,1009,2010-01-04,Nam,Nắng
131925,Vinh Long,30,23,6,SE,1.2,79,57,1009,2011-01-04,Nam,Nắng
131926,Vinh Long,30,22,11,ESE,0.1,77,22,1012,2012-01-04,Nam,Nắng
131927,Vinh Long,32,25,5,SSW,2.7,72,44,1009,2013-01-04,Nam,Nắng
131928,Vinh Long,32,22,8,ESE,4.6,78,38,1011,2014-01-04,Nam,Nắng
131929,Vinh Long,32,22,7,SSW,0.2,71,38,1010,2015-01-04,Nam,Nắng
131930,Vinh Long,31,24,9,SE,0.1,76,56,1012,2016-01-04,Nam,Nắng
131931,Vinh Long,30,23,12,ENE,1.2,75,58,1009,2017-01-04,Nam,Nắng
131932,Vinh Long,34,23,6,S,0.1,74,26,1008,2018-01-04,Nam,Nắng
131933,Vinh Long,30,24,20,E,1.0,82,42,1013,2019-01-04,Nam,Nắng
131934,Vinh Long,33,22,8,E,0.0,72,18,1012,2020-01-04,Nam,Nắng
131935,Vinh Long,31,23,7,S,0.4,78,45,1010,2021-01-04,Nam,Nắng
131960,Vinh Long,30,22,9,SSE,1.2,82,27,1012,2009-01-07,Nam,Nắng
131961,Vinh Long,33,24,17,ESE,0.0,62,9,1012,2010-01-07,Nam,Nắng
131962,Vinh Long,30,22,11,ENE,0.0,73,37,1010,2011-01-07,Nam,Nắng
131963,Vinh Long,31,22,12,ESE,0.1,76,49,1012,2012-01-07,Nam,Nắng
131964,Vinh Long,28,23,13,N,1.5,87,68,1009,2013-01-07,Nam,Mây
131965,Vinh Long,32,22,8,SSE,0.2,70,39,1010,2014-01-07,Nam,Nắng
131966,Vinh Long,32,23,13,E,0.1,76,37,1010,2015-01-07,Nam,Nắng
131967,Vinh Long,33,24,16,ESE,0.0,71,29,1014,2016-01-07,Nam,Nắng
131968,Vinh Long,31,24,19,E,0.0,75,24,1007,2017-01-07,Nam,Nắng
131969,Vinh Long,32,23,11,ESE,0.3,80,46,1010,2018-01-07,Nam,Nắng
131970,Vinh Long,32,23,14,E,0.0,70,6,1012,2019-01-07,Nam,Nắng
131971,Vinh Long,32,23,9,E,0.0,72,43,1011,2020-01-07,Nam,Nắng
131972,Vinh Long,31,23,6,SSE,0.1,79,42,1009,2021-01-07,Nam,Nắng
131973,Vinh Long,25,21,10,NNE,3.5,85,77,1012,2009-01-03,Nam,Mây
131974,Vinh Long,30,25,14,ESE,0.0,67,44,1010,2010-01-03,Nam,Nắng
131975,Vinh Long,32,22,6,E,0.3,75,31,1009,2011-01-03,Nam,Nắng
131976,Vinh Long,30,22,12,ESE,0.2,79,38,1011,2012-01-03,Nam,Nắng
131977,Vinh Long,33,24,7,ENE,0.0,70,25,1011,2013-01-03,Nam,Nắng
131978,Vinh Long,32,21,7,SE,0.0,74,17,1011,2014-01-03,Nam,Nắng
131979,Vinh Long,30,21,8,WSW,0.1,70,29,1012,2015-01-03,Nam,Nắng
131980,Vinh Long,33,25,6,SSW,3.4,71,52,1014,2016-01-03,Nam,Nắng
131981,Vinh Long,31,23,12,E,0.0,73,35,1010,2017-01-03,Nam,Nắng
131982,Vinh Long,32,23,6,ESE,0.0,73,18,1009,2018-01-03,Nam,Nắng
131983,Vinh Long,27,22,18,ENE,5.1,87,59,1012,2019-01-03,Nam,Mây
131984,Vinh Long,33,23,9,ENE,0.0,68,28,1013,2020-01-03,Nam,Nắng
131985,Vinh Long,27,22,6,WSW,0.7,79,51,1010,2021-01-03,Nam,Gió
131986,Vinh Long,26,18,18,E,0.0,65,12,1014,2009-01-10,Nam,Lạnh
131987,Vinh Long,31,24,8,ESE,1.8,73,60,1011,2010-01-10,Nam,Nắng
131988,Vinh Long,31,21,8,S,0.0,68,23,1008,2011-01-10,Nam,Nắng
131989,Vinh Long,30,23,11,NE,0.0,69,29,1011,2012-01-10,Nam,Nắng
131990,Vinh Long,32,23,9,WSW,2.9,80,34,1010,2013-01-10,Nam,Nắng
131991,Vinh Long,31,23,9,E,0.0,70,50,1012,2014-01-10,Nam,Nắng
131992,Vinh Long,32,23,8,E,0.2,72,24,1011,2015-01-10,Nam,Nắng
131993,Vinh Long,33,24,16,ESE,0.0,72,9,1013,2016-01-10,Nam,Nắng
131994,Vinh Long,31,23,14,ESE,0.1,76,16,1009,2017-01-10,Nam,Nắng
131995,Vinh Long,30,24,8,E,10.5,84,42,1012,2018-01-10,Nam,Nắng
131996,Vinh Long,32,24,15,ESE,0.1,73,20,1012,2019-01-10,Nam,Nắng
131997,Vinh Long,32,23,9,SSE,0.0,71,36,1009,2020-01-10,Nam,Nắng
131998,Vinh Long,30,20,6,SSE,0.0,72,23,1010,2021-01-10,Nam,Nắng
131999,Vinh Long,26,18,15,S,0.0,66,30,1014,2009-01-11,Nam,Lạnh
132000,Vinh Long,32,23,7,ESE,1.3,73,33,1012,2010-01-11,Nam,Nắng
132001,Vinh Long,32,21,7,SW,0.0,67,10,1008,2011-01-11,Nam,Nắng
132002,Vinh Long,28,23,11,NNE,0.4,75,44,1011,2012-01-11,Nam,Gió
132003,Vinh Long,32,23,10,E,1.3,76,20,1010,2013-01-11,Nam,Nắng
132004,Vinh Long,32,23,8,E,0.1,70,34,1013,2014-01-11,Nam,Nắng
132005,Vinh Long,32,23,7,SSW,2.8,76,24,1011,2015-01-11,Nam,Nắng
132006,Vinh Long,32,23,9,ESE,0.1,74,38,1013,2016-01-11,Nam,Nắng
132007,Vinh Long,31,23,10,ESE,8.4,79,39,1009,2017-01-11,Nam,Nắng
132008,Vinh Long,32,22,7,NE,0.0,71,33,1012,2018-01-11,Nam,Nắng
132009,Vinh Long,32,23,12,E,0.0,73,33,1012,2019-01-11,Nam,Nắng
132010,Vinh Long,32,23,7,SSW,0.0,73,28,1009,2020-01-11,Nam,Nắng
132011,Vinh Long,31,21,7,SSW,0.0,72,28,1010,2021-01-11,Nam,Nắng
132012,Vinh Long,29,21,8,ESE,0.0,79,24,1011,2009-01-05,Nam,Lạnh
132013,Vinh Long,34,24,15,ESE,0.1,64,28,1009,2010-01-05,Nam,Nắng
132014,Vinh Long,32,24,14,E,0.9,75,65,1008,2011-01-05,Nam,Nắng
132015,Vinh Long,32,22,7,SE,0.0,77,13,1012,2012-01-05,Nam,Nắng
132016,Vinh Long,28,21,9,S,0.0,69,32,1008,2013-01-05,Nam,Lạnh
132017,Vinh Long,31,22,8,ESE,0.9,81,42,1010,2014-01-05,Nam,Nắng
132018,Vinh Long,32,23,7,SSE,7.6,76,48,1010,2015-01-05,Nam,Nắng
132019,Vinh Long,33,24,12,SE,0.3,71,58,1012,2016-01-05,Nam,Nắng
132020,Vinh Long,31,23,15,E,0.0,77,20,1009,2017-01-05,Nam,Nắng
132021,Vinh Long,31,24,10,SE,0.3,80,45,1009,2018-01-05,Nam,Nắng
132022,Vinh Long,31,24,16,ESE,0.1,80,25,1013,2019-01-05,Nam,Nắng
132023,Vinh Long,31,22,7,SSW,0.0,74,20,1011,2020-01-05,Nam,Nắng
132024,Vinh Long,25,19,6,WSW,3.7,89,78,1010,2021-01-05,Nam,Mây
132025,Vinh Long,30,22,9,SE,0.1,79,22,1011,2009-01-06,Nam,Nắng
132026,Vinh Long,33,24,17,ESE,0.1,66,14,1010,2010-01-06,Nam,Nắng
132027,Vinh Long,32,23,13,ENE,0.8,75,40,1009,2011-01-06,Nam,Nắng
132028,Vinh Long,32,23,7,S,2.8,77,12,1013,2012-01-06,Nam,Nắng
132029,Vinh Long,25,22,12,WNW,8.3,84,85,1009,2013-01-06,Nam,Mây
132030,Vinh Long,30,22,9,ESE,0.2,78,34,1010,2014-01-06,Nam,Nắng
132031,Vinh Long,31,24,10,E,3.2,79,31,1009,2015-01-06,Nam,Nắng
132032,Vinh Long,33,24,15,ESE,0.0,73,40,1014,2016-01-06,Nam,Nắng
132033,Vinh Long,31,24,18,E,0.8,74,28,1008,2017-01-06,Nam,Nắng
132034,Vinh Long,31,24,12,ESE,0.0,83,46,1009,2018-01-06,Nam,Nắng
132035,Vinh Long,32,24,16,E,0.0,74,15,1013,2019-01-06,Nam,Nắng
132036,Vinh Long,32,22,7,SW,0.0,70,18,1012,2020-01-06,Nam,Nắng
132037,Vinh Long,27,23,6,SE,0.0,83,35,1009,2021-01-06,Nam,Gió
132038,Vinh Long,28,18,9,SSW,0.0,69,31,1015,2009-01-12,Nam,Lạnh
132039,Vinh Long,33,23,12,ESE,0.0,69,16,1013,2010-01-12,Nam,Nắng
132040,Vinh Long,32,23,7,SSE,0.0,74,29,1008,2011-01-12,Nam,Nắng
132041,Vinh Long,31,22,11,E,2.3,76,45,1010,2012-01-12,Nam,Nắng
132042,Vinh Long,32,23,7,SW,0.0,72,12,1011,2013-01-12,Nam,Nắng
132043,Vinh Long,31,23,6,SE,2.2,76,46,1013,2014-01-12,Nam,Nắng
132044,Vinh Long,32,23,8,SSE,0.3,74,19,1012,2015-01-12,Nam,Nắng
132045,Vinh Long,33,24,13,ESE,0.2,74,25,1012,2016-01-12,Nam,Nắng
132046,Vinh Long,31,23,7,WSW,0.0,78,31,1008,2017-01-12,Nam,Nắng
132047,Vinh Long,31,21,10,NE,0.0,66,18,1012,2018-01-12,Nam,Nắng
132048,Vinh Long,33,24,11,E,0.6,70,42,1012,2019-01-12,Nam,Nắng
132049,Vinh Long,33,23,7,SSW,0.2,76,49,1010,2020-01-12,Nam,Nắng
132050,Vinh Long,28,20,10,ENE,0.0,70,27,1012,2021-01-12,Nam,Lạnh
132051,Vinh Long,29,21,10,ENE,0.0,77,13,1013,2009-01-08,Nam,Lạnh
132052,Vinh Long,33,23,11,E,0.0,62,17,1012,2010-01-08,Nam,Nắng
132053,Vinh Long,31,22,8,ENE,0.0,74,32,1010,2011-01-08,Nam,Nắng
132054,Vinh Long,29,22,11,NE,0.0,74,48,1013,2012-01-08,Nam,Gió
132055,Vinh Long,32,23,9,SSE,3.6,79,33,1010,2013-01-08,Nam,Nắng
132056,Vinh Long,33,24,8,E,0.1,69,34,1011,2014-01-08,Nam,Nắng
132057,Vinh Long,31,23,12,E,0.2,75,44,1011,2015-01-08,Nam,Nắng
132058,Vinh Long,33,24,17,ESE,0.1,71,42,1013,2016-01-08,Nam,Nắng
132059,Vinh Long,31,24,20,ESE,0.0,75,16,1008,2017-01-08,Nam,Nắng
132060,Vinh Long,32,24,11,ESE,0.4,80,27,1011,2018-01-08,Nam,Nắng
