,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
118238,Vinh,15,14,15,N,13.8,92,100,1022,2009-01-01,Trung,Mây
118239,Vinh,26,21,7,SE,0.4,90,60,1013,2010-01-01,Trung,Mây
118240,Vinh,22,16,6,WSW,1.1,86,63,1014,2011-01-01,Trung,Mây
118241,Vinh,18,17,13,N,5.4,90,80,1020,2012-01-01,Trung,Mây
118242,Vinh,19,15,8,SSW,1.2,77,58,1018,2013-01-01,Trung,Lạnh
118243,Vinh,19,12,6,SSW,0.0,66,0,1018,2014-01-01,Trung,Lạnh
118244,Vinh,21,14,11,S,0.0,74,1,1022,2015-01-01,Trung,Lạnh
118245,Vinh,20,16,12,NNW,3.4,81,97,1024,2016-01-01,Trung,Mây
118246,Vinh,18,16,11,NW,5.1,89,100,1019,2017-01-01,Trung,Mây
118247,Vinh,19,16,6,NW,1.3,86,94,1017,2018-01-01,Trung,Mây
118248,Vinh,15,14,14,NW,0.8,77,99,1025,2019-01-01,Trung,Lạnh
118249,Vinh,20,14,11,NW,11.7,94,100,1022,2020-01-01,Trung,Mây
118250,Vinh,16,13,12,S,0.1,70,76,1023,2021-01-01,Trung,Lạnh
118251,Vinh,15,13,13,NW,4.6,92,98,1020,2009-01-03,Trung,Mây
118252,Vinh,21,21,9,NE,5.0,94,96,1015,2010-01-03,Trung,Mây
118253,Vinh,21,19,14,ESE,6.4,92,86,1015,2011-01-03,Trung,Mây
118254,Vinh,22,18,7,S,0.6,90,73,1016,2012-01-03,Trung,Mây
118255,Vinh,20,17,15,S,4.3,89,82,1018,2013-01-03,Trung,Mây
118256,Vinh,21,16,8,SE,0.7,85,40,1015,2014-01-03,Trung,Lạnh
118257,Vinh,20,16,7,WSW,1.7,86,58,1018,2015-01-03,Trung,Mây
118258,Vinh,24,19,7,S,0.4,85,40,1018,2016-01-03,Trung,Lạnh
118259,Vinh,22,20,9,S,2.4,92,75,1018,2017-01-03,Trung,Mây
118260,Vinh,22,20,6,SE,1.9,90,92,1015,2018-01-03,Trung,Mây
118261,Vinh,19,14,9,WSW,0.6,77,86,1022,2019-01-03,Trung,Lạnh
118262,Vinh,24,20,8,SSW,1.2,90,83,1019,2020-01-03,Trung,Mây
118263,Vinh,17,13,9,SW,0.3,80,78,1019,2021-01-03,Trung,Lạnh
118264,Vinh,22,17,7,SSW,0.1,92,66,1016,2009-01-05,Trung,Mây
118265,Vinh,29,20,8,SSE,0.0,81,11,1010,2010-01-05,Trung,Lạnh
118266,Vinh,19,17,10,ESE,3.4,91,71,1015,2011-01-05,Trung,Mây
118267,Vinh,16,14,13,ESE,4.5,89,78,1020,2012-01-05,Trung,Mây
118268,Vinh,19,16,13,S,3.6,88,73,1015,2013-01-05,Trung,Mây
118269,Vinh,22,15,7,SSW,0.0,82,12,1015,2014-01-05,Trung,Lạnh
118270,Vinh,27,21,7,SE,0.0,79,1,1010,2015-01-05,Trung,Lạnh
118271,Vinh,25,18,9,SE,0.5,86,24,1015,2016-01-05,Trung,Lạnh
118272,Vinh,23,20,7,W,1.2,88,80,1015,2017-01-05,Trung,Mây
118273,Vinh,23,21,5,ESE,0.8,91,81,1013,2018-01-05,Trung,Mây
118274,Vinh,22,19,6,S,0.5,84,93,1019,2019-01-05,Trung,Mây
118275,Vinh,25,18,8,S,0.1,85,38,1016,2020-01-05,Trung,Lạnh
118276,Vinh,18,16,9,SSW,0.7,82,91,1018,2021-01-05,Trung,Mây
118277,Vinh,18,15,9,WNW,1.0,95,93,1017,2009-01-04,Trung,Mây
118278,Vinh,26,20,6,SSE,0.1,87,36,1011,2010-01-04,Trung,Lạnh
118279,Vinh,18,17,16,NNE,6.1,92,85,1017,2011-01-04,Trung,Mây
118280,Vinh,17,14,20,NNE,12.0,91,92,1020,2012-01-04,Trung,Mây
118281,Vinh,18,16,15,SW,5.8,88,83,1017,2013-01-04,Trung,Mây
118282,Vinh,20,17,8,ENE,1.7,85,39,1018,2014-01-04,Trung,Lạnh
118283,Vinh,24,16,9,SSE,0.0,84,10,1013,2015-01-04,Trung,Lạnh
118284,Vinh,20,18,10,SSE,0.6,89,50,1016,2016-01-04,Trung,Lạnh
118285,Vinh,22,19,7,WSW,0.2,88,69,1016,2017-01-04,Trung,Mây
118286,Vinh,23,20,6,WSW,0.5,91,87,1014,2018-01-04,Trung,Mây
118287,Vinh,20,17,8,NW,1.6,81,99,1021,2019-01-04,Trung,Mây
118288,Vinh,25,19,6,SE,0.9,85,53,1017,2020-01-04,Trung,Mây
118289,Vinh,20,16,8,SSW,2.2,75,75,1019,2021-01-04,Trung,Lạnh
118290,Vinh,22,17,8,SW,0.9,92,57,1017,2009-01-06,Trung,Mây
118291,Vinh,27,20,12,E,5.5,91,47,1014,2010-01-06,Trung,Lạnh
118292,Vinh,18,16,18,ENE,8.5,92,85,1019,2011-01-06,Trung,Mây
118293,Vinh,18,15,11,NNE,3.1,90,75,1021,2012-01-06,Trung,Mây
118294,Vinh,18,17,15,NNE,6.6,88,77,1017,2013-01-06,Trung,Mây
118295,Vinh,24,17,9,SE,0.0,86,18,1013,2014-01-06,Trung,Lạnh
118296,Vinh,26,20,6,SE,0.3,88,28,1012,2015-01-06,Trung,Lạnh
118297,Vinh,25,21,6,SSE,0.4,89,31,1016,2016-01-06,Trung,Lạnh
118298,Vinh,23,20,4,SSW,0.0,84,51,1014,2017-01-06,Trung,Mây
118299,Vinh,25,21,6,E,0.3,91,79,1011,2018-01-06,Trung,Mây
118300,Vinh,21,21,8,SE,4.9,91,99,1019,2019-01-06,Trung,Mây
118301,Vinh,25,20,7,S,0.0,85,32,1016,2020-01-06,Trung,Lạnh
118302,Vinh,18,17,10,NE,3.9,88,99,1017,2021-01-06,Trung,Mây
118303,Vinh,15,14,15,SE,8.6,88,99,1022,2009-01-02,Trung,Mây
118304,Vinh,23,21,8,ENE,3.2,95,92,1014,2010-01-02,Trung,Mây
118305,Vinh,22,18,5,S,1.7,89,79,1014,2011-01-02,Trung,Mây
118306,Vinh,20,17,9,W,2.0,91,81,1018,2012-01-02,Trung,Mây
118307,Vinh,22,15,7,SSE,0.1,84,56,1016,2013-01-02,Trung,Mây
118308,Vinh,21,16,6,ESE,0.0,77,1,1014,2014-01-02,Trung,Lạnh
118309,Vinh,19,14,10,WSW,1.4,79,48,1021,2015-01-02,Trung,Lạnh
