,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
145544,Vung Tau,28,24,16,ENE,7.8,84,45,1010,2009-01-01,Nam,Gió
145545,Vung Tau,30,25,16,ENE,0.0,63,17,1010,2010-01-01,Nam,Nắng
145546,Vung Tau,27,25,13,E,0.0,75,27,1008,2011-01-01,Nam,Gió
145547,Vung Tau,29,24,26,E,0.0,79,24,1012,2012-01-01,Nam,Gió
145548,Vung Tau,31,26,17,ENE,0.0,69,15,1010,2013-01-01,Nam,Nắng
145549,Vung Tau,27,23,13,E,0.0,77,33,1012,2014-01-01,Nam,Gió
145550,Vung Tau,30,24,12,E,0.2,74,37,1012,2015-01-01,Nam,Nắng
145551,Vung Tau,29,24,18,ENE,0.0,67,8,1015,2016-01-01,Nam,Gió
145552,Vung Tau,29,25,20,ENE,0.2,74,16,1011,2017-01-01,Nam,Gió
145553,Vung Tau,28,24,24,ENE,0.0,68,18,1010,2018-01-01,Nam,Gió
145554,Vung Tau,27,24,19,ESE,11.7,74,68,1013,2019-01-01,Nam,Gió
145555,Vung Tau,28,24,26,ENE,0.0,68,9,1014,2020-01-01,Nam,Gió
145556,Vung Tau,26,21,10,S,0.0,74,47,1011,2021-01-01,Nam,Lạnh
145569,Vung Tau,23,22,9,S,20.5,91,72,1011,2009-01-03,Nam,Mây
145570,Vung Tau,30,26,16,E,0.8,70,40,1010,2010-01-03,Nam,Nắng
145571,Vung Tau,29,24,12,E,0.3,75,40,1009,2011-01-03,Nam,Gió
145572,Vung Tau,28,24,19,E,0.0,76,16,1012,2012-01-03,Nam,Gió
145573,Vung Tau,31,25,18,E,0.5,73,31,1011,2013-01-03,Nam,Nắng
145574,Vung Tau,29,23,10,E,0.0,80,22,1012,2014-01-03,Nam,Gió
145575,Vung Tau,31,23,5,SSE,0.1,72,33,1012,2015-01-03,Nam,Nắng
145576,Vung Tau,29,26,16,E,2.2,77,36,1014,2016-01-03,Nam,Gió
145577,Vung Tau,29,25,24,ENE,0.0,71,25,1010,2017-01-03,Nam,Gió
145578,Vung Tau,28,25,13,E,0.0,76,17,1009,2018-01-03,Nam,Gió
145579,Vung Tau,28,25,44,ENE,4.0,78,55,1013,2019-01-03,Nam,Gió
145580,Vung Tau,28,25,30,ENE,0.0,73,7,1013,2020-01-03,Nam,Gió
