,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
159191,Yen Bai,15,11,5,ESE,0.2,69,32,1025,2009-01-02,Bắc,Lạnh
159192,Yen Bai,19,16,5,NE,3.7,92,82,1016,2010-01-02,Bắc,Mây
159193,Yen Bai,22,16,5,SE,2.5,90,90,1015,2011-01-02,Bắc,Mây
159194,Yen Bai,16,14,4,E,1.6,80,92,1019,2012-01-02,Bắc,Lạnh
159195,Yen Bai,20,10,4,E,0.0,66,56,1017,2013-01-02,Bắc,Lạnh
159196,Yen Bai,25,13,5,SE,0.0,66,0,1014,2014-01-02,Bắc,Lạnh
159197,Yen Bai,22,14,6,SSE,0.0,63,6,1022,2015-01-02,Bắc,Lạnh
159198,Yen Bai,22,16,4,SSE,0.0,77,63,1022,2016-01-02,Bắc,Lạnh
159199,Yen Bai,24,16,4,SW,0.0,79,89,1020,2017-01-02,Bắc,Lạnh
159200,Yen Bai,20,16,5,ESE,3.3,88,97,1017,2018-01-02,Bắc,Mây
159201,Yen Bai,18,9,5,SSE,0.0,59,78,1027,2019-01-02,Bắc,Lạnh
159202,Yen Bai,24,20,9,ESE,0.4,81,89,1022,2020-01-02,Bắc,Mây
159203,Yen Bai,21,11,6,SSE,0.0,46,5,1021,2021-01-02,Bắc,Lạnh
159216,Yen Bai,23,16,5,ESE,2.2,87,66,1018,2009-01-06,Bắc,Mây
159217,Yen Bai,17,16,7,ENE,4.9,89,91,1016,2010-01-06,Bắc,Mây
159218,Yen Bai,16,11,7,NE,0.8,74,71,1022,2011-01-06,Bắc,Lạnh
159219,Yen Bai,15,9,5,ESE,0.1,78,68,1022,2012-01-06,Bắc,Lạnh
159220,Yen Bai,15,8,5,NE,0.5,67,50,1019,2013-01-06,Bắc,Lạnh
159221,Yen Bai,24,15,7,SE,0.4,82,58,1013,2014-01-06,Bắc,Mây
159222,Yen Bai,25,20,6,SE,1.9,85,76,1013,2015-01-06,Bắc,Mây
159223,Yen Bai,26,20,7,SE,0.6,82,58,1017,2016-01-06,Bắc,Mây
159224,Yen Bai,22,18,5,NW,3.5,83,58,1015,2017-01-06,Bắc,Mây
159225,Yen Bai,21,19,9,SE,5.5,90,100,1011,2018-01-06,Bắc,Mây
159226,Yen Bai,22,17,7,ESE,1.2,79,96,1020,2019-01-06,Bắc,Lạnh
159227,Yen Bai,26,20,13,SE,0.5,75,73,1016,2020-01-06,Bắc,Lạnh
159228,Yen Bai,21,17,8,ESE,0.0,51,86,1019,2021-01-06,Bắc,Lạnh
159241,Yen Bai,14,13,9,NE,2.8,88,98,1023,2009-01-07,Bắc,Mây
159242,Yen Bai,15,14,7,E,16.4,91,97,1019,2010-01-07,Bắc,Mây
159243,Yen Bai,15,7,6,ENE,0.0,64,58,1023,2011-01-07,Bắc,Lạnh
159244,Yen Bai,20,11,7,ESE,1.0,77,71,1020,2012-01-07,Bắc,Lạnh
159245,Yen Bai,15,7,4,ENE,0.0,66,38,1018,2013-01-07,Bắc,Lạnh
159246,Yen Bai,26,18,7,SE,1.4,84,54,1012,2014-01-07,Bắc,Mây
159247,Yen Bai,18,16,8,ENE,2.6,81,95,1018,2015-01-07,Bắc,Mây
159248,Yen Bai,26,20,12,SE,0.9,77,68,1019,2016-01-07,Bắc,Lạnh
159249,Yen Bai,26,17,4,SW,0.0,78,43,1012,2017-01-07,Bắc,Lạnh
159250,Yen Bai,23,17,8,ESE,2.3,91,98,1011,2018-01-07,Bắc,Mây
159251,Yen Bai,22,16,8,ESE,0.8,86,100,1019,2019-01-07,Bắc,Mây
159252,Yen Bai,27,21,8,SE,0.2,76,78,1015,2020-01-07,Bắc,Lạnh
159253,Yen Bai,16,13,11,ESE,0.0,64,98,1020,2021-01-07,Bắc,Lạnh
159254,Yen Bai,18,12,6,NE,0.1,70,41,1025,2009-01-01,Bắc,Lạnh
159255,Yen Bai,17,16,5,NE,6.2,92,100,1015,2010-01-01,Bắc,Mây
159256,Yen Bai,18,15,4,E,1.1,87,82,1015,2011-01-01,Bắc,Mây
159257,Yen Bai,19,14,4,ENE,0.3,70,71,1021,2012-01-01,Bắc,Lạnh
159258,Yen Bai,18,10,3,E,0.0,46,26,1019,2013-01-01,Bắc,Lạnh
159259,Yen Bai,21,8,4,E,0.0,56,0,1018,2014-01-01,Bắc,Lạnh
159260,Yen Bai,26,13,5,ESE,0.0,57,1,1023,2015-01-01,Bắc,Lạnh
159261,Yen Bai,20,14,5,ESE,0.0,71,70,1025,2016-01-01,Bắc,Lạnh
159262,Yen Bai,18,15,2,SSW,4.5,78,100,1021,2017-01-01,Bắc,Lạnh
159263,Yen Bai,19,15,5,SE,0.2,78,84,1018,2018-01-01,Bắc,Lạnh
159264,Yen Bai,15,9,6,E,0.0,61,62,1028,2019-01-01,Bắc,Lạnh
159265,Yen Bai,23,20,8,SE,0.0,74,89,1024,2020-01-01,Bắc,Lạnh
159266,Yen Bai,19,10,4,SE,0.0,37,19,1025,2021-01-01,Bắc,Lạnh
159267,Yen Bai,17,11,7,NE,0.1,65,30,1029,2009-01-09,Bắc,Lạnh
159268,Yen Bai,22,14,6,SE,0.4,88,64,1014,2010-01-09,Bắc,Mây
159269,Yen Bai,13,10,5,E,0.3,70,68,1022,2011-01-09,Bắc,Lạnh
159270,Yen Bai,18,12,7,E,0.8,73,69,1021,2012-01-09,Bắc,Lạnh
159271,Yen Bai,14,10,4,NE,0.5,61,70,1021,2013-01-09,Bắc,Lạnh
159272,Yen Bai,16,13,7,ENE,1.3,67,87,1021,2014-01-09,Bắc,Lạnh
159273,Yen Bai,14,13,5,ENE,6.3,83,99,1024,2015-01-09,Bắc,Mây
159274,Yen Bai,23,17,13,SE,9.6,84,71,1015,2016-01-09,Bắc,Mây
159275,Yen Bai,25,20,10,SE,0.5,83,92,1014,2017-01-09,Bắc,Mây
159276,Yen Bai,14,8,5,E,5.1,64,72,1025,2018-01-09,Bắc,Lạnh
